productId,websiteSku,graceSku,category,family,shape,color,capacity,capacityMl,capacityOz,applicator,capColor,trimColor,capStyle,capHeight,ballMaterial,neckThreadSize,heightWithCap,heightWithoutCap,diameter,bottleWeightG,caseQuantity,qbPrice,webPrice1pc,webPrice10pc,webPrice12pc,stockStatus,itemName,itemDescription,imageUrl,productUrl,dataGrade,bottleCollection,fitmentStatus,graceDescription,assemblyType,componentGroup,verified,importSource
BB-GB-005-0010,GBAtom5SlimBlk,GB-SLM-BLK-5ML-ATM-BLK-T,Metal Atomizer,Atomizer,,Black,5 ml (0.17 oz),5,0.17,Atomizer,,,,,,10mm,,,,,,,2.25,,2.14,In Stock,"Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlimBlk.gif,https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle,,Atomizer Collection,,,complete-set,,false,grace_products_final_json
BB-GB-013-0018,GBRoyal13RollSlDot,GB-RYL-CLR-13ML-ROL-SLDT,Glass Bottle,Royal,,Clear,13 ml (0.44 oz),13,0.44,Plastic Roller Ball,,,,,,13-415,,,,,,,0.81,,0.77,In Stock,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pr","Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pr",https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13RollSlDot.gif,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,,Royal,,,3-part,,false,grace_products_final_json
BB-GB-100-0324,LBCrcl100LtnClOvrCap,LB-CIR-CLR-100ML-LPM-COCP,Glass Bottle,Circle,,Clear,100 ml (3.38 oz),100,3.38,Lotion Pump,,,,,,18-415,,,,,,,3.05,,2.9,In Stock,"Circle design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle de","Circle design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle de",https://www.bestbottles.com/images/store/enlarged_pics/LBCrcl100LtnClOvrCap.gif,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,,Circle,,,2-part,,false,grace_products_final_json
BB-GB-078-0060,GBRndFrst78RdcrMtSlTall,GB-RND-FRS-78ML-RDC-MSLV-T,Glass Bottle,Round,,Frosted,78 ml (2.64 oz),78,2.64,Reducer,,,,,,18-415,,,,,,,2.52,,2.39,In Stock,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each","Round design 78 ml, 2.65oz frosted glass bottle with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst78RdcrMtSlTall.gif,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap,,Round,,,3-part,,false,grace_products_final_json
BB-GB-050-0133,GBEmp50AnSpTslRed,GB-EMP-CLR-50ML-AST-RED,Glass Bottle,Empire,,Clear,50 ml (1.69 oz),50,1.69,Vintage Bulb Sprayer with Tassel,,,,,,18-415,,,,,,,6.9,,6.56,In Stock,"Empire design 50 ml, 1.7oz  clear glass bottle  with Red vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance","Empire design 50 ml, 1.7oz  clear glass bottle  with Red vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",https://www.bestbottles.com/images/store/enlarged_pics/GBEmp50AnSpTslRed.gif,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar,,Empire,,,2-part,,false,grace_products_final_json
BB-GB-128-0045,GBRndFrst128AnSpRed,GB-RND-FRS-128ML-ASP-RED,Glass Bottle,Round,,Frosted,128 ml (4.33 oz),128,4.33,Vintage Bulb Sprayer,,,,,,18-415,,,,,,,6.4,,6.08,In Stock,"Round design 128 ml, 4.33oz frosted glass bottle with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty","Round design 128 ml, 4.33oz frosted glass bottle with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst128AnSpRed.gif,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap,,Round,,,2-part,,false,grace_products_final_json
BB-GB-100-0362,LBElgFrst100LtnMtGl,LB-ELG-FRS-100ML-LPM-MGLD,Glass Bottle,Elegant,,Frosted,100 ml (3.38 oz),100,3.38,Lotion Pump,,,,,,18-415,,,,,,,3.8,,3.61,In Stock,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail","Elegant design 100 ml, 3 1/2oz frosted glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail",https://www.bestbottles.com/images/store/enlarged_pics/LBElgFrst100LtnMtGl.gif,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-gold-lotion-pump-and-cap,,Elegant,,,2-part,,false,grace_products_final_json
BB-GB-005-0011,GBAtom5SlimGl,GB-SLM-CLR-5ML-ATM-GLD-T,Metal Atomizer,Atomizer,,Clear,5 ml (0.17 oz),5,0.17,Atomizer,,,,,,10mm,,,,,,,2.25,,2.14,In Stock,"Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlimGl.gif,https://www.bestbottles.com/product/gold-slim-atomizer-design-5-ml-bottle,,Atomizer Collection,,,complete-set,,false,grace_products_final_json
BB-GB-100-0331,LBCrclFrst100LtnClOvrCap,LB-CIR-FRS-100ML-LPM-COCP,Glass Bottle,Circle,,Frosted,100 ml (3.38 oz),100,3.38,Lotion Pump,,,,,,18-415,,,,,,,3.55,,3.37,In Stock,"Circle design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle","Circle design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle",https://www.bestbottles.com/images/store/enlarged_pics/LBCrclFrst100LtnClOvrCap.gif,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,,Circle,,,2-part,,false,grace_products_final_json
BB-GB-013-0019,GBRoyal13RollSlMatt,GB-RYL-CLR-13ML-ROL-MSLV,Glass Bottle,Royal,,Clear,13 ml (0.44 oz),13,0.44,Plastic Roller Ball,,,,,,13-415,,,,,,,0.74,,0.7,In Stock,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price","Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13RollSlMatt.gif,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,,Royal,,,3-part,,false,grace_products_final_json
