family,capacityMl,bodyHeightMm,widthAxisMm,depthAxisMm,axisSemantics,secondAxisStatus,variantCount,colors,applicators,productGroupSlugs,conflictFlagCounts,rawHeightValues,rawDiameterValues
Aluminum Bottle,65,94,36,36.0,round,equal-to-diameter(circular),2,Clear|White,Lotion Pump,aluminum-bottle-65ml-mixed-20-410,convex_height_corrected_by_site(was=105.0)×1;convex_widthaxis_corrected_by_site(was=40.0)×1,105 ±2 mm×1|94 ±1 mm×1,40 ±0.5 mm×1|36 ±0.5 mm×1
Aluminum Bottle,100,128,50,50.0,round,equal-to-diameter(circular),1,Clear,Fine Mist Sprayer,aluminum-bottle-100ml-mixed-20-410,,127.8×1,50 ±0.5 mm×1
Aluminum Bottle,120,114,45,45.0,round,equal-to-diameter(circular),2,Clear,Lotion Pump,aluminum-bottle-120ml-mixed-20-410,,114 ±2 mm×2,45 ±0.5 mm×2
Aluminum Bottle,250,128,60,60.0,round,equal-to-diameter(circular),1,Clear,Fine Mist Sprayer,aluminum-bottle-250ml-clear-20-410-finemist,d:override_applied×1;h:override_applied×1,127.8×1,60 ±0.5 mm×1
Aluminum Bottle,250,155,50,50.0,round,equal-to-diameter(circular),1,,,fine-mist-sprayer-20-410,d:missing×1;h:missing×1,None×1,None×1
Aluminum Bottle,500,178,74,74.0,round,equal-to-diameter(circular),1,Clear,,aluminum-bottle-500ml-mixed-20-410,,178 ±2 mm×1,74 ±1 mm×1
Apothecary,15,58,30,30.0,round,equal-to-diameter(circular),1,Cobalt Blue,Glass Stopper,apothecary-15ml-cobalt-blue-Ground-glassapplicator,,58 ±1 mm×1,30 ±0.5 mm×1
Apothecary,30,58,37,37.0,round,equal-to-diameter(circular),3,Clear|Cobalt Blue|Green,Glass Stopper,apothecary-30ml-clear-Ground-glassapplicator|apothecary-30ml-cobalt-blue-Ground-glassapplicator|apothecary-30ml-green-Ground-glassapplicator,,58×3,37 ±0.5 mm×3
Apothecary,118,52,27,27.4,round,equal-to-diameter(circular),1,Clear,,pear-118ml-clear-Ground-stopper,,52.2×1,27.4×1
Atomizer,5,76,18,18.0,round,equal-to-diameter(circular),11,Black|Clear|Cobalt Blue|Pink,Atomizer,atomizer-5ml,,76 ±1 mm×11,18 ±0.5 mm×11
Atomizer,5,92,15,15.0,round,equal-to-diameter(circular),3,Black|Clear,Atomizer,atomizer-5ml,,92 ±1 mm×3,15 ±0.5 mm×3
Atomizer,10,82,23,23.0,round,equal-to-diameter(circular),11,Black|Clear|Cobalt Blue|Green|Pink,Atomizer,atomizer-10ml,,82 ±1 mm×11,23 ±0.5 mm×11
Bell,10,55,27,27.0,round,equal-to-diameter(circular),6,Clear,Cap/Closure|Fine Mist Sprayer|Metal Roller Ball|N/A|Plastic Roller Ball,bell-10ml-clear-13-415|bell-10ml-clear-13-415-capclosure|bell-10ml-clear-13-415-finemist|bell-10ml-clear-13-415-rollon,d:override_applied×3;h:override_applied×3,55 ±1 mm×3|None×3,27 ±0.5 mm×3|None×2|22×1
Boston Round,15,68,25,25.0,round,equal-to-diameter(circular),16,Amber|Clear|Cobalt Blue,Dropper|N/A,boston-round-15ml-amber-18-400|boston-round-15ml-amber-18-400-dropper|boston-round-15ml-clear-18-400|boston-round-15ml-cobalt-blue-18-400|boston-round-15ml-cobalt-blue-18-400-dropper,d:override_applied×1;h:override_applied×1,68 ±1 mm×15|None×1,25 ±0.5 mm×15|None×1
Boston Round,30,68,33,33.0,round,equal-to-diameter(circular),1,Clear,,boston-round-30ml-clear-20-400,site_depth_semantics_suspect(round-family)×1,68 ±1 mm×1,33 ±0.5 mm×1
