graceSku,websiteSku,productId,productGroupId,productGroupSlug,family,category,bottleCollection,shape,color,capacityMl,capacityOz,material,glassFinish,axisSemantics,heightWithoutCap_raw,heightWithCap_raw,diameter_raw,capHeight_raw,neckThreadSize,convexWidthMm_live,convexDepthMm_live,widthDepthIndependent,canon_bodyHeightMm,canon_bodyHeight_source,canon_bodyHeight_confidence,canon_widthAxisMm,canon_widthAxis_source,canon_widthAxis_confidence,canon_secondAxisMm,canon_secondAxis_status,canon_heightWithCapMm,conflict_flags,applicator,capStyle,capColor,trimColor,ballMaterial,assemblyType,bottleWeightG,dataGrade,verified,importSource,stockStatus,websiteTruthStatus,readinessStatus,readinessIssues,measurementSource,site_status,site_heightMm,site_heightWithCapMm,site_diameterMm,site_widthMm,site_depthMm,site_dimsRaw,site_url,site_measuredRenderUrl,site_depthviewRenderUrl,site_agreement,imageUrl,productUrl,itemName
AB-ALU-CLR-65ML-LPM-BLK,Alu65mlLotionPumpBlack,BB-AL-065-0001,kh7b5vg4m7pgnmh247gh5k7mfx83kxja,aluminum-bottle-65ml-mixed-20-410,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,,Clear,65,2.2,Aluminum (brushed),Clear,round,105 ±2 mm,130 ±2 mm,40 ±0.5 mm,,20-410,40.0,40.0,no(copy-of-diameter),94.0,live-site-pdp,high,36.0,live-site-pdp,high,36.0,equal-to-diameter(circular),130.0,convex_height_corrected_by_site(was=105.0);convex_widthaxis_corrected_by_site(was=40.0),Lotion Pump,Pump,Black,,,2-part,70,B — no thread,false,aios_live_confirmed_field_patch_20260508,In Stock,ready,ready,,catalog,live,94.0,127.0,36.0,,,Item Capacity: 65 ml (2.2 oz) | Item Height with Cap: 127 ±2 mm | Item Height without Cap: 94 ±1 mm | Item Diameter: 36 ±0.5 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-black-lotion-pump,,,H:DISAGREE(site=94.0);W:DISAGREE(site=36.0),https://www.bestbottles.com/images/store/enlarged_pics/Alu65mlLotionPumpBlack.gif,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-black-lotion-pump,"Cylinder shaped, brushed aluminum 65 ml bottle with lotion black. For use with lotion or treatment pump. Price Each"
AB-CYL-WHT-65ML-LPM-WHT,Alu65mlLotionPumpWhite,BB-AL-065-0002,kh7b5vg4m7pgnmh247gh5k7mfx83kxja,aluminum-bottle-65ml-mixed-20-410,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,,White,65,2.2,Aluminum (brushed),White,round,94 ±1 mm,127 ±2 mm,36 ±0.5 mm,,20-410,36.0,36.0,no(copy-of-diameter),94.0,catalog+site-confirmed,high,36.0,catalog+site-confirmed,high,36.0,equal-to-diameter(circular),127.0,,Lotion Pump,Pump,White,,,2-part,28.93,A,false,aios_live_confirmed_field_patch_20260508,In Stock,ready,ready,,catalog,live,94.0,127.0,36.0,,,Item Capacity: 65 ml (2.2 oz) | Item Height with Cap: 127 ±2 mm | Item Height without Cap: 94 ±1 mm | Item Diameter: 36 ±0.5 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-white-lotion-pump,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/Alu65mlLotionPumpWhite.gif,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-white-lotion-pump,"Cylinder shaped, brushed aluminum 65 ml bottle with lotion white. For use with lotion or treatment pump. Price Each"
AB-ALU-CLR-100ML-SPR-BLK,Alu100mlSprayBlack,BB-AL-100-0001,kh7fjax9y2zaejf11r30vrha7983j9g2,aluminum-bottle-100ml-mixed-20-410,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,,Clear,100,3.38,Aluminum (brushed),Clear,round,127.8,150 ±2 mm,50 ±0.5 mm,,20-410,50.0,50.0,no(copy-of-diameter),127.8,catalog,medium,50.0,catalog+site-confirmed,high,50.0,equal-to-diameter(circular),150.0,,Fine Mist Sprayer,Spray,Black,,,2-part,70,B — no thread,false,aios_live_confirmed_field_patch_20260508,In Stock,ready,needs-reference,missing_reference,catalog,live,,150.0,50.0,,,Item Capacity: 100 ml (3.38 oz) | Item Height with Cap: 150 ±2 mm | Item Diameter: 50 ±0.5 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-100ml-bottle-black-sprayer,,,W:agree,https://www.bestbottles.com/images/store/enlarged_pics/Alu100mlSprayBlack.gif,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-100ml-bottle-black-sprayer,"Cylinder shaped, matte aluminum 100 ml bottle with black sprayer. For use with cologne, perfume, air freshner, face and body spray, or room "
AB-ALU-CLR-120ML-LPM-BLK,Alu120mlLotionPumpBlack,BB-AL-120-0001,kh7eddvb6prv0jggxeh50wnj3s83k2qn,aluminum-bottle-120ml-mixed-20-410,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,,Clear,120,4.06,Aluminum (brushed),Clear,round,114 ±2 mm,147 ±2 mm,45 ±0.5 mm,,20-410,45.0,45.0,no(copy-of-diameter),114.0,catalog+site-confirmed,high,45.0,catalog+site-confirmed,high,45.0,equal-to-diameter(circular),147.0,,Lotion Pump,Pump,Black,,,2-part,70,B — no thread,false,aios_live_confirmed_field_patch_20260508,In Stock,ready,ready,,catalog,live,114.0,147.0,45.0,,,Item Capacity: 120 ml (4.06 oz) | Item Height with Cap: 147 ±2 mm | Item Height without Cap: 114 ±2 mm | Item Diameter: 45 ±0.5 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-black-lotion-pump,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/Alu120mlLotionPumpBlack.gif,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-black-lotion-pump,"Cylinder shaped, brushed aluminum 120 ml bottle with lotion black. For use with lotion or treatment pump. Price Each"
AB-ALU-CLR-120ML-LPM-WHT,Alu120mlLotionPumpWhite,BB-AL-120-0002,kh7eddvb6prv0jggxeh50wnj3s83k2qn,aluminum-bottle-120ml-mixed-20-410,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,,Clear,120,4.06,Aluminum (brushed),Clear,round,114 ±2 mm,147 ±2 mm,45 ±0.5 mm,,20-410,45.0,45.0,no(copy-of-diameter),114.0,catalog+site-confirmed,high,45.0,catalog+site-confirmed,high,45.0,equal-to-diameter(circular),147.0,,Lotion Pump,Pump,White,,,2-part,70,B — no thread,false,aios_live_confirmed_field_patch_20260508,In Stock,ready,ready,,catalog,live,114.0,147.0,45.0,,,Item Capacity: 120 ml (4.06 oz) | Item Height with Cap: 147 ±2 mm | Item Height without Cap: 114 ±2 mm | Item Diameter: 45 ±0.5 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-white-lotion-pump,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/Alu120mlLotionPumpWhite.gif,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-white-lotion-pump,"Cylinder shaped, brushed aluminum 120 ml bottle with lotion white. For use with lotion or treatment pump. Price Each"
BB-ALU250SPRYBL,Alu250SpryBl,NEW-ALU250SPRYBL,kh73cxjg98rg1acf9t3j7wyhz183knhp,fine-mist-sprayer-20-410,Aluminum Bottle,Component,Aluminum Bottle,,,250,8.45,Aluminum (brushed),,round,,,,,20-410,,,,155.0,live-site-pdp,high,50.0,live-site-pdp,high,50.0,equal-to-diameter(circular),,d:missing;h:missing,,,,,,component,,,false,grace_products_final_json,In Stock,component_lane,component-exception,component_exception,missing,live,155.0,178.0,50.0,,,Item Capacity: 250 ml (8.45 oz) | Item Height with Cap: 178 ±2 mm | Item Height without Cap: 155 ±2 mm | Item Diameter: 50 ±0.5 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer,,,,https://www.bestbottles.com/images/store/enlarged_pics/Alu250mlSprayblack.gif,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer,"Cylinder shaped, matte aluminum 250 ml bottle with black sprayer. For use with cologne, perfume, air freshner, face and body spray, or room "
AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack,BB-AL-250-0001,kh7epny5ave5xd0dcmk1z6j00n86b07c,aluminum-bottle-250ml-clear-20-410-finemist,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,Standard,Clear,250,8.45,Aluminum (brushed),Clear,round,127.8,180 ±2 mm,60 ±0.5 mm,,20-410,,,,127.8,manual-override(website-verified),high,60.0,manual-override(website-verified),high,60.0,equal-to-diameter(circular),180.0,d:override_applied;h:override_applied,Fine Mist Sprayer,Spray,Black,,,,70,B — no thread,false,aios_live_confirmed_reconciliation_20260508,In Stock,,needs-reference,measurement_override_pending_convex_sync;missing_reference,manual-override,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1779263753602-a62a4b27-dd0f-4fe9-99ee-aa4c1661a3c1_50e823bc-3c02-443d-b26b-a7b27b3a696a.png?v=1781510385,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer,Aluminum Bottle 250 ml (8.45 oz) Clear Aluminum Bottle with Sprayer Black Cap
AB-ALU-CLR-500ML,Alu500,BB-AL-500-0001,kh73wp06w7qmhc5abctrccjedn83k16p,aluminum-bottle-500ml-mixed-20-410,Aluminum Bottle,Aluminum Bottle,Aluminum Bottle,,Clear,500,16.91,Aluminum (brushed),Clear,round,178 ±2 mm,186 ±2 mm,74 ±1 mm,,20-410,74.0,74.0,no(copy-of-diameter),178.0,catalog+site-confirmed,high,74.0,catalog+site-confirmed,high,74.0,equal-to-diameter(circular),186.0,,,,Clear,,,2-part,70,C — no applicator; no cap color; no thread,false,aios_live_confirmed_field_patch_20260508,In Stock,ready,needs-reference,missing_reference,catalog,live,178.0,186.0,74.0,,,Item Capacity: 500 ml (16.91 oz) | Item Height with Cap: 186 ±2 mm | Item Height without Cap: 178 ±2 mm | Item Diameter: 74 ±1 mm | Neck Thread Size: 20-410,https://www.bestbottles.com/product/Aluminum-Bottle-Can-white-cap-500ml,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/Alu500.gif,https://www.bestbottles.com/product/Aluminum-Bottle-Can-white-cap-500ml,"Cylinder shaped, aluminum 500 ml bottle with white plug and tear off cap. For use with perfume oil, aromatic oils, fragrance oils and attars"
GB-APT-BLU-15ML-BLU-T,GB15ApthBlue,BB-GB-015-0001,kh75zzjck76jpqraxft0vhs4pd83k811,apothecary-15ml-cobalt-blue-Ground-glassapplicator,Apothecary,Glass Bottle,Apothecary,,Cobalt Blue,15,0.51,Glass,Cobalt,round,58 ±1 mm,82 ±1 mm,30 ±0.5 mm,,Ground,30.0,30.0,no(copy-of-diameter),58.0,catalog+site-confirmed,high,30.0,catalog+site-confirmed,high,30.0,equal-to-diameter(circular),82.0,,Glass Stopper,Tall,Blue,,,2-part,75.08,B — no applicator,false,grace_products_final_json,In Stock,ready,ready,,catalog,live,58.0,82.0,30.0,,,Item Capacity: 15 ml (0.51 oz) | Item Height with Cap: 82 ±1 mm | Item Height without Cap: 58 ±1 mm | Item Diameter: 30 ±0.5 mm | Neck Thread Size: Ground glass neck with glass stopper,https://www.bestbottles.com/product/Apothecary-style-15-ml-blue-glass-bottle-blue-glass-stopper,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GB15ApthBlue.gif,https://www.bestbottles.com/product/Apothecary-style-15-ml-blue-glass-bottle-blue-glass-stopper,"Apothecary style  15 ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good "
GB-APT-CLR-30ML-T,GB1ozApth,BB-GB-030-0001,kh74mjg1k626msbrwhjcj1jxvd83kev5,apothecary-30ml-clear-Ground-glassapplicator,Apothecary,Glass Bottle,Apothecary,,Clear,30,1.01,Glass,Clear,round,58,98 ±1 mm,37 ±0.5 mm,,Ground,37.0,37.0,no(copy-of-diameter),58.0,catalog,medium,37.0,catalog+site-confirmed,high,37.0,equal-to-diameter(circular),98.0,,Glass Stopper,Tall,Clear,,,2-part,75.08,B — no applicator; no cap color,false,grace_products_final_json,In Stock,ready,ready,,catalog,live,,98.0,37.0,,,Item Capacity: 30 ml (1.01 oz) | Item Height with Cap: 98 ±1 mm | Item Diameter: 37 ±0.5 mm | Neck Thread Size: Ground glass neck with glass stopper,https://www.bestbottles.com/product/Apothecary-style-1-ounce-clear-glass-bottle-clear-glass-stopper,,,W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApth.gif,https://www.bestbottles.com/product/Apothecary-style-1-ounce-clear-glass-bottle-clear-glass-stopper,"Apothecary style 30ml clear glass bottle with glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for di"
