graceSku,websiteSku,productId,family,capacityMl,heightWithoutCap,heightWithCap,diameter,widthMm,depthMm,bottleWeightG,verified,measurementSource,importSource
AB-ALU-CLR-100ML-SPR-BLK,Alu100mlSprayBlack,BB-AL-100-0001,Aluminum Bottle,100,127.8,150 ±2 mm,50 ±0.5 mm,,,70,false,,case_weight_corrections_20260423
AB-ALU-CLR-120ML-LPM-BLK,Alu120mlLotionPumpBlack,BB-AL-120-0001,Aluminum Bottle,120,114 ±2 mm,147 ±2 mm,45 ±0.5 mm,45,45,70,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
AB-ALU-CLR-120ML-LPM-WHT,Alu120mlLotionPumpWhite,BB-AL-120-0002,Aluminum Bottle,120,114 ±2 mm,147 ±2 mm,45 ±0.5 mm,45,45,70,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack,BB-AL-250-0001,Aluminum Bottle,250,127.8,180 ±2 mm,60 ±0.5 mm,60,60,70,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,catalog-sync-2026-07-20-master-truth
AB-ALU-CLR-500ML,Alu500,BB-AL-500-0001,Aluminum Bottle,500,178 ±2 mm,186 ±2 mm,74 ±1 mm,74,74,70,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
AB-ALU-CLR-65ML-LPM-BLK,Alu65mlLotionPumpBlack,BB-AL-065-0001,Aluminum Bottle,65,94 ±1 mm,130 ±2 mm,36 ±0.5 mm,36,36,70,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
AB-CYL-WHT-65ML-LPM-WHT,Alu65mlLotionPumpWhite,BB-AL-065-0002,Aluminum Bottle,65,94 ±1 mm,127 ±2 mm,36 ±0.5 mm,36,36,28.93,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-FNL-02,Plastic,BB-AC-000-0028,Tool,0,93.8,74.8,23.7,,,71.5,false,,grace_products_final_json
ACC-FNL-GLD,FunnelMetalGl,BB-AC-000-0026,Tool,0,50.8,35 ±1 mm,25 ±0.5 mm,25,,75.08,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-FNL-SLV,FunnelMetalSl,BB-AC-000-0027,Tool,0,50.8,35 ±1 mm,25 ±0.5 mm,25,,75.08,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-BLK-4X6,OBagBlack4x6,BB-PK-000-0015,Gift Bag,0,93.8,144 ±2 mm,122 ±2 mm,122,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-BLK-5X8,OBagBlack5x8,BB-PK-000-0016,Gift Bag,0,93.8,197 ±2 mm,145 ±2 mm,145,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-CHGN-4X6,OBagChGreen4x6,BB-PK-000-0017,Gift Bag,0,93.8,197 ±2 mm,145 ±2 mm,145,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-CHGN-5X8,OBagChGreen5x8,BB-PK-000-0018,Gift Bag,0,93.8,197 ±2 mm,145 ±2 mm,145,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-GLD-4X6,OBagGold4x6,BB-PK-000-0019,Gift Bag,0,93.8,144 ±2 mm,122 ±2 mm,122,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-GLD-5X8,OBagGold5x8,BB-PK-000-0020,Gift Bag,0,93.8,197 ±2 mm,145 ±2 mm,145,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-IVY-4X6,OBagIvory4x6,BB-PK-000-0021,Gift Bag,0,93.8,144 ±2 mm,122 ±2 mm,122,,6,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
ACC-ORG-LTPR-5X8,OBagLightPurple5x8,BB-PK-000-0023,Gift Bag,0,,197 ±2 mm,145 ±2 mm,145,,,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-LVN-5X8,OBagLavender5x8,BB-PK-000-0022,Gift Bag,0,,197 ±2 mm,145 ±2 mm,145,,,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
ACC-ORG-PNK-4X6,OBagPink4x6,BB-PK-000-0024,Gift Bag,0,93.8,144 ±2 mm,122 ±2 mm,122,,6,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
ACC-ORG-PRP-4X6,OBagPurple4x6,BB-PK-000-0025,Gift Bag,0,93.8,144 ±2 mm,122 ±2 mm,122,,6,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
ACC-ORG-RED-4X6,OBagRed4x6,BB-PK-000-0026,Gift Bag,0,93.8,144 ±2 mm,122 ±2 mm,122,,71.5,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
