"coverageStatus","generationBucket","referenceStatus","coverageSource","graceSku","websiteSku","family","productGroupSlug","itemName","color","capacity","capacityMl","applicator","capStyle","capColor","materialBucket","currentImageUrl","currentImageUrlCapOff","coverageEvidenceUrl","referenceSource","referencePath","referenceUrl","productUrl","missingPromptFields"
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-SLM-BLK-5ML-ATM-BLK-T","GBAtom5SlimBlk","Atomizer","","Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Black","5 ml (0.17 oz)","5","Atomizer","Tall","Black","black","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588034304_nb3j5c_046d75ee-7554-4bd7-8bf8-f8d86ad9dd1e.png?v=1779602567","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588034304_nb3j5c_046d75ee-7554-4bd7-8bf8-f8d86ad9dd1e.png?v=1779602567","","","","https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RYL-CLR-13ML-ROL-SLDT","GBRoyal13RollSlDot","Royal","","Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pr","Clear","13 ml (0.44 oz)","13","Plastic Roller Ball","Dot Cap","Silver Dotted","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13RollSlDot.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/best-bottles/local-generation/reference-backed-clear-remaining-batch-001-nb2-2026-06-09/cap-on/GB-RYL-CLR-13ML-ROL-SLDT.png","generated_images","","","https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","LB-CIR-CLR-100ML-LPM-COCP","LBCrcl100LtnClOvrCap","Circle","","Circle design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle de","Clear","100 ml (3.38 oz)","100","Lotion Pump","Pump","Clear Overcap","clear","https://www.bestbottles.com/images/store/enlarged_pics/LBCrcl100LtnClOvrCap.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/paper-doll/master_corrected_1779527035625_ec59ln.png","generated_images","","","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-78ML-RDC-MSLV-T","GBRndFrst78RdcrMtSlTall","Round","","Round design 78 ml, 2.65oz frosted glass bottle with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each","Frosted","78 ml (2.64 oz)","78","Reducer","Tall","Matte Silver","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst78RdcrMtSlTall.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-78ML-RDC-MSLV-T_1779532318771_k6nlas.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-EMP-CLR-50ML-AST-RED","GBEmp50AnSpTslRed","Empire","","Empire design 50 ml, 1.7oz  clear glass bottle  with Red vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance","Clear","50 ml (1.69 oz)","50","Vintage Bulb Sprayer with Tassel","Spray","Red","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778802415546-2226abb8-1bc2-411d-afc4-0976c4241ba9.png?v=1779037347","https://cdn.sanity.io/images/gh97irjh/production/625c2a62e987a68e38b28c393708f5974c2dd2ba-2080x2288.png","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778802415546-2226abb8-1bc2-411d-afc4-0976c4241ba9.png?v=1779037347","","","","https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-128ML-ASP-RED","GBRndFrst128AnSpRed","Round","","Round design 128 ml, 4.33oz frosted glass bottle with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty","Frosted","128 ml (4.33 oz)","128","Vintage Bulb Sprayer","Spray","Red","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst128AnSpRed.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-128ML-ASP-RED_1779532381920_7k4a97.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","LB-ELG-FRS-100ML-LPM-MGLD","LBElgFrst100LtnMtGl","Elegant","","Elegant design 100 ml, 3 1/2oz frosted glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail","Frosted","100 ml (3.38 oz)","100","Lotion Pump","Screw Cap","Matte Gold","frosted","https://www.bestbottles.com/images/store/enlarged_pics/LBElgFrst100LtnMtGl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Elegant/LB-ELG-FRS-100ML-LPM-MGLD_1779482824690_5z4a7b.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-gold-lotion-pump-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-SLM-CLR-5ML-ATM-GLD-T","GBAtom5SlimGl","Atomizer","","Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Clear","5 ml (0.17 oz)","5","Atomizer","Tall","Gold","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588088625_bcij1v_bb6f1470-9d52-4e6e-9862-145e6d16bf29.png?v=1779602562","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588088625_bcij1v_bb6f1470-9d52-4e6e-9862-145e6d16bf29.png?v=1779602562","","","","https://www.bestbottles.com/product/gold-slim-atomizer-design-5-ml-bottle",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","LB-CIR-FRS-100ML-LPM-COCP","LBCrclFrst100LtnClOvrCap","Circle","","Circle design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle","Frosted","100 ml (3.38 oz)","100","Lotion Pump","Pump","Clear Overcap","frosted","https://www.bestbottles.com/images/store/enlarged_pics/LBCrclFrst100LtnClOvrCap.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/LB-CIR-FRS-100ML-LPM-COCP_1779525206447_9r5102.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RYL-CLR-13ML-ROL-MSLV","GBRoyal13RollSlMatt","Royal","","Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price","Clear","13 ml (0.44 oz)","13","Plastic Roller Ball","Roll-On","Matte Silver","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13RollSlMatt.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-ROL-MSLV__GBRoyal13RollSlMatt__pdp-main__v001.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap",""
