graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,Atomizer,"Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",Black,5 ml (0.17 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588034304_nb3j5c_046d75ee-7554-4bd7-8bf8-f8d86ad9dd1e.png?v=1779602567,
GB-EMP-CLR-50ML-AST-RED,GBEmp50AnSpTslRed,Empire,"Empire design 50 ml, 1.7oz  clear glass bottle  with Red vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",Clear,50 ml (1.69 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778802415546-2226abb8-1bc2-411d-afc4-0976c4241ba9.png?v=1779037347,
GB-SLM-CLR-5ML-ATM-GLD-T,GBAtom5SlimGl,Atomizer,"Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",Clear,5 ml (0.17 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588088625_bcij1v_bb6f1470-9d52-4e6e-9862-145e6d16bf29.png?v=1779602562,
GB-EMP-CLR-50ML-AST-WHT,GBEmp50AnSpTslWht,Empire,"Empire design 50 ml, 1.7oz  clear glass bottle  with White vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc",Clear,50 ml (1.69 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778801614828-7296413a-bb82-41ac-b404-a0c25a134088.png?v=1779037375,
GB-SLM-CLR-5ML-ATM-SLV-T,GBAtom5SlimSl,Atomizer,"Silver slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",Clear,5 ml (0.17 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588140614_j2unbh_fa555608-e72c-471a-8506-6fe01160585d.png?v=1779602557,
LB-CYL-CLR-100ML-LPM-COCP,LBCyl100LtnClOvrCap,Cylinder,"Cylinder design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinde",Clear,100 ml (3.38 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779522046471_dbtg17.png?v=1779522248,
GB-EMP-CLR-50ML-AST-MSLV,GBEmp50AnSpTslMtSl,Empire,"Empire design 50 ml, 1.7oz  clear glass bottle  with Silver vintage style bulb sprayer with tassel with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",Clear,50 ml (1.69 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778801678964-0943aa37-f4cb-47a2-b413-d1383a717cbd.png?v=1779037371,
GB-CYL-CLR-5ML-ATM-SLV-03,GBAtom5SlStars,Atomizer,"Silver atomizer design 5 ml bottle with star patterns. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",Clear,5 ml (0.17 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588197499_i22fdn_cbc7a9bb-6df6-475a-8e20-5e6730a03743.png?v=1779603554,
LB-DVA-CLR-100ML-LPM-COCP,LBDiva100LtnClOvrCap,Diva,"Diva design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Our Classic",Clear,100 ml (3.38 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779489587697_xgompz.png?v=1779490542,
GB-CYL-BLK-10ML-ATM-BLK-01,GBAtom10Blk,Atomizer,"Black atomizer design 10 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",Black,10 ml (0.34 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588837027_u6vyrl_bb2bbd5b-20af-4712-9d51-057408c6a328.png?v=1779603839,
GB-CYL-BLK-10ML-ATM-BLK-02,GBAtom10BlkDot,Atomizer,"Black atomizer design 10 ml bottle with dots. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",Black,10 ml (0.34 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588897934_15a1vq_5edb5ce2-68cc-4d4a-9fa8-a928f5198986.png?v=1779603835,
