graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-RYL-CLR-13ML-ROL-SLDT,GBRoyal13RollSlDot,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pr",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/best-bottles/local-generation/reference-backed-clear-remaining-batch-001-nb2-2026-06-09/cap-on/GB-RYL-CLR-13ML-ROL-SLDT.png,
LB-CIR-CLR-100ML-LPM-COCP,LBCrcl100LtnClOvrCap,Circle,"Circle design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle de",Clear,100 ml (3.38 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/paper-doll/master_corrected_1779527035625_ec59ln.png,
GB-RND-FRS-78ML-RDC-MSLV-T,GBRndFrst78RdcrMtSlTall,Round,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",Frosted,78 ml (2.64 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-78ML-RDC-MSLV-T_1779532318771_k6nlas.png,
GB-RND-FRS-128ML-ASP-RED,GBRndFrst128AnSpRed,Round,"Round design 128 ml, 4.33oz frosted glass bottle with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",Frosted,128 ml (4.33 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-128ML-ASP-RED_1779532381920_7k4a97.png,
LB-ELG-FRS-100ML-LPM-MGLD,LBElgFrst100LtnMtGl,Elegant,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail",Frosted,100 ml (3.38 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Elegant/LB-ELG-FRS-100ML-LPM-MGLD_1779482824690_5z4a7b.png,
LB-CIR-FRS-100ML-LPM-COCP,LBCrclFrst100LtnClOvrCap,Circle,"Circle design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle",Frosted,100 ml (3.38 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/LB-CIR-FRS-100ML-LPM-COCP_1779525206447_9r5102.png,
GB-RYL-CLR-13ML-ROL-MSLV,GBRoyal13RollSlMatt,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-ROL-MSLV__GBRoyal13RollSlMatt__pdp-main__v001.png,
GB-RND-FRS-78ML-RDC-MSLV,GBRndFrst78RdcrMtSl,Round,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",Frosted,78 ml (2.64 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-78ML-RDC-MSLV_1779532325262_ur3x7q.png,
GB-SQR-CLR-15ML-MRL-SBLK,GBSqr15MtlRollBlkSh,Square,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price ea",Clear,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-SQR-CLR-15ML-MRL-SBLK__GBSqr15MtlRollBlkSh__pdp-main__v001.png,
GB-RND-FRS-128ML-ASP-MSLV,GBRndFrst128AnSpMtSl,Round,"Round design 128 ml, 4.33oz frosted glass bottle with matte silver vintage style sprayer with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",Frosted,128 ml (4.33 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-128ML-ASP-MSLV_1779532373102_yulpff.png,
