status,legacy_section,legacy_sku,current_alias_sku,legacy_description,legacy_product_url,legacy_product_delivery,legacy_listing_image_url,legacy_image_delivery,listing_image_exact_for_sku,generation_reference_ready,notes
legacy_alias_of_current,Funnels and Droppers,Plastic Funnels,Plastic,Small plastic funnel.,https://www.bestbottles.com/product/Funnel-Plastic-small,healthy,https://www.bestbottles.com/images/store/Plastic Funnels.png,healthy,yes,no,
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagGreen4x6,,Green Organza / sheer gusseted gift bag. Size : 4 inches x 6 inches,https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Pouch-Green-4x6,healthy,https://www.bestbottles.com/images/store/OBagGreen4x6.png,healthy,yes,yes,Legacy URL collides with current SKU(s): OBagChGreen4x6
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagGreen5x8,,Green Organza / sheer gusseted gift bag. Size : 5 inches x 8 inches,https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Pouch-Green-5x8,healthy,https://www.bestbottles.com/images/store/OBagGreen5x8.png,healthy,yes,yes,Legacy URL collides with current SKU(s): OBagChGreen5x8
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagIvory5x8,,"Ivory Organza / sheer gusseted gift bag. Size : 5""x 8""",https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Ivory-5x8,healthy,https://www.bestbottles.com/images/store/OBagIvory4x6.png,healthy,no,no,
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagLavender 4x6,,Lavender Organza / sheer gusseted gift bag. Size : 4 inches x 6 inches,https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Pouch-Lavender-4x6,healthy,https://www.bestbottles.com/images/store/OBagLavender5x8.png,healthy,no,no,
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagPink5x8,,Pink Organza / sheer gusseted gift bag. Size : 5 inches x 8 inches,https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Pink-5x8,healthy,https://www.bestbottles.com/images/store/OBagPink4x6.png,healthy,no,no,
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagPurple5x8,,Purple Organza / sheer gusseted gift bag. Size : 5 inches x 8 inches,https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Purple-5x8,healthy,https://www.bestbottles.com/images/store/OBagPurple4x6.png,healthy,no,no,
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,OBagSilver5x8,,Silver Gray Organza / sheer gusseted gift bag. Size : 5 inches x 8 inches,https://www.bestbottles.com/product/Organza-Sheer-Gift-Bag-Silver-5x8,healthy,https://www.bestbottles.com/images/store/OBagSilver4x6.png,healthy,no,no,
missing_from_current_catalog,Gift Bags - Velveteen Pouches and Organza Bags,VBagBlue4x5,,"Blue velveteen gift bag / pouch. Size : 5.5\ tall x 4""wide.""""""",https://www.bestbottles.com/product/Small-velveteen-Black-gift-bag-pouch-4x5,healthy,https://www.bestbottles.com/images/store/VBagBlue4x5.png,healthy,yes,yes,Legacy URL collides with current SKU(s): VBagBlack4x5
missing_from_current_catalog,Gift Boxes,BoxBWndwSlvrChks,,"Silver Shade Check design folding carton box with window. Size: 1.5\deep x 1.5""Wide x 3.5\""""High.""""""",https://www.bestbottles.com/product/Gift-box-B-small-window-green-shade,healthy,https://www.bestbottles.com/images/store/BoxBWndwSlvrChks.png,healthy,yes,yes,
missing_from_current_catalog,"Caps, Rollon Plugs and Spray Tops",CP13-415BlkShShtMtl,,"Short Cap, lid or top, shiny black color, thread size 13-415.",https://www.bestbottles.com/product/Short-Caps-lids-top-bottle-shiny-black-Color-13-415,healthy,https://www.bestbottles.com/images/store/13-415CpBlkShShtMtl.png,healthy,no,no,
