family,product_group_slug,sku,website_sku,product_media_count,issue,recommended_next_action,convex_image_url,product_media_sample
Atomizer,atomizer-5ml-slim,GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588034304_nb3j5c_046d75ee-7554-4bd7-8bf8-f8d86ad9dd1e.png?v=1779602567,
Atomizer,atomizer-5ml-slim,GB-SLM-CLR-5ML-ATM-GLD-T,GBAtom5SlimGl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588088625_bcij1v_bb6f1470-9d52-4e6e-9862-145e6d16bf29.png?v=1779602562,
Atomizer,atomizer-5ml-slim,GB-SLM-CLR-5ML-ATM-SLV-T,GBAtom5SlimSl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588140614_j2unbh_fa555608-e72c-471a-8506-6fe01160585d.png?v=1779602557,
Elegant,elegant-30ml-clear-15-415-perfumespray,GB-ELG-CLR-30ML-SPR-SGLD,GBElg30SpryShGl,3,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBElg30SpryShnGl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-ELG-CLR-30ML-SPR-MSLV.png?v=1781251609 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-ELG-CLR-30ML-SPR-MGLD.png?v=1781251609 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-ELG-BLK-30ML-SPR-BLK_1779482930711_6nhi5r.png?v=1781251608
Elegant,elegant-30ml-clear-15-415-perfumespray,GB-ELG-CLR-30ML-SPR-SSLV,GBElg30SpryShnSl,3,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBElg30SpryShSl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-ELG-CLR-30ML-SPR-MSLV.png?v=1781251609 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-ELG-CLR-30ML-SPR-MGLD.png?v=1781251609 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-ELG-BLK-30ML-SPR-BLK_1779482930711_6nhi5r.png?v=1781251608
Slim,slim-100ml-clear-18-415-lotionpump,LB-SLM-CLR-100ML-LPM-CPR,LBSlm100LtnCu,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/LBSlm100LtnCu.gif,
Cylinder,cylinder-28ml-clear-16mm-rollon,GB-CYL-CLR-28ML-MRL-02,GBMtlRoll28Wht,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl28MtlRollWht.gif,
Dropper,dropper-18-400,CMP-DRP-WHT-18400-66,Drp18-40015mlWhiteBulb,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlWhiteBulb.gif,
Dropper,dropper-18-400,CMP-DRP-BKSL-18400-66,Drp18-40015mlShnSlTrimBlkBulb,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlShnSlTrimBlkBulb.gif,
Dropper,dropper-18-400,CMP-DRP-WTGD-18400-66,Drp18-40015mlShnGlTrimWhiteBulb,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlShnGlTrimWhiteBulb.gif,
