id,grace_sku,website_sku,category,family,capacity,neck_thread_size,item_name,item_description,image_url,price_1,price_10,price_12,in_stock,product_url,compatible_components_count,color,canonical_slug,colorSource,csvLastUpdatedAt,convexSyncedAt
BB-GB-015-0001,GB-APT-BLU-15ML-BLU-T,GB15ApthBlue,Glass Bottle,Apothecary,15 ml (0.51 oz),Ground,"Apothecary style  15 ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products.  These are hand made bottles with ground glass stoppers. The stoppers are not leak proof,","Apothecary style  15 ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products.  These are hand made bottles with ground glass stoppers. The stoppers are not leak proof,",https://www.bestbottles.com/images/store/enlarged_pics/GB15ApthBlue.gif,2.9,,2.76,True,https://www.bestbottles.com/product/Apothecary-style-15-ml-blue-glass-bottle-blue-glass-stopper,0.0,cobalt_blue,apothecary-15ml-cobalt_blue,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-030-0002,GB-APT-BLU-30ML-BLU-T,GB1ozApthBlue,Glass Bottle,Apothecary,30 ml (1.01 oz),Ground,"Apothecary style 30ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, and","Apothecary style 30ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, and",https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApthBlue.gif,2.9,,2.76,True,https://www.bestbottles.com/product/Apothecary-style-1-ounce-blue-glass-bottle-blue-glass-stopper,0.0,cobalt_blue,apothecary-30ml-cobalt_blue,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-030-0001,GB-APT-CLR-30ML-T,GB1ozApth,Glass Bottle,Apothecary,30 ml (1.01 oz),Ground,"Apothecary style 30ml clear glass bottle with glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, and wil","Apothecary style 30ml clear glass bottle with glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, and wil",https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApth.gif,2.9,,2.76,True,https://www.bestbottles.com/product/Apothecary-style-1-ounce-clear-glass-bottle-clear-glass-stopper,0.0,clear,apothecary-30ml,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-030-0003,GB-APT-GRN-30ML-GRN-T,GB1ozApthGreen,Glass Bottle,Apothecary,30 ml (1.01 oz),Ground,"Apothecary style 30ml green glass bottle with green glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, a","Apothecary style 30ml green glass bottle with green glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, a",https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApthGreen.gif,2.9,,2.76,True,https://www.bestbottles.com/product/Apothecary-style-1-ounce-green-glass-bottle-green-glass-stopper,0.0,green,apothecary-30ml-green,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-060-0033,GB-BSR-AMB-60ML-RBL-SBLK,GBBstnAmb2ozRollonShnBlk,Glass Bottle,Boston Round,60 ml (2.03 oz),20-400,"Boston Round design 60ml,2 oz Amber glass bottle with plastic roller ball plug and shiny black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each","Boston Round design 60ml,2 oz Amber glass bottle with plastic roller ball plug and shiny black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonShnBlk.gif,0.95,,0.9,True,https://www.bestbottles.com/product/Boston-Round-Amber-Glass-Roll-on-Bottle-Shiny-Black-Cap-2oz,20.0,amber,boston-round-60ml-amber-rollon,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-060-0050,GB-BSR-CBL-60ML-RBL-SBLK,GBBstnBlu2ozRollonShnBlk,Glass Bottle,Boston Round,60 ml (2.03 oz),20-400,"Boston design 60ml,2 oz blue glass bottle with plastic roller ball plug and black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each","Boston design 60ml,2 oz blue glass bottle with plastic roller ball plug and black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonShnBlk.gif,0.95,,0.9,True,https://www.bestbottles.com/product/Boston-Round-Blue-Glass-Roll-on-Bottle-Black-Cap-2oz,20.0,cobalt_blue,boston-round-60ml-cobalt_blue-rollon,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-030-0007,GB-BSR-CLR-30ML-MRL-BLK,GBBstn1ozMtlRollonBlk,Glass Bottle,Boston Round,30 ml (1.01 oz),20-400,"Boston round clear glass bottle with metal roll on and black cap, 1 oz capacity","Boston round clear glass bottle with metal roll on and black cap, 1 oz capacity",https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonBlk.gif,1.07,,1.02,True,https://www.bestbottles.com/product/boston-round-design-1-oz-clear-glass-bottle-metal-roller-ball-shiny-black-cap,20.0,black,boston-round-30ml-black-rollon,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-015-0006,GB-BSR-AMB-15ML-BLK-T-03,GBBstnAmb15mlBlkDropperSlTrim,Glass Bottle,Boston Round,15 ml (0.51 oz),18-400,"Boston round design 15ml, 1/2 oz  Amber glass bottle and black dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Boston round design 15ml, 1/2 oz  Amber glass bottle and black dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlBlkDropperSlTrim.gif,0.82,,0.64,True,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-black-dropper-shiny-silver-trim-cap,8.0,amber,boston-round-15ml-amber-dropper,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-015-0008,GB-BSR-AMB-15ML-WHT-T-02,GBBstnAmb15mlWhtDropperGlTrim,Glass Bottle,Boston Round,15 ml (0.51 oz),18-400,"Boston round design 15ml, 1/2 oz  Amber glass bottle and white dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Boston round design 15ml, 1/2 oz  Amber glass bottle and white dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlWhtDropperGlTrim.gif,0.82,,0.64,True,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-white-dropper-shiny-gold-trim-cap,8.0,amber,boston-round-15ml-amber-dropper,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-015-0009,GB-BSR-AMB-15ML-WHT-T-03,GBBstnAmb15mlWhtDropperSlTrim,Glass Bottle,Boston Round,15 ml (0.51 oz),18-400,"Boston round design 15ml, 1/2 oz  Amber glass bottle and white dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each","Boston round design 15ml, 1/2 oz  Amber glass bottle and white dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlWhtDropperSlTrim.gif,0.82,,0.64,True,https://www.bestbottles.com/product/boston-round-design-15-ml-amber-glass-bottle-white-dropper-shiny-silver-trim-cap,8.0,amber,boston-round-15ml-amber-dropper,text-mined,2026-06-24T22:18:29.034Z,
