body_key,samples,cross_section,height_bare_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,major_axis_mm,body_ratio,dims_confidence,dims_source,notes
aluminum-bottle-100ml-20-410,1,round,127.8,150.0,50.0,,,50.0,2.56,low,convex export (no live data),single page
aluminum-bottle-120ml-20-410,2,round,114.0,147.0,45.0,,,45.0,2.53,high,live bestbottles.com,
aluminum-bottle-250ml-20-410,1,round,155.0,178.0,50.0,,,50.0,3.1,low,live bestbottles.com,single page
aluminum-bottle-500ml-20-410,1,round,178.0,186.0,74.0,,,74.0,2.41,low,live bestbottles.com,single page
aluminum-bottle-65ml-20-410,2,round,94.0,127.0,36.0,,,36.0,2.61,high,live bestbottles.com,
apothecary-118ml-ground,1,round,52.2,77.3,27.4,,,27.4,1.91,low,convex export (no live data),single page
apothecary-15ml-ground,1,round,58.0,82.0,30.0,,,30.0,1.93,low,convex export (no live data),single page
apothecary-15ml-ground-glass-neck-with-glass-stopper,1,round,58.0,82.0,30.0,,,30.0,1.93,low,live bestbottles.com,single page
apothecary-30ml-ground,3,round,58.0,98.0,37.0,,,37.0,1.57,high,convex export (no live data),
apothecary-30ml-ground-glass-neck-with-glass-stopper,0,unknown,,,,,,,,none,convex export (no live data),
atomizer-10ml-17mm,11,round,82.0,89.0,23.0,,,23.0,3.57,high,live bestbottles.com,
atomizer-5ml-10mm,3,round,92.0,104.0,15.0,,,15.0,6.13,high,live bestbottles.com,
atomizer-5ml-13-415,9,round,76.0,81.0,18.0,,,18.0,4.22,high,convex export (no live data),
atomizer-5ml-13mm,8,round,76.0,81.0,18.0,,,18.0,4.22,high,live bestbottles.com,
bell-10ml-13-415,3,round,55.0,66.0,27.0,,,27.0,2.04,high,live bestbottles.com,
boston-round-15ml-18-400,16,round,68.0,91.0,25.0,,,25.0,2.72,high,live bestbottles.com,
boston-round-30ml-20-400,53,round,78.0,97.0,33.0,,73.0,33.0,2.36,low,live bestbottles.com,bare height spread 68.0-78.0mm
boston-round-60ml-20-400,54,round,94.0,111.0,39.0,,88.0,39.0,2.41,high,live bestbottles.com,
cap-closure-0ml-13-415,0,round,,32.0,17.0,,,17.0,,none,convex export (no live data),
cap-closure-0ml-13-425,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
cap-closure-0ml-15-415,0,unknown,,,,,,,,none,convex export (no live data),
cap-closure-0ml-18-400,0,round,,11.0,21.0,,,21.0,,none,convex export (no live data),
cap-closure-0ml-18-415,0,round,,30.0,21.0,,,21.0,,none,convex export (no live data),
cap-closure-0ml-20-400,0,round,,12.0,23.0,,,23.0,,none,convex export (no live data),
cap-closure-0ml-22-400,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
cap-closure-0ml-24-400,1,round,93.8,74.8,23.7,,,23.7,3.96,low,convex export (no live data),single page
cap-closure-0ml-8-425,2,round,93.8,16.0,11.0,,,11.0,8.53,medium,convex export (no live data),
cap-closure-0ml-specialty,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
cap-closure-30ml-45mm,1,round,35.0,40.0,52.0,,,52.0,0.67,low,live bestbottles.com,single page
