graceSku,websiteSku,bodyId,neck,category,compatibilityClass,glass,fitmentType,capColor,capStyle,assemblyType,listedComponentCount,excludedByRule,resolvedComponents,unresolvedComponents,status,statusReason,stockStatus,verified,capOffPlate,productUrl,source,confidence,capOffPlateSha256,buildParts,buildStatus,buildReason
PB-CYL-CLR-118ML-WFLP,PbClear4ozFlpWh,cylinder-114ml-no-neck,,Plastic Bottle,plastic-bottle,Clear,N/A,White,,complete-set,0,,,,quarantine,no neck finish on the record,In Stock,False,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-118ml-clear/PbClear4ozFlpWh/57e311826e0189c51a319c58dd5616a48fd62b7d35c0b8ccee39d7be67ca42f0.front-off-1000x1100.webp,https://www.bestbottles.com/product/cylinder-design-4-oz-plastic-bottle-white-flip-top-cap,convex:products (dev) 2026-09-24,low,57e311826e0189c51a319c58dd5616a48fd62b7d35c0b8ccee39d7be67ca42f0,,unresolved,not composable: assembly status is quarantine
PB-CYL-227ML-WFLP,PbClear8ozFlpWh,cylinder-227ml-no-neck,,Plastic Bottle,plastic-bottle,Clear,N/A,White,,complete-set,0,,,,quarantine,no neck finish on the record,In Stock,False,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-227ml-clear/PbClear8ozFlpWh/30dc4c43dd722149d9d5e4d54d10abf5952b92e5d32d23c0057d247c2be28327.front-off-1000x1100.webp,https://www.bestbottles.com/product/cylinder-design-16-oz-plastic-bottle-white-flip-top-cap,convex:products (dev) 2026-09-24,low,30dc4c43dd722149d9d5e4d54d10abf5952b92e5d32d23c0057d247c2be28327,,unresolved,not composable: assembly status is quarantine
PB-CYL-454ML-WFLP,PbNat16ozFlpWh,cylinder-454ml-no-neck,,Plastic Bottle,plastic-bottle,Clear,N/A,White,,complete-set,0,,,,quarantine,no neck finish on the record,In Stock,False,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-454ml-clear/PbNat16ozFlpWh/d36c8934531e57f495a6707a12b709b0d31f41e029ea1cc78bbc47697bc2c1e4.front-off-1000x1100.webp,https://www.bestbottles.com/product/cylinder-design-8-oz-plastic-bottle-white-flip-top-cap,convex:products (dev) 2026-09-24,low,d36c8934531e57f495a6707a12b709b0d31f41e029ea1cc78bbc47697bc2c1e4,,unresolved,not composable: assembly status is quarantine
LB-LTB-CLR-30ML-SGLD-T,LB1ozGl,lotion-bottle-30ml-no-neck,,Glass Bottle,glass-no-neck,Clear,,Shiny Gold,Tall,2-part,0,,,,quarantine,no neck finish on the record,In Stock,False,,https://www.bestbottles.com/product/Lotion-bottle-Gold-treatment-pump-cylinder-1oz,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
LB-LTB-CLR-30ML-SLV-T,LB1ozSl,lotion-bottle-30ml-no-neck,,Glass Bottle,glass-no-neck,Clear,Lotion Pump,Silver,Tall,2-part,0,,,,quarantine,no neck finish on the record,In Stock,False,,https://www.bestbottles.com/product/Lotion-bottle-container-Silver-treatment-pump-cylinder-1oz,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
CMP-SPR-CLR-10ML,PB10SpryNat,plastic-bottle-10ml-no-neck,,Plastic Bottle,plastic-bottle,Clear,Fine Mist Sprayer,Natural,Spray,component,0,,,,quarantine,no neck finish on the record,In Stock,False,,https://www.bestbottles.com/product/Plastic-Bottle-Clear-Natural-sprayer-10ml,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,atomizer-5ml-10mm,10mm,Metal Atomizer,metal-atomizer,Clear,Atomizer,Black,Tall,complete-set,0,,,,quarantine,non-thread neck '10mm' — classify before composing,In Stock,False,,https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
GB-SLM-CLR-5ML-ATM-GLD-T,GBAtom5SlimGl,atomizer-5ml-10mm,10mm,Metal Atomizer,metal-atomizer,Clear,Atomizer,Gold,Tall,complete-set,0,,,,quarantine,non-thread neck '10mm' — classify before composing,In Stock,False,,https://www.bestbottles.com/product/gold-slim-atomizer-design-5-ml-bottle,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
GB-SLM-CLR-5ML-ATM-SLV-T,GBAtom5SlimSl,atomizer-5ml-10mm,10mm,Metal Atomizer,metal-atomizer,Clear,Atomizer,Silver,Tall,complete-set,0,,,,quarantine,non-thread neck '10mm' — classify before composing,In Stock,False,,https://www.bestbottles.com/product/silver-slim-atomizer-design-5-ml-bottle,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
GB-RYL-CLR-14ML-T,GBMtlCylGl,royal-14ml-11mm,11mm,Glass Bottle,glass-11mm,Clear,,Clear,Tall,2-part,0,,,,quarantine,non-thread neck '11mm' — classify before composing,In Stock,False,,https://www.bestbottles.com/product/Royal-Cylindrical-decorative-Perfume-bottle-Gold-Metal-decoration-crystal-top-14ml,convex:products (dev) 2026-09-24,low,,,unresolved,not composable: assembly status is quarantine
GB-SPR-CLR-3ML-BLK,GBSpry3mlClBlk,cylinder-3.3ml-12mm,12mm,Glass Bottle,glass-12mm,Clear,Fine Mist Sprayer,Clear,Spray,2-part,0,,,,candidate,no component list on the record; thread match only,In Stock,True,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-3.3ml-clear-12mm/GBSpry3mlClBlk/79480a6feb9b91e9ea3dfed9852127b27b6778d5717fa0225a854677320e8b47.front-off-1000x1100.webp,https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-3ml,convex:products (dev) 2026-09-24,medium,79480a6feb9b91e9ea3dfed9852127b27b6778d5717fa0225a854677320e8b47,,unresolved,own-part rules not written for 12mm yet (pilot neck is 17-415)
