bodyId,builderBodyId,family,shape,capacityMl,neck,category,compatibilityClass,classSource,glassVariants,currentRecords,retiredRecords,fitmentTypes,heightWithoutCapMm,widthMm,diameterMm,dimsHeightBareMm,dimsDiameterMm,dimsConfidence,dimsSource,representativeGraceSku,representativeWebsiteSku,capOffPlateRecords,capOffPlateExample,status,neckStatus,notes,source,confidence
cylinder-114ml-no-neck,cylinder-114ml||Plastic Bottle,Cylinder,Cylinder,114,,Plastic Bottle,plastic-bottle,jordan-2026-09-24,Clear,1,0,N/A,116.0,41.0,41.0,,,,,PB-CYL-CLR-118ML-WFLP,PbClear4ozFlpWh,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-118ml-clear/PbClear4ozFlpWh/57e311826e0189c51a319c58dd5616a48fd62b7d35c0b8ccee39d7be67ca42f0.front-off-1000x1100.webp,current,missing,,convex:products (dev) 2026-09-24,low
cylinder-227ml-no-neck,cylinder-227ml||Plastic Bottle,Cylinder,Cylinder,227,,Plastic Bottle,plastic-bottle,jordan-2026-09-24,Clear,1,0,N/A,156.0,51.0,51.0,,,,,PB-CYL-227ML-WFLP,PbClear8ozFlpWh,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-227ml-clear/PbClear8ozFlpWh/30dc4c43dd722149d9d5e4d54d10abf5952b92e5d32d23c0057d247c2be28327.front-off-1000x1100.webp,current,missing,,convex:products (dev) 2026-09-24,low
cylinder-454ml-no-neck,cylinder-454ml||Plastic Bottle,Cylinder,Cylinder,454,,Plastic Bottle,plastic-bottle,jordan-2026-09-24,Clear,1,0,N/A,195.0,62.0,62.0,,,,,PB-CYL-454ML-WFLP,PbNat16ozFlpWh,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-454ml-clear/PbNat16ozFlpWh/d36c8934531e57f495a6707a12b709b0d31f41e029ea1cc78bbc47697bc2c1e4.front-off-1000x1100.webp,current,missing,,convex:products (dev) 2026-09-24,low
lotion-bottle-30ml-no-neck,lotion-bottle-30ml||Glass Bottle,Lotion Bottle,,30,,Glass Bottle,glass-no-neck,glass shares components by neck finish,Clear,2,0,Lotion Pump,118.0,33.0,33.0,,,,,LB-LTB-CLR-30ML-SGLD-T,LB1ozGl,0,,current,missing,,convex:products (dev) 2026-09-24,low
plastic-bottle-10ml-no-neck,plastic-bottle-10ml||Plastic Bottle,Plastic Bottle,,10,,Plastic Bottle,plastic-bottle,jordan-2026-09-24,Clear,1,0,Fine Mist Sprayer,93.8,23.7,23.7,,,,,CMP-SPR-CLR-10ML,PB10SpryNat,0,,current,missing,,convex:products (dev) 2026-09-24,low
atomizer-5ml-10mm,atomizer-5ml|10mm|Metal Atomizer,Atomizer,,5,10mm,Metal Atomizer,metal-atomizer,assumed-by-category (not yet ruled),Clear,3,0,Atomizer,92.0,15.0,15.0,92.0,15.0,high,live bestbottles.com,GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
royal-14ml-11mm,royal-14ml|11mm|Glass Bottle,Royal,,14,11mm,Glass Bottle,glass-11mm,glass shares components by neck finish,Clear,1,0,,64.0,43.7,43.7,64.0,32.0,low,live bestbottles.com,GB-RYL-CLR-14ML-T,GBMtlCylGl,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
cylinder-3.3ml-12mm,cylinder-3.3ml|12mm|Glass Bottle,Cylinder,,3.3,12mm,Glass Bottle,glass-12mm,glass shares components by neck finish,Clear,2,0,Fine Mist Sprayer,37.0,14.0,14.0,,,,,GB-SPR-CLR-3ML-BLK,GBSpry3mlClBlk,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-3.3ml-clear-12mm/GBSpry3mlClBlk/79480a6feb9b91e9ea3dfed9852127b27b6778d5717fa0225a854677320e8b47.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cylinder-4ml-12mm,cylinder-4ml|12mm|Glass Bottle,Cylinder,,4,12mm,Glass Bottle,glass-12mm,glass shares components by neck finish,Clear,2,0,Fine Mist Sprayer,49.0,14.0,14.0,49.0,14.0,high,live bestbottles.com,GB-SPR-CLR-4ML-BLK,GBSpry4mlClBlk,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-4ml-clear-12mm/GBSpry4mlClBlk/fab9df26ce3d6d7e8b1c1fb4bd07842c11dfe8e8266f87aea6ef86785380e2fa.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
atomizer-5ml-13-415,atomizer-5ml|13-415|Metal Atomizer,Atomizer,,5,13-415,Metal Atomizer,metal-atomizer,assumed-by-category (not yet ruled),Clear; Cobalt Blue; Pink,9,0,Atomizer,76.0,18.0,18.0,76.0,18.0,high,convex export (no live data),GB-CYL-BLK-5ML-ATM-BLK,GBAtom5Blk,3,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/atomizer-5ml-clear-13-415/GBAtom5Gl/6290f6ac141d677d5d412ec3cd2b5d5d5053e890f923ea0fa77d386b4a6e3830.plateCapOff-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
