bodyId,glass,family,shape,capacityMl,neck,category,assemblies,heightBareMm,diameterMm,widthMm,dimsConfidence,psdCount,uncappedCount,source,plan
apothecary-15ml-Ground,Cobalt Blue,Apothecary,,15,Ground,Glass Bottle,1,58.0,30.0,30.0,convex-only,1,0,10. Apothecary/1. Half Oz -15ml Apoth/1. GB15ApthBlue.psd,own photo
apothecary-30ml-Ground,Clear,Apothecary,,30,Ground,Glass Bottle,1,58.0,37.0,37.0,convex-only,2,0,10. Apothecary/2. 1oz Apoth/2. GB1ozApth.psd,own photo
apothecary-30ml-Ground,Cobalt Blue,Apothecary,,30,Ground,Glass Bottle,1,58.0,37.0,37.0,convex-only,1,0,10. Apothecary/2. 1oz Apoth/1. GB1ozApthBlue.psd,own photo
apothecary-30ml-Ground,Green,Apothecary,,30,Ground,Glass Bottle,1,58.0,37.0,37.0,convex-only,1,0,10. Apothecary/2. 1oz Apoth/3. GB1ozApthGreen.psd,own photo
bell-10ml-13-415,Clear,Bell,Bell,10,13-415,Glass Bottle,4,55.0,27.0,27.0,high,0,0,,no source photo
boston-round-15ml-18-400,Amber,Boston Round,,15,18-400,Glass Bottle,7,68.0,25.0,25.0,high,7,0,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/1. Amber Bottle (.5ounce:15ml) (capped)/Amber Bottle (1.5 ounce) Alternating Caps (capped)/1. GBBstnAmb15mlBlkCapSht.psd,own photo
boston-round-15ml-18-400,Clear,Boston Round,,15,18-400,Glass Bottle,2,68.0,25.0,25.0,high,2,0,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/3. Clear Bottle (.5ounce:15ml) (capped)/Clear Dropper Bottler 1.5 ounce Alternating Caps (capped)/1. GBBstn15BlkCapSht.psd,own photo
boston-round-15ml-18-400,Cobalt Blue,Boston Round,,15,18-400,Glass Bottle,7,68.0,25.0,25.0,high,2,0,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/2. Cobalt Blue Bottle (.5ounce:15ml) (capped)/1. GBBstnBlu15BlkCapSht.psd,own photo
boston-round-30ml-20-400,Amber,Boston Round,,30,20-400,Glass Bottle,18,78.0,33.0,33.0,low,28,12,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/3. (1ounce:30ml) Boston Round (Uncapped)/1. Amber Bottle (1oz)/Amber - Alternating Caps/1. GBBstnAmb1ozMtlRollonMattSl.psd,own photo
boston-round-30ml-20-400,Clear,Boston Round,,30,20-400,Glass Bottle,18,78.0,33.0,33.0,low,18,6,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/3. (1ounce:30ml) Boston Round (Uncapped)/3. Clear Bottle (1oz)/Clear - Alternating Caps/1. GBBstn1ozMtlRollonMattSl.psd,own photo
boston-round-30ml-20-400,Cobalt Blue,Boston Round,,30,20-400,Glass Bottle,17,78.0,33.0,33.0,low,28,11,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/3. (1ounce:30ml) Boston Round (Uncapped)/2. Cobalt Blue Bottle (1oz)/Cobalt Blue - Alternating Caps /1. GBBstnBlu1ozMtlRollonMattSl.psd,own photo
boston-round-60ml-20-400,Amber,Boston Round,,60,20-400,Glass Bottle,18,94.0,39.0,39.0,high,26,11,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/1. (2 ounce:60 ml) Boston Round (Uncapped)/1. Amber Bottle (2 ounce:60 ml)/Amber - Alternating Caps/1. GBBstnAmb2ozMtlRollonMattSl.psd,own photo
boston-round-60ml-20-400,Clear,Boston Round,,60,20-400,Glass Bottle,19,94.0,39.0,39.0,high,3,1,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/1. (2 ounce:60 ml) Boston Round (Uncapped)/3. Clear Bottle (2 ounce:60 ml)/Clear - Alternating Caps/10. GBBstn2ozRollonMattGl.psd,own photo
boston-round-60ml-20-400,Cobalt Blue,Boston Round,,60,20-400,Glass Bottle,17,94.0,39.0,39.0,high,28,11,1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/1. (2 ounce:60 ml) Boston Round (Uncapped)/2. Cobalt Blue Bottle (2 ounce:60 ml)/Cobalt Blue 2oz - Alternating Caps  /1. GBBstnBlu2ozMtlRollonMattSl.psd,own photo
circle-100ml-18-415,Clear,Circle,,100,18-415,Glass Bottle,43,105.0,89.0,89.0,high,69,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/5.  100ml Circle, Ltn & Spry, capped/11. GBCrcl100SpryMtGl.psd",own photo
circle-100ml-18-415,Frosted,Circle,,100,18-415,Glass Bottle,43,105.0,89.0,89.0,high,69,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/6. 100ml Circle Frst, Ltn & Frst, capped/11. GBCrclFrst100SpryMtGl.psd",own photo
circle-15ml-13-415,Clear,Circle,,15,13-415,Glass Bottle,30,60.0,50.0,50.0,high,87,29,5.  13-415 Bottles/17. Circle 15ml/1. Circle 15ml (Uncapped) PSD /1. GBCrcl15BlkSht.psd,own photo
circle-30ml-15-415,Clear,Circle,,30,15-415,Glass Bottle,7,74.0,60.0,60.0,high,12,7,4.  15-415 Bottles/2. Circle Clear 30ml - Uncapped/Circle 30ml/1. GBCrcl30SpryBlk.psd,own photo
circle-50ml-18-415,Clear,Circle,,50,18-415,Glass Bottle,46,87.0,72.0,72.0,verified,72,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/4.  50ml Circle, Ltn & Spr, Capped/11. GBCrcl50SpryMtGl.psd",own photo
circle-50ml-18-415,Frosted,Circle,,50,18-415,Glass Bottle,36,87.0,72.0,72.0,verified,49,0,2.  18-415 Bottles /30. Circle (Frosted) Glass 50ml/1. Circle (Frosted) Glass 50ml/1. GBCrclFrst50RdcrShnGl.psd,own photo
cream-jar-15ml-37mm,Clear,Cream Jar,,15,37mm,Glass Jar,2,31.0,48.0,55.0,low,4,2,"14. Cream Jars/Uncapped/13. Jar Clear, White cap 15ml/CJClr15Wht.psd",own photo
cream-jar-20ml-40mm,White,Cream Jar,,20,40mm,Glass Jar,1,33.9,55.0,55.0,low,2,1,"14. Cream Jars/Uncapped/16. Jar White, White cap 20ml/CJWhite20.psd",own photo
cream-jar-30ml-45mm,Amber,Cream Jar,,30,45mm,Glass Jar,2,35.0,52.0,52.0,high,2,1,"14. Cream Jars/Uncapped/3. Jar Amb, Sl Cap 30ml/CJAmb30SlCap.psd",own photo
cream-jar-30ml-45mm,Frosted,Cream Jar,,30,45mm,Glass Jar,2,35.0,52.0,52.0,high,4,2,"14. Cream Jars/Uncapped/10. Jar Frst, Blk Cap 30ml/CJFrst30BlkCap.psd",own photo
cream-jar-3ml-20mm,Clear,Cream Jar,,3,20mm,Glass Jar,1,18.0,35.0,35.0,low,2,1,"14. Cream Jars/Uncapped/14. Jar Clear, White cap 3ml/CJClr3.psd",own photo
cream-jar-3ml-20mm,Cobalt Blue,Cream Jar,,3,20mm,Glass Jar,1,18.0,35.0,35.0,low,0,0,,geometry from Clear + material reference
cream-jar-40ml-48/400,Amber,Cream Jar,,40,48/400,Glass Jar,2,42.0,56.0,56.0,convex-only,2,1,"14. Cream Jars/Uncapped/7. Jar Amb, Sl Cap 40ml/CJAmb40SlCap.psd",own photo
cream-jar-40ml-48/400,Frosted,Cream Jar,,40,48/400,Glass Jar,2,42.0,56.0,56.0,convex-only,4,2,"14. Cream Jars/Uncapped/2. Jar Frost, Sl Cap 40ml/CJFrst40SlCap.psd",own photo
cream-jar-5ml-27mm,Amber,Cream Jar,,5,27mm,Glass Jar,1,16.0,31.0,31.0,low,2,1,"14. Cream Jars/Uncapped/11. Jar Amb, Blk Cap 5ml/CJAmb5mlBlkCap.psd",own photo
cream-jar-5ml-27mm,Clear,Cream Jar,,5,27mm,Glass Jar,1,16.0,31.0,31.0,low,2,1,"14. Cream Jars/Uncapped/17. Jar Clear, Clear Cap 5ml/CJClr5mlClrCap.psd",own photo
cream-jar-60ml-58mm,Frosted,Cream Jar,,60,58mm,Glass Jar,1,51.0,59.0,59.0,low,0,0,,no source photo
cream-jar-63ml-58mm,White,Cream Jar,,63,58mm,Glass Jar,1,51.0,59.0,59.0,low,1,1,"14. Cream Jars/Uncapped/20. Cream Jar White Plastic 60ml, silver cap/CJWhitePlsSlFr2oz.psd",own photo
cylinder-100ml-18-415,Clear,Cylinder,,100,18-415,Glass Bottle,43,154.0,35.0,35.0,high,67,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/3.  100ml Cyl, Ltn & Spry Capped/11. GBCyl100SpryMtGl.psd",own photo
cylinder-25ml-18-415,Clear,Cylinder,,25,18-415,Glass Bottle,45,83.0,32.0,32.0,high,0,0,,no source photo
cylinder-28ml-16mm,Clear,Cylinder,,28,16mm,Glass Bottle,4,81.0,31.0,31.0,high,0,0,,no source photo
cylinder-3.3ml-12mm,Clear,Cylinder,,3.3,12mm,Glass Bottle,2,37.0,14.0,14.0,convex-only,3,0,17. Additional Bottles/GBSpry3mlClBlk.psd,own photo
cylinder-30ml-18-415,Clear,Cylinder,,30,18-415,Glass Bottle,2,50.8,42.0,42.0,high,2,0,17. Additional Bottles/GBSpry1ozSl.psd,own photo
cylinder-4ml-12mm,Clear,Cylinder,,4,12mm,Glass Bottle,2,49.0,14.0,14.0,high,2,0,17. Additional Bottles/GBSpry4mlClBlk.psd,own photo
cylinder-5.5ml-13-415,Clear,Cylinder,,5.5,13-415,Glass Bottle,1,53.0,17.0,17.0,convex-only,3,1,5.  13-415 Bottles/2. Clear 5ml Cylinder/1. Clear 5ml Cly (Uncapped) PSD /3. GBCyl5SpryBlkMatt.psd,own photo
cylinder-50ml-16mm,Clear,Cylinder,,50,16mm,Glass Bottle,4,98.0,37.0,37.0,high,8,4,13. 16 mm/4. 50ml Uncapped/1. GBCyl50RollBlk.psd,own photo
cylinder-50ml-18-415,Clear,Cylinder,,50,18-415,Glass Bottle,43,117.0,32.0,32.0,high,69,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/2.  50ml Cyl, Ltn & Spry, capped/11. GBCyl50SpryMtGl.psd",own photo
cylinder-5ml-13-415,Clear,Cylinder,,5,13-415,Glass Bottle,35,53.0,17.0,17.0,high,87,29,5.  13-415 Bottles/2. Clear 5ml Cylinder/1. Clear 5ml Cly (Uncapped) PSD /1. GBCyl5BlkSht.psd,own photo
cylinder-5ml-13-415,Cobalt Blue,Cylinder,,5,13-415,Glass Bottle,35,53.0,17.0,17.0,high,87,29,5.  13-415 Bottles/3. Blue 5ml Cylinder/1. Blue 5ml Cyl (Uncapped) PSD/1. GBCylBlu5BlkSht.psd,own photo
cylinder-9ml-13-415,Clear,Cylinder,,9,13-415,Glass Bottle,36,106.0,18.0,18.0,convex-only,88,30,5.  13-415 Bottles/13. Tall Cylinder 9ml/1. Tall Cyl 9ml  (uncapped) PSD/1. GBTallCyl9BlkSht.psd,own photo
cylinder-9ml-13-415,Frosted,Cylinder,,9,13-415,Glass Bottle,36,106.0,18.0,18.0,convex-only,88,30,5.  13-415 Bottles/23. Frosted Tall Cylinder 9ml /1. Frosted Tall Cyl 9ml  (uncapped) PSD/1. GBTallCylFrst9BlkSht.psd,own photo
cylinder-9ml-17-415,Amber,Cylinder,,9,17-415,Glass Bottle,29,70.0,20.0,21.0,verified,58,29,3.  17-415 Bottles/3. Amber 9ml (Uncapped)/1. GBCylAmb9MtlRollMattSl.psd,own photo
cylinder-9ml-17-415,Clear,Cylinder,,9,17-415,Glass Bottle,29,70.0,20.0,21.0,verified,58,29,3.  17-415 Bottles/9. Clear  (Uncapped)/1. GBCyl9MtlRollMattSl.psd,own photo
cylinder-9ml-17-415,Cobalt Blue,Cylinder,,9,17-415,Glass Bottle,29,70.0,20.0,21.0,verified,58,29,3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/1. GBCylBlu9MtlRollMattSl.psd,own photo
cylinder-9ml-17-415,Frosted,Cylinder,,9,17-415,Glass Bottle,29,70.0,20.0,21.0,verified,58,29,3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/1. GBCylFrst9MtlRollMattSl.psd,own photo
cylinder-9ml-17-415,Swirl,Cylinder,,9,17-415,Glass Bottle,29,70.0,20.0,21.0,verified,58,29,3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/1. GBCylSwrl9MtlRollMattSl.psd,own photo
diamond-60ml-18-415,Clear,Diamond,,60,18-415,Glass Bottle,43,88.0,41.0,39.0,high,67,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/28.  60ml Diamond (Clear) Ltn & Spry, capped/11. GBDmnd2ozSpryMtGl.psd",own photo
diva-100ml-18-415,Clear,Diva,,100,18-415,Glass Bottle,43,113.0,64.0,64.0,high,69,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/27.  100ml Diva (Clear) Ltn & Spry, capped/11. GBDiva100SpryMtGl.psd",own photo
