websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBBell10BlkShSht,GB-BEL-CLR-10ML-SHT-SBLK,Bell,10.0,13-415,Cap/Closure,Glass Bottle,Clear,Shiny Black,Short,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-short-shiny-black-cap,False
GBBell10MtlRollBlkDot,GB-BEL-CLR-10ML-MRL-BLDOT,Bell,10.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBBell10MtlRollBlkDot__RETIRED__GB-BLL-CLR-10ML-MRL-BDOT__kd774rnn3rkk3smtk0kk536j9s82ayk3,GB-BLL-CLR-10ML-MRL-BDOT,Bell,10.0,13-415,N/A,Glass Bottle,Clear,,,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,True
GBBell10RollBlkDot,GB-BEL-CLR-10ML-ROL-BLDOT,Bell,10.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,False
GBBell10RollBlkDot__RETIRED__GB-BLL-CLR-10ML-RBL-BDOT__kd736nen3kgkxrt5e7zng2qz5n82a76x,GB-BLL-CLR-10ML-RBL-BDOT,Bell,10.0,13-415,N/A,Glass Bottle,Clear,,,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,True
GBBell10SpryBlkSh,GB-BEL-CLR-10ML-SPR-SBLK,Bell,10.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Black,Spray,https://www.bestbottles.com/product/bell-design-10-ml-clear-glass-bottle-shiny-black-spray,False
GBCrcl15BlkSht,GB-CIR-CLR-15ML-BLK-S,Circle,15.0,13-415,,Glass Bottle,Clear,Black,Short,https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-black-cap,False
GBCrcl15Gl,GB-CIR-CLR-15ML-GLD-T,Circle,15.0,13-415,,Glass Bottle,Clear,Gold,Tall,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-gold-cap,False
GBCrcl15MtlRollBlkDot,GB-CIR-CLR-15ML-MRL-BKDT,Circle,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Black Dotted,Dot Cap,https://www.bestbottles.com/product/circle-design-15-ml-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBCrcl15MtlRollBlkSh,GB-CIR-CLR-15ML-MRL-SBLK,Circle,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/circle-design-15-ml-bottle-metal-roller-ball-plug-black-shiny-cap,False
