websiteSku,graceSku,family,capacityMl,color,neckThreadSize,applicator,capColor,capStyle,productUrl,stockStatus
GBCrcl30GlCap,GB-CIR-CLR-30ML-GLD-T,Circle,30.0,Clear,15-415,,Gold,Tall,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-shiny-gold-cap,In Stock
GBCrcl30SlCap,GB-CIR-CLR-30ML-SLV-T,Circle,30.0,Clear,15-415,,Silver,Tall,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-shiny-silver-cap,In Stock
GBCrcl30SpryBlk,GB-CIR-BLK-30ML-SPR-BLK,Circle,30.0,Clear,15-415,Perfume Spray Pump,Black,Spray,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-black-cap,In Stock
GBCrcl30SpryMattGl,GB-CIR-CLR-30ML-SPR-MGLD,Circle,30.0,Clear,15-415,Perfume Spray Pump,Matte Gold,Spray,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-matte-gold-cap,In Stock
GBCrcl30SpryMattSl,GB-CIR-CLR-30ML-SPR-MSLV,Circle,30.0,Clear,15-415,Perfume Spray Pump,Matte Silver,Spray,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-matte-silver-cap,In Stock
GBCrcl30SpryShSl,GB-CIR-CLR-30ML-SPR-SSLV,Circle,30.0,Clear,15-415,Perfume Spray Pump,Shiny Silver,Spray,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-shiny-silver-cap,In Stock
GBCrcl30SpryShnGl,GB-CIR-CLR-30ML-SPR-SGLD,Circle,30.0,Clear,15-415,Perfume Spray Pump,Shiny Gold,Spray,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-shiny-gold-cap,In Stock
GBElg30GlCap,GB-ELG-CLR-30ML-SGLD-T,Elegant,30.0,Clear,15-415,,Shiny Gold,Tall,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-shiny-gold-cap,In Stock
GBElg30SlCap,GB-ELG-CLR-30ML-SLV-T,Elegant,30.0,Clear,15-415,,Silver,Tall,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-shiny-silver-cap,In Stock
GBElg30SpryBlk,GB-ELG-BLK-30ML-SPR-BLK,Elegant,30.0,Clear,15-415,Perfume Spray Pump,Black,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-sprayer-black-cap,In Stock
GBElg30SpryMattGl,GB-ELG-CLR-30ML-SPR-MGLD,Elegant,30.0,Clear,15-415,Perfume Spray Pump,Matte Gold,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-sprayer-matte-gold-cap,In Stock
GBElg30SpryMattSl,GB-ELG-CLR-30ML-SPR-MSLV,Elegant,30.0,Clear,15-415,Perfume Spray Pump,Matte Silver,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-sprayer-matte-silver-cap,In Stock
GBElg30SpryShGl,GB-ELG-CLR-30ML-SPR-SGLD,Elegant,30.0,Clear,15-415,Perfume Spray Pump,Shiny Gold,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-sprayer-shiny-gold-cap,In Stock
GBElg30SpryShnSl,GB-ELG-CLR-30ML-SPR-SSLV,Elegant,30.0,Clear,15-415,Perfume Spray Pump,Shiny Silver,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-sprayer-shiny-silvercap,In Stock
GBElgFrst30GlCap,GB-ELG-FRS-30ML-GLD-T,Elegant,30.0,Frosted,15-415,,Gold,Tall,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-shiny-gold-cap,In Stock
GBElgFrst30SlCap,GB-ELG-FRS-30ML-SLV-T,Elegant,30.0,Frosted,15-415,,Silver,Tall,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-shiny-silver-cap,In Stock
GBElgFrst30SpryBlk,GB-ELG-FRS-30ML-SPR-BLK,Elegant,30.0,Frosted,15-415,Perfume Spray Pump,Black,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-black-cap,In Stock
GBElgFrst30SpryMattGl,GB-ELG-FRS-30ML-SPR-MGLD,Elegant,30.0,Frosted,15-415,Perfume Spray Pump,Matte Gold,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-matte-gold-cap,In Stock
GBElgFrst30SpryMattSl,GB-ELG-FRS-30ML-SPR-MSLV,Elegant,30.0,Frosted,15-415,Perfume Spray Pump,Matte Silver,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-matte-silver-cap,In Stock
GBElgFrst30SpryShSl,GB-ELG-FRS-30ML-SPR-SSLV,Elegant,30.0,Frosted,15-415,Perfume Spray Pump,Shiny Silver,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-shiny-silvercap,In Stock
GBElgFrst30SpryShnGl,GB-ELG-FRS-30ML-SPR-SGLD,Elegant,30.0,Frosted,15-415,Perfume Spray Pump,Shiny Gold,Spray,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-shiny-gold-cap,In Stock
