websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,assemblyType,category,color,capColor,capStyle,productUrl,retired
GBCyl9MtlRollBlkDot,GB-CYL-CLR-9ML-T-02,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Black with Dots,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-black-dot-cap,False
GBCyl9MtlRollMattCu,GB-CYL-CLR-9ML-T-03,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Matte Copper,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-matte-copper-cap,False
GBCyl9MtlRollMattGl,GB-CYL-CLR-9ML-T-04,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Matte Gold,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-matte-gold-cap,False
GBCyl9MtlRollMattSl,GB-CYL-CLR-9ML-MRL-MSLV-01,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Matte Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-matte-silver-cap,False
GBCyl9MtlRollPnkDot,GB-CYL-CLR-9ML-T-05,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Pink with Dots,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-pink-dot-cap,False
GBCyl9MtlRollShBlk,GB-CYL-CLR-9ML-T-06,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Shiny Black,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-shiny-black-cap,False
GBCyl9MtlRollShnGl,GB-CYL-CLR-9ML-T-07,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Shiny Gold,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-shiny-gold-cap,False
GBCyl9MtlRollShnSl,GB-CYL-CLR-9ML-T-08,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Shiny Silver,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-shiny-silver-cap,False
GBCyl9MtlRollSlDot,GB-CYL-CLR-9ML-T-09,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,Silver with Dots,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-silver-dot-cap,False
GBCyl9MtlRollWht,GB-CYL-CLR-9ML-T-10,Cylinder,9.0,17-415,Metal Roller Ball,3-part,Glass Bottle,Clear,White,Tall,https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-metal-roller-ball-white-cap,False
