websiteSku,graceSku,convexFamily,convexThread,sourceGroup,retired,productUrl
CP18-415BlkLthr,CMP-CAP-BLK-18415-LTR,Cap/Closure,18-415,Faux-leather cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-black-leather-Color-18-415
CP18-415BrwnLthr,CMP-CAP-BRN-18415-LTR,Cap/Closure,18-415,Faux-leather cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-brown-leather-Color-18-415
CP18-415LBrwnLthr,CMP-CAP-LBRN-18415-LTR,Cap/Closure,18-415,Faux-leather cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-light-brown-leather-Color-18-415
CP18-415LIvyLthr,CMP-CAP-IVY-18415-LTR,Cap/Closure,18-415,Faux-leather cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-ivory-leather-Color-18-415
CP18-415LPnkLthr,CMP-CAP-PNK-18415-LTR,Cap/Closure,18-415,Faux-leather cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-pink-leather-Color-18-415
CP18-415MtSl,CMP-CAP-MSLV-18415-S,Cap/Closure,18-415,Travel / liner cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-matte-silver-18-415
CP18-415MtSlTall,CMP-CAP-MSLV-18415-T,Cap/Closure,18-415,Travel / liner cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-matte-silver-tall-18-415
CP18-415ShnBlkTall,CMP-CAP-SBLK-18415-T,Cap/Closure,18-415,Travel / liner cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-shiny-black-tall-18-415
CP18-415ShnGl,CMP-CAP-SGLD-18415-S,Cap/Closure,18-415,Travel / liner cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-shiny-gold-Color-18-415
CP18-415ShnSl,CMP-CAP-SSLV-18415-S,Cap/Closure,18-415,Travel / liner cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-shiny-silver-Color-18-415
CP18-415Wh,CMP-CAP-WHT-18415-T,Cap/Closure,18-415,Travel / liner cap,False,https://www.bestbottles.com/product/Caps-reducer-lids-top-bottle-white-Color-18-415
Drp18-415Cu,CMP-DRP-CPR-18415,Dropper,18-415,Dropper,False,https://www.bestbottles.com/product/Dropper-white-rubber-bulb-copper-trim-glass-Pipette
Drp18-415Gl,CMP-DRP-SGLD-18415,Dropper,18-415,Dropper,False,https://www.bestbottles.com/product/Dropper-white-rubber-bulb-gold-trim-glass-Pipette
Drp18-415Sl,CMP-DRP-SSLV-18415,Dropper,18-415,Dropper,False,https://www.bestbottles.com/product/Dropper-white-rubber-bulb-silver-trim-glass-Pipette
Ltn18-415Cu,CMP-LPM-CPR-18-415,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-copper-color-18-415
Ltn18-415Cu__RETIRED__CMP-LPM-MTCP-18-415-05__kd784ex2me3vvcd85vy4a1a6js81thdk,CMP-LPM-MTCP-18-415-05,Lotion Pump,18-415,Treatment / lotion pump,True,https://www.bestbottles.com/product/lotion-top-copper-color-18-415
Ltn18-415MtGl,CMP-LPM-MGLD-18-415,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-matte-gold-color-18-415
Ltn18-415MtGl__RETIRED__CMP-LPM-MTGD-18-415-07__kd77fjwrtm2y66dsm6a968d8w181tc1a,CMP-LPM-MTGD-18-415-07,Lotion Pump,18-415,Treatment / lotion pump,True,https://www.bestbottles.com/product/lotion-top-matte-gold-color-18-415
Ltn18-415MtSl,CMP-LPM-MSLV-18-415-01,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-matte-silver-color-18-415
Ltn18-415MtSlCl,CMP-LPM-MSLV-18-415-02,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-matte-silver-clear-overcap-color-18-415
Ltn18-415MtSl__RETIRED__CMP-LPM-MTSL-18-415-06__kd77x3d2kkebyajsdjqje2g1a981tq25,CMP-LPM-MTSL-18-415-06,Lotion Pump,18-415,Treatment / lotion pump,True,https://www.bestbottles.com/product/lotion-top-matte-silver-color-18-415
Ltn18-415ShnBlk,CMP-LPM-SBLK-18-415,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-shiny-black-color-18-415
Ltn18-415ShnGl,CMP-LPM-SGLD-18-415,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-shiny-gold-color-18-415
Ltn18-415ShnSl,CMP-LPM-SSLV-18-415,Lotion Pump,18-415,Treatment / lotion pump,False,https://www.bestbottles.com/product/lotion-top-shiny-silver-color-18-415
18-415CAP4SpryMtGl,CMP-SPR-MTGD-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold
18-415CAP4SpryShnBlk,CMP-SPR-SHBK-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black
AnSp18-415Blk,CMP-SPR-BKSL-18-415-02,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black
