websiteSku,role,sizeOrStem,neckThreadSize,sourceDescription,convexFamily,evidence
20-400Cp2ozShortBlk,Short black closure,60 mL,20-400,"Black lid or closure for glass bottle, Thread size 20-400",Cap/Closure,Read-only current Convex export; master component artwork
20-400cp1ozShortBlk,Short black closure,30 mL,20-400,"Black lid or closure for glass bottle, Thread size 20-400",Cap/Closure,Read-only current Convex export; master component artwork
Drp20-4001ozBlckBulb,Dropper,30 mL / 76 mm stem,20-400,"Black rubber bulb dropper with black cap. Glass stem length is 76 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4001ozShnGlTrimBlkBulb,Dropper,30 mL / 76 mm stem,20-400,"Black rubber bulb dropper with shiny gold collar cap. Glass stem length is 76 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4001ozShnSlTrimBlkBulb,Dropper,30 mL / 76 mm stem,20-400,"Black rubber bulb dropper with shiny silver collar cap. Glass stem length is 76 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4001ozWhiteBulb,Dropper,30 mL / 76 mm stem,20-400,"White rubber bulb dropper with white cap. Glass stem length is 76 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4001ozlShnGlTrimWhiteBulb,Dropper,30 mL / 76 mm stem,20-400,"White rubber bulb dropper with shiny gold collar cap. Glass stem length is 76 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4001ozlShnSlTrimWhiteBulb,Dropper,30 mL / 76 mm stem,20-400,"White rubber bulb dropper with shiny silver collar cap. Glass stem length is 76 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4002ozBlckBulb,Dropper,60 mL / 90 mm stem,20-400,"Black rubber bulb dropper with black cap. Glass stem length is 90 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4002ozShnGlTrimBlkBulb,Dropper,60 mL / 90 mm stem,20-400,"Black rubber bulb dropper with shiny gold collar cap. Glass stem length is 90 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4002ozShnSlTrimBlkBulb,Dropper,60 mL / 90 mm stem,20-400,"Black rubber bulb dropper with shiny silver collar cap. Glass stem length is 90 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4002ozWhiteBulb,Dropper,60 mL / 90 mm stem,20-400,"White rubber bulb dropper with white cap. Glass stem length is 90 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4002ozlShnGlTrimWhiteBulb,Dropper,60 mL / 90 mm stem,20-400,"White rubber bulb dropper with shiny gold collar cap. Glass stem length is 90 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
Drp20-4002ozlShnSlTrimWhiteBulb,Dropper,60 mL / 90 mm stem,20-400,"White rubber bulb dropper with shiny silver collar cap. Glass stem length is 90 mm, Thread size 20-400",Dropper,Read-only current Convex export; master component artwork
CPRoll20-400TallMattBlk,Roll-on outer cap,30 + 60 mL,20-400,"Tall Matte Black cap or closure for rollon bottles, Threadsize 20-400",Roll-On Cap,Read-only current Convex export; master component artwork
CPRoll20-400TallMattGl,Roll-on outer cap,30 + 60 mL,20-400,"Tall Matte Gold cap or closure for rollon bottles, Threadsize 20-400",Roll-On Cap,Read-only current Convex export; master component artwork
CPRoll20-400TallMattSl,Roll-on outer cap,30 + 60 mL,20-400,"Tall Matte Silver cap or closure for rollon bottles, Threadsize 20-400",Roll-On Cap,Read-only current Convex export; master component artwork
CPRoll20-400TallShnBlk,Roll-on outer cap,30 + 60 mL,20-400,"Tall Shiny Black cap or closure for rollon bottles, Threadsize 20-400",Roll-On Cap,Read-only current Convex export; master component artwork
CPRoll20-400TallShnGl,Roll-on outer cap,30 + 60 mL,20-400,"Tall Shiny Gold cap or closure for rollon bottles, Threadsize 20-400",Roll-On Cap,Read-only current Convex export; master component artwork
CPRoll20-400TallShnSl,Roll-on outer cap,30 + 60 mL,20-400,"Tall Shiny Silver cap or closure for rollon bottles, Threadsize 20-400",Roll-On Cap,Read-only current Convex export; master component artwork
