thread,websiteSku,convexCategory,convexCapacityMl,convexThread,masterCategory,masterThread,siteSku,siteThread,siteCapacity,siteHeightWithoutCap,siteHeightWithCap,status,url,capture,sha256
16mm,GBCyl1ozRollWht,Glass Bottle,28.0,16mm,Glass Bottle,16mm,GBCyl1ozRollWht,16mm,28 ml (0.95 oz),81 ±1 mm,100 ±1 mm,match,https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-plastic-roll-on-and-white-cap,site-pages/GBCyl1ozRollWht.md,1e43a808f9bcbf341f93a444098dab1af3556ff48b87605a3ab679ffb097b59a
16mm,GBCyl50MtlRollBlk,Glass Bottle,50.0,16mm,Glass Bottle,16mm,GBCyl50MtlRollBlk,16mm,50 ml (1.69 oz),98 ±1 mm,116 ±2 mm,match,https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-metal-roll-on-and-black-cap,site-pages/GBCyl50MtlRollBlk.md,e2fdce292ad52fc62afaeb644b880676195a03f173d14128ded48d8a33ce1fa7
16mm,GBCyl50MtlRollWht,Glass Bottle,50.0,16mm,Glass Bottle,16mm,GBCyl50MtlRollWht,16mm,50 ml (1.69 oz),98 ±1 mm,116 ±2 mm,match,https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-metal-roll-on-and-white-cap,site-pages/GBCyl50MtlRollWht.md,fdf1aad4abe6fa6ab1835cdb42839006480a8a4d4fbecb465d07e4877cd7c997
16mm,GBCyl50RollBlk,Glass Bottle,50.0,16mm,Glass Bottle,16mm,GBCyl50RollBlk,16mm,50 ml (1.69 oz),98 ±1 mm,116 ±2 mm,match,https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-plastic-roll-on-and-black-cap,site-pages/GBCyl50RollBlk.md,1329e50db10ff0351461d40f903ff6c4fd3cfad2b3f3a0429892177bd73744df
16mm,GBCyl50RollWht,Glass Bottle,50.0,16mm,Glass Bottle,16mm,GBCyl50RollWht,16mm,50 ml (1.69 oz),98 ±1 mm,116 ±2 mm,match,https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-plastic-roll-on-and-white-cap,site-pages/GBCyl50RollWht.md,0175ff83c03fbc80ca2f3ea7f5df7ae7c1f1fd3d4957ebaa3d03e92646b652da
16mm,GBMtlRoll28Blk,Glass Bottle,28.0,16mm,Glass Bottle,16mm,GBMtlRoll28Blk,16mm,28 ml (0.95 oz),81 ±1 mm,100 ±1 mm,match,https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-metal-roll-on-and-black-cap,site-pages/GBMtlRoll28Blk.md,8ea7e1f61bdc7982218586139daa5d3b2b368fdd9b9ec48c5958e2391b14aa4e
16mm,GBMtlRoll28Wht,Glass Bottle,28.0,16mm,Glass Bottle,16mm,GBMtlRoll28Wht,16mm,28 ml (0.95 oz),81 ±1 mm,100 ±1 mm,match,https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-metal-roll-on-and-white-cap,site-pages/GBMtlRoll28Wht.md,0b4091c2f87df62d2ffbe608db04b0c7e391c7ba59175f708fe56703c1b8ca12
16mm,GBRoll28Blk,Glass Bottle,28.0,16mm,Glass Bottle,16mm,GBRoll28Blk,16mm,28 ml (0.95 oz),81 ±1 mm,100 ±1 mm,match,https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-plastic-roll-on-and-black-cap,site-pages/GBRoll28Blk.md,0d72aeb7015b32309dd5f4658484a357579c989444e9c8be1aa092404f63c26b
20-410,Alu100mlSprayBlack,Aluminum Bottle,100.0,20-410,Aluminum Bottle,20-410,Alu100mlSprayBlack,20-410,100 ml (3.38 oz),,150 ±2 mm,match,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-100ml-bottle-black-sprayer,site-pages/Alu100mlSprayBlack.md,be943b39537dd7af5603787144611996aa308a1a8f104daeff27dcc2fb1d0228
20-410,Alu120mlLotionPumpBlack,Aluminum Bottle,120.0,20-410,Aluminum Bottle,20-410,Alu120mlLotionPumpBlack,20-410,120 ml (4.06 oz),114 ±2 mm,147 ±2 mm,match,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-black-lotion-pump,site-pages/Alu120mlLotionPumpBlack.md,222ba43c47acf8897a75bd3ca35e8503d99ad4f0798ef4f02b66d0ff91e41553
20-410,Alu120mlLotionPumpWhite,Aluminum Bottle,120.0,20-410,Aluminum Bottle,20-410,Alu120mlLotionPumpWhite,20-410,120 ml (4.06 oz),114 ±2 mm,147 ±2 mm,match,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-white-lotion-pump,site-pages/Alu120mlLotionPumpWhite.md,cecfa57fce66ba94003689e8f582dd66b3a43e837d806b15dcc8155d1177195c
20-410,Alu250SpryBl,Component,250.0,20-410,Component,20-410,Alu250SpryBl,20-410,250 ml (8.45 oz),155 ±2 mm,178 ±2 mm,match,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer,site-pages/Alu250SpryBl.md,a32423f0398453fcb6ddc2108ad8309448bff20c4f848dbf4dbdb9a63bb53123
20-410,Alu250mlSprayBlack,Aluminum Bottle,250.0,20-410,,,Alu250SpryBl,20-410,250 ml (8.45 oz),155 ±2 mm,178 ±2 mm,wrong_product_link,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer,site-pages/Alu250mlSprayBlack.md,a32423f0398453fcb6ddc2108ad8309448bff20c4f848dbf4dbdb9a63bb53123
20-410,Alu500,Aluminum Bottle,500.0,20-410,Aluminum Bottle,20-410,Alu500,20-410,500 ml (16.91 oz),178 ±2 mm,186 ±2 mm,match,https://www.bestbottles.com/product/Aluminum-Bottle-Can-white-cap-500ml,site-pages/Alu500.md,50458d3e780d7dbb060e88477c9ef4a685cf4de7e0ec8ef6c9947fa005cd848d
20-410,Alu65mlLotionPumpBlack,Aluminum Bottle,65.0,20-410,Aluminum Bottle,20-410,Alu65mlLotionPumpBlack,20-410,65 ml (2.2 oz),94 ±1 mm,127 ±2 mm,match,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-black-lotion-pump,site-pages/Alu65mlLotionPumpBlack.md,1ce09eea45b8de6ba7f710ae45a1c830f079d8fd998e174d76f8b8fe9dee67f1
20-410,Alu65mlLotionPumpWhite,Aluminum Bottle,65.0,20-410,Aluminum Bottle,20-410,Alu65mlLotionPumpWhite,20-410,65 ml (2.2 oz),94 ±1 mm,127 ±2 mm,match,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-white-lotion-pump,site-pages/Alu65mlLotionPumpWhite.md,0a20ef2a89ad5164d2550d14fc9ee1c388370292ae2ad5907a47ab0858478fb3
