scope,websiteSku,category,convexThread,convexCapacityMl,masterThread,masterCapacityMl,siteSku,siteThread,siteCapacity,status,url,pageFile,sha256,error
12mm,GBSpry3mlClBlk,Glass Bottle,12mm,3.3,12mm,3,GBSpry3mlClBlk,12mm,3 ml (0.1 oz),capacity_conflict,https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-3ml,site-pages/GBSpry3mlClBlk.md,62fbb60d96b53259288457d57edb39eb8f780195865ac18c033ea22dfd00de7c,
12mm,GBSpry3mlClWht,Glass Bottle,12mm,3.3,12mm,3,GBSpry3mlClWht,12mm,3 ml (0.1 oz),capacity_conflict,https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-White-Sprayer-3ml,site-pages/GBSpry3mlClWht.md,978f1a5add44558c1c5b072c20a3ab8a681742fda65d70fea2f930b8c65381ae,
12mm,GBSpry4mlClBlk,Glass Bottle,12mm,4.0,12mm,4,GBSpry4mlClBlk,12mm,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-4ml,site-pages/GBSpry4mlClBlk.md,0533fbb5b2baa2ea92808377c7796320949ac39045617a5af7b56d172cd4d906,
12mm,GBSpry4mlClWh,Glass Bottle,12mm,4.0,12mm,4,GBSpry4mlClWh,12mm,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Glass-vial-sprayer-white-promotional-sample-size-4ml,site-pages/GBSpry4mlClWh.md,a3d1fc523ae1aae6595d929180d17d0e441a3ce6bf83db3dccf24e088ffc3dcb,
13-425,CP13-425Blk,Component,13-425,0.0,13-425,,20-400cp1ozShortBlk,20-400,0 ml (0 oz),wrong_product_link,https://www.bestbottles.com/product/caps-lids-top-bottle-black-color-1oz-20-400,site-pages/CP13-425Blk.md,589c0a2ca60c095313cdc6c7c000f6295cd7ff0add3a79cc724deb3f8f5df9b0,
13-425,CP13-425Wht,Component,13-425,0.0,13-425,,Drp18-415Cu,18-415,0 ml (0 oz),wrong_product_link,https://www.bestbottles.com/product/dropper-white-rubber-bulb-copper-trim-glass-pipette,site-pages/CP13-425Wht.md,e6227c4f1dcad2e3e2b3141aefb6d695d15d23f7d1b538cde38b3fc132ac031f,
13-425,GBV1DrmBlackCapSht,Glass Bottle,13-425,4.0,13-425,4,GBV1DrmBlackCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-short-cap,site-pages/GBV1DrmBlackCapSht.md,2829560eaa94819216e90e1490c175b714a7f5e6f6da4f95224f0d1f34cdc0fd,
13-425,GBV1DrmBlkDropper,Glass Bottle,13-425,4.0,13-425,4,GBV1DrmBlkDropper,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-dropper,site-pages/GBV1DrmBlkDropper.md,3be2ccec539b65bbf13d24d067b0cc27d3958e692be773413e50903a2e4b3250,
13-425,GBV1DrmWhtCapSht,Glass Bottle,13-425,4.0,13-425,4,GBV1DrmWhtCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-white-short-cap,site-pages/GBV1DrmWhtCapSht.md,8aa08d8c3e7dc7adbe15e97f1118ee9f4458c34b3f39dcbdccd585a8030e053a,
13-425,GBVAmb1DrmBlackCapSht,Glass Bottle,13-425,4.0,13-425,4,GBVAmb1DrmBlackCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-black-short-cap,site-pages/GBVAmb1DrmBlackCapSht.md,e30a470689c0c849d7d5908f8ba020fa225548e3c0daaadb5b8b260971bde93e,
13-425,GBVAmb1DrmBlkDrpr,Glass Bottle,13-425,4.0,13-425,4,GBVAmb1DrmBlkDrpr,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-black-dropper,site-pages/GBVAmb1DrmBlkDrpr.md,d4f23a2015a0eb791cb8fe19a4dd1d4306414cc7fa8eb2a9585e52c35f8a53a2,
13-425,GBVAmb1DrmWhtCapSht,Glass Bottle,13-425,4.0,13-425,4,GBVAmb1DrmWhtCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-white-short-cap,site-pages/GBVAmb1DrmWhtCapSht.md,abd47be6c7113526d920093a059b91f373c611fe32260e8c6a3b547fb63f0bd2,
13-425,GBVBlu1DrmBlackCapSht,Glass Bottle,13-425,4.0,13-425,4,GBVBlu1DrmBlackCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-blue-glass-black-short-cap,site-pages/GBVBlu1DrmBlackCapSht.md,a7ca0db441d998c23c077a2c1c603b792c1695519a41f59088ba7d5779df2530,
13-425,GBVBlu1DrmBlkDropper,Glass Bottle,13-425,4.0,13-425,4,GBVBlu1DrmBlkDropper,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-blue-glass-black-dropper,site-pages/GBVBlu1DrmBlkDropper.md,fedc141cad5d5959bff73e94113fa28064851cd582629cdaf691a68729481963,
13-425,GBVBlu1DrmWhtCapSht,Glass Bottle,13-425,4.0,13-425,4,GBVBlu1DrmWhtCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-blue-glass-white-short-cap,site-pages/GBVBlu1DrmWhtCapSht.md,60fcf7b966ebc2ba715e6add05306604cd73c35bdf79325ab88076c1db48a9ef,
13-425,GBVBlu1o9BlackCapSht,Glass Bottle,13-425,3.0,13-425,3,,,,source_page_unavailable,https://www.bestbottles.com/product/Vial-design-5-8-dram-blue-glass-black-short-cap,site-pages/GBVBlu1o9BlackCapSht.md,bb557333ba35ae3771356572f4168d8a555b42088baeb7111070ec182d6f1136,
13-425,GBVGr1DrmBlackCapSht,Glass Bottle,13-425,4.0,13-425,4,GBVGr1DrmBlackCapSht,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-green-glass-black-short-cap,site-pages/GBVGr1DrmBlackCapSht.md,67d5ab6a568cad881d14ff648335156dee813a5969a30810c09708e45a87473d,
13-425,GBVGr1DrmBlkDropper,Glass Bottle,13-425,4.0,13-425,4,GBVGr1DrmBlkDropper,13-425,4 ml (0.14 oz),match,https://www.bestbottles.com/product/Vial-design-1-dram-green-glass-black-dropper,site-pages/GBVGr1DrmBlkDropper.md,cbfc62ac604f78fb047d089fea08fdfe48eeb1cb13192ea254c48ec150cad39d,
