neckThreadSize,websiteSku,graceSku,category,family,capacityMl,color,applicator,productUrl,imageUrl,componentCount
13-425,CP13-425Blk,CMP-CLS-BLK-13-425,Component,Cap/Closure,0.0,,Cap/Closure,https://www.bestbottles.com/product/caps-lids-top-bottle-black-color-1oz-20-400,,0
13-425,CP13-425Wht,CMP-CLS-WHT-13-425,Component,Cap/Closure,0.0,,Cap/Closure,https://www.bestbottles.com/product/dropper-white-rubber-bulb-copper-trim-glass-pipette,,0
13-425,GBVialAmb1o5WhtCapSht,GB-VIA-AMB-1.5ML-WHT-S,Glass Bottle,Vial,2.0,Amber,,https://www.bestbottles.com/product/Vial-design-1-o-5-ml-amber-glass-white-short-cap,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-2ml-amber-13-425/GBVialAmb1o5WhtCapSht/bb05fdf0303b02347eacc47a7dd930f66d146bba4d918c2649fc6ce1002356aa.front-on-1000x1100.webp,0
13-425,GBVBlu1o9BlackCapSht,GB-VIA-BLU-3ML-BLK-S,Glass Bottle,Vial,3.0,Blue,,https://www.bestbottles.com/product/Vial-design-5-8-dram-blue-glass-black-short-cap,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-BLU-3ML-BLK-S__GBVBlu1o9BlackCapSht__pdp-main__v001.png?v=1781252603,0
13-425,GBVGreen2o4BlackCapSht,GB-VIA-CLR-3ML-GRN-S,Glass Bottle,Vial,3.0,Green,,https://www.bestbottles.com/product/Vial-design-5-8-dram-green-glass-black-short-cap,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1779592258165-396429dc-5554-446a-8ec1-161e15de1340_d173cec2-0a09-48db-9308-a02961849176.png?v=1779596449,0
13-425,GBVGreen2o4WhtCapSht,GB-GRN-GRN-20ML,Glass Bottle,Vial,3.0,Green,,https://www.bestbottles.com/product/Vial-design-5-8-dram-green-glass-white-short-cap,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-GRN-GRN-20ML__GBVGreen2o4WhtCapSht__pdp-main__v001.png?v=1781252524,0
13-425,GBV1DrmBlackCapSht,GB-VIA-CLR-3ML-S-01,Glass Bottle,Vial,4.0,Clear,,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-short-cap,https://www.bestbottles.com/images/store/enlarged_pics/GBVial1DrmBlackCapSht.gif,0
13-425,GBV1DrmBlkDropper,GB-VIA-CLR-3ML-01,Glass Bottle,Vial,4.0,Clear,Dropper,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-dropper,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-4ml-clear-13-425/GBV1DrmBlkDropper/dcfbfacb47fe85ad6b72208079bf71a3137c6e7a6d8c1c98541cfa86881fc820.front-on-1000x1100.webp,0
13-425,GBV1DrmWhtCapSht,GB-VIA-CLR-3ML-S-02,Glass Bottle,Vial,4.0,Clear,,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-white-short-cap,https://www.bestbottles.com/images/store/enlarged_pics/GBVial1DrmWhtCapSht.gif,0
13-425,GBVAmb1DrmBlackCapSht,GB-VIA-CLR-3ML-S-03,Glass Bottle,Vial,4.0,Amber,,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-black-short-cap,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-4ml-amber-13-425/GBVAmb1DrmBlackCapSht/e1f5e5ed54b6c6af53c1fbccf548d2c53e0fe8f11fe1f978b4dd074b0a63d5e5.front-on-1000x1100.webp,0
