family,sku,capacityMl,color,applicator,slots,issues,builderStatus
Cylinder,GBMtlRoll28Wht,28,Clear,Metal Roller Ball,body; roller; cap,,compatibility_unresolved
Cylinder,GBSpry3mlClBlk,3.3,Clear,Fine Mist Sprayer,,no_served_kit,compatibility_unresolved
Cylinder,GBSpry4mlClBlk,4,Clear,Fine Mist Sprayer,body; sprayer; overcap,,compatibility_unresolved
Cylinder,GBCyl5SpryBlkMatt,5.5,Clear,Fine Mist Sprayer,body; diptube; sprayer; overcap,,catalog_unavailable
Cylinder,GBCyl5Sl,5,Clear,Cap/Closure,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl50MtlRollWht,50,Clear,Metal Roller Ball,body; roller; cap,,compatibility_unresolved
Cylinder,GBCyl5Gl,5,Clear,Cap/Closure,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrShnGl,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrShnBlkTall,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCylBlu5Sl,5,Cobalt Blue,Cap/Closure,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrShnBlk,100,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBCylBlu5WhtSht,5,Cobalt Blue,Cap/Closure,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrBrwnLthr,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCylBlu5Gl,5,Cobalt Blue,Cap/Closure,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrLBrwnLthr,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrShnSl,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrMtSlTall,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrMtSl,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrWht,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrIvyLthr,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl100RdcrPnkLthr,100,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBTallCyl9Gl,9,Clear,,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBTallCyl9Sl,9,Clear,,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl1ozRollWht,28,Clear,Plastic Roller Ball,roller; body; cap,,compatibility_unresolved
Cylinder,GBTallCylFrst9WhtSht,9,Frosted,,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBTallCylFrst9Gl,9,Frosted,,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBTallCylFrst9Sl,9,Frosted,,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBSpry1ozGl,30,Clear,,body; overcap,partial_separation,compatibility_unresolved
Cylinder,GBSpry1ozSl,30,Clear,,body; overcap,partial_separation,compatibility_unresolved
Cylinder,GBCyl50RollWht,50,Clear,Plastic Roller Ball,body; roller; cap,,compatibility_unresolved
Cylinder,GBCyl5MtlRollBlkSh,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl5MtlRollCuMatt,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl5MtlRollGlMatt,5,Clear,Metal Roller Ball,roller; body; cap,,catalog_unavailable
Cylinder,GBCyl5MtlRollGlSh,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl5MtlRollPinkDot,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl5MtlRollSlDot,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl5MtlRollSlMatt,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl5MtlRollSlSh,5,Clear,Metal Roller Ball,body; cap,partial_separation,catalog_unavailable
Cylinder,GBCyl50RdcrBlkLthr,50,Clear,Reducer,body; fitment,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBSpry3mlClWht,3.3,Clear,Fine Mist Sprayer,body; sprayer; overcap,,compatibility_unresolved
Cylinder,GBCylBlu5MtlRollBlkSh,5,Cobalt Blue,Metal Roller Ball,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBSpry4mlClWh,4,Clear,Fine Mist Sprayer,body; sprayer; overcap,,compatibility_unresolved
Cylinder,GBCylBlu5MtlRollCuMatt,5,Cobalt Blue,Metal Roller Ball,body; cap,partial_separation; partial_kit_used_as_bare_body,listed
Cylinder,GBCyl5SprySlMatt,5,Clear,Fine Mist Sprayer,body; diptube; sprayer; overcap,,catalog_unavailable
