websiteSku,convexRecordId,graceSku,familyId,capacityMl,bottleColor,neck,applicator,componentColor,plateStatus,kitStatus,layerAuditHint,sourcePath,sourceSha256,plateSha256,notes
GBCyl100AnSpBlk,kd74cq4cyncn7nmxw1fbyara3h81vsnb,GB-CYL-CLR-100ML-ASP-BLK,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Black,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/39. GBCyl100AnSpBlk.psd,3d8627e16fc63883093f4f008f8913bf1d400c585cb562783b4f317712e755ad,0103375db6fc790cbcc9640be83c0bf2b848400a4b35ff803e8d160786b8899a,ValueError: explicit component-layer mapping required
GBCyl100AnSpGl,kd706gd0q28m1xgcaybjbcreq581tmgn,GB-CYL-CLR-100ML-ASP-GLD,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Gold,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/37. GBCyl100AnSpGl.psd,4dda23e6665665f870dc639c7fb97b4b0e4ea818964633c264c462779c10049a,bfcb00cd590c12b55b9930de96fcfb6bbe16eab49b4a579ff1f40aa7b14e6a63,ValueError: explicit component-layer mapping required
GBCyl100AnSpIvyGl,kd7bg5b5mfe4hjykj0pc7vkxx981vgdr,GB-CYL-CLR-100ML-ASP-IVGD,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Ivory Gold,Local candidate,Component layer review required,review,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/38. GBCyl100AnSpIvyGl.psd,99f00fe4e221f09c73ad90fe6e35c5d460898cf1a0030d02d47e624d6b22daca,94633cfd9df7c413a054ac6ae2bfb8f63397313863c708d8f6d30260a1965e91,ValueError: hidden layer 1 requires source review
GBCyl100AnSpIvySl,kd714a1vqpyedhn6wrn9rdbhn181v413,GB-CYL-CLR-100ML-ASP-IVSL,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Ivory Silver,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/36. GBCyl100AnSpIvySl.psd,105b4846380a5a353a9237c37d034d9fe9d21be0321206c0591384757b72636e,983a53a2437a3df2e79b38bf4dd628a122dc79845913c87154afc119c6c2c2dc,ValueError: explicit component-layer mapping required
GBCyl100AnSpLvn,kd71ffsy5pqr09a4ajvzwb20js81tepw,GB-CYL-CLR-100ML-ASP-LVN,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Lavender,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/33. GBCyl100AnSpLvn.psd,758f1abf2c3856819e1de95962079186e18f9c5a6e962b20e698b93c3045b4d8,9fb61794d6cce4a671ae4dc4f2c7679c5f88e7f1f41e333f2aa78c278d258bae,ValueError: explicit component-layer mapping required
GBCyl100AnSpMtSl,kd718mcc2favzv96p146wwx67581vee6,GB-CYL-CLR-100ML-ASP-MSLV,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Matte Silver,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/35. GBCyl100AnSpMtSl.psd,9bdb5e8a7f2c7c07155d8cdeff3229be25f29676c42e6e1c97a8fe3a110fe315,7d2bf645cbd430ef9fd25d1d637da65d79427eaa2ac5199e3da1b5a286358f30,ValueError: explicit component-layer mapping required
GBCyl100AnSpPnk,kd7asfb0wf0p9pkcbx1wqf9jt581v6me,GB-CYL-CLR-100ML-ASP-PNK,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Pink,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/34. GBCyl100AnSpPnk.psd,0dbfc5a25a0708ac051b3fbfa08295125784eb86fb66fa068fa6a2d3ca9eb858,3c638a94116a5d5ee835450dbdc12c58278bca5ef9cea2f60133ff7975310456,ValueError: explicit component-layer mapping required
GBCyl100AnSpRed,kd7c84j4ns42fqsh9a77njcmxs81tehy,GB-CYL-CLR-100ML-ASP-RED,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer,Red,Local candidate,Component layer review required,full,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/41. GBCyl100AnSpRed.psd,bfc00436ce8c57c37dcc3c09d30d4daef84abcd1f5e0a9eedd54723f2f648746,baf2f7abdf46d3761ee9203a44f30120e4b1b048b0fa43aed9843cf57599fc7d,ValueError: explicit component-layer mapping required
GBCyl100AnSpTslBlk,kd7dh7sdm6ejv6wrzefrxy8b3981vqpj,GB-CYL-CLR-100ML-AST-BLK,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer with Tassel,Black,Held,Held with plate,full,,,,registration_unmatched | ValueError: plate registration failed
GBCyl100AnSpTslGl,kd764tx3pg3ay0ka8agxs7bea981vdsx,GB-CYL-CLR-100ML-AST-GLD,cylinder-100ml-clear-18-415,100,Clear,18-415,Vintage Bulb Sprayer with Tassel,Gold,Local candidate,Component layer review required,review,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/50. GBCyl100AnSpTslGl.psd,a76d90a71b939837834e6ef33a219d2401eace006d3de9b0b2a7894b0008ef36,c5e08e04496a68cdc626c974830a83639f6e48ae7bd603dda394bc7a31da9470,ValueError: hidden layer 2 requires source review
