websiteSku,convexRecordId,sourceDisposition,nextAction,candidateSources,originalHolds,newArtworkRequired,plateStatus
GBCyl100AnSpTslBlk,kd7dh7sdm6ejv6wrzefrxy8b3981vqpj,Registration failure,Correct render alignment and rerun registration,21. Tassels/Updated Tassels/48. GBCyl100AnSpTslBlk.psd | 2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/48. GBCyl100AnSpTslBlk.psd,registration_unmatched | ValueError: plate registration failed,Not established,Held pending integration/validation
GBCyl100AnSpTslRed,kd727ntvnx652xky3s36s9sgcs81vy13,Registration failure,Correct render alignment and rerun registration,21. Tassels/Updated Tassels/47. GBCyl100AnSpTslRed.psd | 2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/47. GBCyl100AnSpTslRed.psd,registration_unmatched | ValueError: plate registration failed,Not established,Held pending integration/validation
GBCyl100AnSpWht,kd7cskk9dwab2h9fqtzx9h6ea581td88,Complete assembly visible in master,Review state classifier and select complete vintage-bulb assembly,2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/40. GBCyl100AnSpWht.psd,source_preflight:no approved capped/front source,Not established,Held pending integration/validation
PbClear4ozFlpWh,kd776q566hvp6t94v07s4kk6ss82atbn,Legacy source recovered,Integrate exact-SKU legacy exception and complete-product plate; no kit,https://www.bestbottles.com/images/store/enlarged_pics/PbClear4ozFlpWh.gif | https://www.bestbottles.com/images/store/capped/PbClear4ozFlpWh.gif | https://www.bestbottles.com/images/store/PbClear4ozFlpWh.png,match:no-psd,Not established,Held pending integration/validation
PbClear8ozFlpWh,kd7265h9e28tjr2fzvp0q2cg1h82acwe,Legacy source recovered,Integrate exact-SKU legacy exception and complete-product plate; no kit,https://www.bestbottles.com/images/store/enlarged_pics/PbClear8ozFlpWh.gif | https://www.bestbottles.com/images/store/aerial/PbClear8ozFlpWh.gif | https://www.bestbottles.com/images/store/PbClear8ozFlpWh.png,match:no-psd,Not established,Held pending integration/validation
GBcyl25SpryShnBlk,kd7bz6x4a026m4qv9jeyf2tka18axbnw,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/21. GBCyl30SpryShnBlk.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /19. GBCyl30SpryShnBlk.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /21. GBCyl30SpryShnBlk.psd",match:no-psd,Not established,Held pending integration/validation
LBCyl25LtnCu,kd78fertxps75s35va2t78y4j981t1wr,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/51. LBCyl30LtnCu.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /51. LBCyl30LtnCu.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /52. LBCyl30LtnCu.psd",match:no-psd,Not established,Held pending integration/validation
LBCyl25LtnMtGl,kd711hm2vzyas95ta8nyw569zs81vpek,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/12. LBCyl30LtnMtGl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /12. LBCyl30LtnMtGl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /14. LBCyl30LtnMtGl.psd",match:no-psd,Not established,Held pending integration/validation
LBCyl25LtnMtSl,kd7342g6erffk5v32cbxp293ts81t9qb,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/26. LBCyl30LtnMtSl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /25. LBCyl30LtnMtSl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /26. LBCyl30LtnMtSl.psd",match:no-psd,Not established,Held pending integration/validation
LBCyl25LtnShnBlk,kd79gtbnnf93md56q59bb3brs581vtr1,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/22. LBCyl30LtnShnBlk.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /20. LBCyl30LtnShnBlk.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /22. LBCyl30LtnShnBlk.psd",match:no-psd,Not established,Held pending integration/validation
