websiteSku,plateStatus,kitStatus,kitParts,notes,source
GBCyl100AnSpBlk,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/39. GBCyl100AnSpBlk.psd"", ""releaseVersion"": ""3d8627e16fc63883093f4f008f8913bf1d400c585cb562783b4f317712e755ad""}"
GBCyl100AnSpGl,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/37. GBCyl100AnSpGl.psd"", ""releaseVersion"": ""4dda23e6665665f870dc639c7fb97b4b0e4ea818964633c264c462779c10049a""}"
GBCyl100AnSpIvyGl,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/38. GBCyl100AnSpIvyGl.psd"", ""releaseVersion"": ""99f00fe4e221f09c73ad90fe6e35c5d460898cf1a0030d02d47e624d6b22daca""}"
GBCyl100AnSpIvySl,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/36. GBCyl100AnSpIvySl.psd"", ""releaseVersion"": ""105b4846380a5a353a9237c37d034d9fe9d21be0321206c0591384757b72636e""}"
GBCyl100AnSpLvn,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/33. GBCyl100AnSpLvn.psd"", ""releaseVersion"": ""758f1abf2c3856819e1de95962079186e18f9c5a6e962b20e698b93c3045b4d8""}"
GBCyl100AnSpMtSl,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/35. GBCyl100AnSpMtSl.psd"", ""releaseVersion"": ""9bdb5e8a7f2c7c07155d8cdeff3229be25f29676c42e6e1c97a8fe3a110fe315""}"
GBCyl100AnSpPnk,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/34. GBCyl100AnSpPnk.psd"", ""releaseVersion"": ""0dbfc5a25a0708ac051b3fbfa08295125784eb86fb66fa068fa6a2d3ca9eb858""}"
GBCyl100AnSpRed,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/41. GBCyl100AnSpRed.psd"", ""releaseVersion"": ""bfc00436ce8c57c37dcc3c09d30d4daef84abcd1f5e0a9eedd54723f2f648746""}"
GBCyl100AnSpTslBlk,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""21. Tassels/Updated Tassels/48. GBCyl100AnSpTslBlk.psd"", ""releaseVersion"": ""8ffdce54600ab1c0842cd29689cbde4294240c5f22e10b7ba9791056bdad4f8e""}"
GBCyl100AnSpTslGl,published production and development,reviewed,3,,"{""library"": ""master"", ""path"": ""2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/50. GBCyl100AnSpTslGl.psd"", ""releaseVersion"": ""a76d90a71b939837834e6ef33a219d2401eace006d3de9b0b2a7894b0008ef36""}"
