body_id,family,alias,capacity_ml,diameter_mm,body_height_mm,neck_finish,sku_count,glass_colors,applicators,example_skus,complexity,confidence,existing_model,geometry_status,parametric_group
BB-BODY-001,Cylinder,9 ml Cylinder (70 mm body),9,20.0,70.0,17-415,143,5,4,GBCyl9MtlRollBlkDot; GBCyl9MtlRollMattCu; GBCyl9MtlRollMattGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-002,Diva,46 ml Diva (89 mm body),46,49.0,89.0,18-415,99,2,6,GBDiva46AnSpBlk; GBDiva46AnSpBlkRng; GBDiva46AnSpGl,MODERATE,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-003,Elegant,60 ml Elegant (86 mm body),60,,86.0,18-415,94,2,6,GBElg60AnSpBlk; GBElg60AnSpGl; GBElg60AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-ELEGANT-18-415
BB-BODY-004,Round,128 ml Round (83 mm body),128,69.0,83.0,18-415,92,2,6,GBRnd128AnSpBlk; GBRnd128AnSpGl; GBRnd128AnSpIvyGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-005,Elegant,100 ml Elegant (109 mm body),100,,109.0,18-415,87,2,5,GBElg100AnSpBlk; GBElg100AnSpGl; GBElg100AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-ELEGANT-18-415
BB-BODY-006,Circle,100 ml Circle (105 mm body),100,,105.0,18-415,86,2,5,GBCrcl100AnSpBlk; GBCrcl100AnSpGl; GBCrcl100AnSpIvyGl,EASY,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-CIRCLE-18-415
BB-BODY-007,Round,78 ml Round (73 mm body),78,59.0,73.0,18-415,86,2,5,GBRnd78AnSpBlk; GBRnd78AnSpGl; GBRnd78AnSpIvyGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-008,Circle,50 ml Circle (87 mm body),50,,87.0,18-415,76,2,5,GBCrcl50AnSpBlk; GBCrcl50AnSpGl; GBCrcl50AnSpIvyGl,EASY,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-CIRCLE-18-415
BB-BODY-009,Cylinder,9 ml Cylinder (106 mm body),9,18.0,106.0,13-415,59,2,3,GBTallCyl9BlkSht; GBTallCyl9Gl; GBTallCyl9MtlRollBlkDot,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-010,Tulip,5 ml Tulip (45 mm body),5,23.0,45.0,13-415,59,2,3,GBTulip6BlkSht; GBTulip6Gl; GBTulip6MtlRollBlkDot,MODERATE,HIGH,NO,UNIQUE GEOMETRY,
