"format","example_sku","catalog_status","family","neck","category","review_note"
"Cylinder 5 mL","GBCyl5BlkSht","cataloged","Cylinder","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Tulip 5 mL","GBTulipAmb5BlkSht","cataloged","Tulip","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Sleek 5 mL","GBSleek5BlkSht","cataloged","Sleek","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Tulip 6 mL","GBTulip6BlkSht","cataloged","Tulip","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Sleek 8 mL","GBSleek8BlkSht","cataloged","Sleek","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Pillar 9 mL","GBPillar9BlkShSht","cataloged","Pillar","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Tall Cylinder 9 mL","GBTallCyl9BlkSht","cataloged","Cylinder","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Bell 10 mL","GBBell10BlkShSht","cataloged","Bell","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Rectangle 10 mL","GBRect10BlkSht","cataloged","Rectangle","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Tall Rectangle 10 mL","GBTallRect10BlkSht","cataloged","Rectangle","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Royal 13 mL","GBRoyal13BlkSht","cataloged","Royal","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Circle 15 mL","GBCrcl15BlkSht","cataloged","Circle","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Elegant 15 mL","GBElg15BlkSht","cataloged","Elegant","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Flair 15 mL","GBFlair15BlkSht","cataloged","Flair","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
"Square 15 mL","GBSqr15BlkSht","cataloged","Square","13-415","Glass Bottle","Example identity check only; component seating and tube length need exact assembly evidence"
