"group","website_sku","grace_sku","catalog_status","component_group","name","stock_status","shopify_variant","review_note"
"roll-on-solid","CPRoll13-415BlkSh","CMP-ROC-SBLK-13415","cataloged","Roll-On Cap","Shiny Black cap or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627510052",""
"roll-on-solid","CPRoll13-415Cu","CMP-ROC-MCPR-13415","cataloged","Roll-On Cap","Matte Copper cap or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627444516",""
"roll-on-solid","CPRoll13-415GlMt","CMP-ROC-MGLD-13415","cataloged","Roll-On Cap","Matte Gold cap or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627378980",""
"roll-on-solid","CPRoll13-415GlSh","CMP-ROC-SGLD-13415","cataloged","Roll-On Cap","Shiny Gold cap or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627477284",""
"roll-on-solid","CPRoll13-415SlMt","CMP-ROC-MSLV-13415","cataloged","Roll-On Cap","Matte silver cap or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627313444",""
"roll-on-solid","CPRoll13-415SlSh","CMP-ROC-SSLV-13415","cataloged","Roll-On Cap","Shiny Silver cap or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627411748",""
"roll-on-dotted","CPRoll13-415PinkDot","CMP-ROC-PNK-13415-DOT","cataloged","Roll-On Cap","Pink cap with dots or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627346212",""
"roll-on-dotted","CPRoll13-415BlackDot","CMP-ROC-BLK-13415-DOT","cataloged","Roll-On Cap","Shiny black cap with dots or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627542820",""
"roll-on-dotted","CPRoll13-415SlDot","CMP-ROC-SLV-13415-DOT","cataloged","Roll-On Cap","Silver cap with dots or closure for rollon bottles, Threadsize 13-415","In Stock","gid://shopify/ProductVariant/53343627280676",""
"short-ribbed","CP13-415BlkSht","CMP-CAP-BLK-S-13-415","cataloged","Short Cap","Black lid or closure for glass bottle, Thread size 13-415","In Stock","gid://shopify/ProductVariant/53343626428708",""
"short-ribbed","CP13-415WhtSht","CMP-CAP-WHT-S-13-415","cataloged","Short Cap","White lid or closure for glass bottle, Thread size 13-415","In Stock","gid://shopify/ProductVariant/53343626330404",""
"short-lined","CP13-415BlkShShtMtl","CMP-CAP-SBLK-13-415","missing_loose_component","","","","","Exact assembled bottle SKUs exist; do not invent a loose sellable variant"
"short-lined","CP13-415CuSht","CMP-CLS-MTCP-S-13-415","missing_loose_component","","","","","Exact assembled bottle SKUs exist; do not invent a loose sellable variant"
"short-lined","CP13-415GlMattSht","CMP-CLS-MTGD-S-13-415","missing_loose_component","","","","","Exact assembled bottle SKUs exist; do not invent a loose sellable variant"
"short-lined","CP13-415GlSht","CMP-CLS-SHGD-S-13-415","missing_loose_component","","","","","Exact assembled bottle SKUs exist; do not invent a loose sellable variant"
"short-lined","CP13-415SlMattSht","CMP-CLS-MTSL-S-13-415","missing_loose_component","","","","","Exact assembled bottle SKUs exist; do not invent a loose sellable variant"
"short-lined","CP13-415SlSht","CMP-CLS-SHSL-S-13-415-02","missing_loose_component","","","","","Exact assembled bottle SKUs exist; do not invent a loose sellable variant"
"tall-lined","CP13-415Gl","CMP-CAP-SGLD-13-415-01","cataloged","Screw Cap","Shiny gold lid or closure for glass bottle, Thread size 13-415","In Stock","gid://shopify/ProductVariant/53343626395940",""
"tall-lined","CP13-415Sl","CMP-CAP-SLV-13-415-01","cataloged","Screw Cap","Shiny silver lid or closure for glass bottle, Thread size 13-415","In Stock","gid://shopify/ProductVariant/53343626363172",""
"fine-mist","CP13-415SpryBlkMt","CMP-CAP-BLK-13-415-01","cataloged","Fine Mist Sprayer","Cap/Closure Thread 13-415","In Stock","gid://shopify/ProductVariant/54056453734692",""
"fine-mist","CP13-415SpryBlkSh","CMP-CAP-BLK-13-415-02","cataloged","Fine Mist Sprayer","Cap/Closure Thread 13-415","In Stock","gid://shopify/ProductVariant/54056453767460",""
"fine-mist","CP13-415SpryBluMt","CMP-CAP-13-415","cataloged","Fine Mist Sprayer","Cap/Closure Thread 13-415","In Stock","gid://shopify/ProductVariant/54056453701924",""
"fine-mist","CP13-415SpryCuMt","CMP-SPR-MTCP-13-415-07","cataloged","Fine Mist Sprayer","Matte Copper Fine Mist Sprayer, Thread size 13-415","In Stock","gid://shopify/ProductVariant/53343633998116",""
"fine-mist","CP13-415SpryGlMt","CMP-CAP-SGLD-13-415-02","cataloged","Fine Mist Sprayer","Cap/Closure Thread 13-415","In Stock","gid://shopify/ProductVariant/54056453800228",""
"fine-mist","CP13-415SpryGlSh","CMP-CAP-SGLD-13-415-03","cataloged","Fine Mist Sprayer","Cap/Closure Thread 13-415","In Stock","gid://shopify/ProductVariant/54056453832996",""
"fine-mist","CP13-415SprySlMt","CMP-CAP-SLV-13-415-02","cataloged","Fine Mist Sprayer","Cap/Closure Thread 13-415","In Stock","gid://shopify/ProductVariant/54056453865764",""
