#,Family,Capacity (ml),Neck finish,Glass finish,Variant,Height without cap (mm),Tolerance (± mm),"Height with cap, min (mm)","Height with cap, max (mm)",Diameter (mm),Governing SKU,Governing product,SKUs on this glass,Glass colours,Heights recorded across its SKUs,SKUs with a different height,Measurement source,Status,Notes
1,Aluminum Bottle,65,20-410,Standard,,94.0,1.0,127.0,130.0,36.0,Alu65mlLotionPumpBlack,"Cylinder shaped, brushed aluminum 65 ml bottle with lotion black. For use with lotion or treatment pump. Price Each",2,n/a,94 mm × 2,,master truth × 2,OK,
2,Aluminum Bottle,100,20-410,Standard,,127.8,,150.0,150.0,50.0,Alu100mlSprayBlack,"Cylinder shaped, matte aluminum 100 ml bottle with black sprayer. For use with cologne, perfume, air freshner, face and body spray, or room spray. Price Each",1,n/a,127.8 mm × 1,,none × 1,OK,
3,Aluminum Bottle,120,20-410,Standard,,114.0,2.0,147.0,147.0,45.0,Alu120mlLotionPumpBlack,"Cylinder shaped, brushed aluminum 120 ml bottle with lotion black. For use with lotion or treatment pump. Price Each",2,n/a,114 mm × 2,,master truth × 2,OK,
4,Aluminum Bottle,250,20-410,Standard,,127.8,,180.0,180.0,60.0,Alu250mlSprayBlack,Aluminum Bottle 250 ml (8.45 oz) Clear Aluminum Bottle with Sprayer Black Cap,1,Clear,127.8 mm × 1,,master truth × 1,OK,
5,Aluminum Bottle,500,20-410,Standard,,178.0,2.0,186.0,186.0,74.0,Alu500,"Cylinder shaped, aluminum 500 ml bottle with white plug and tear off cap. For use with perfume oil, aromatic oils, fragrance oils and attars. Price Each",1,n/a,178 mm × 1,,master truth × 1,OK,
6,Apothecary,15,Ground,Standard,,58.0,1.0,82.0,82.0,30.0,GB15ApthBlue,"Apothecary style  15 ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products.  These are hand made bottles with ground glass stoppers. The stoppers are not leak proof,",1,Cobalt Blue,58 mm × 1,,master truth × 1,OK,
7,Apothecary,30,Ground,Standard,,58.0,,98.0,98.0,37.0,GB1ozApth,"Apothecary style 30ml clear glass bottle with glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good for displaying products. These are hand made bottles with ground glass stoppers. The stoppers are not leak proof, and wil",3,"Clear, Cobalt Blue, Green",58 mm × 3,,master truth × 3,OK,
8,Apothecary,118,Ground,Standard,Pear,52.2,,77.3,77.3,27.4,GBPearClear4ozStpr,Apothecary style 4oz Clear Pear Bottle with glass stopper. 118ml (3.99oz). Semi-automatic handmade bottle with proper fitting stopper. Not leak proof. For perfumes and fragrance oils.,1,Clear,52.2 mm × 1,,none × 1,Check height,"a 27.4 x 52.2 mm glass holds about 18 ml, not 118 ml"
9,Atomizer,5,10mm,Standard,,92.0,1.0,104.0,104.0,15.0,GBAtom5SlimGl,"Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",3,"Black, Clear",92 mm × 3,,master truth × 3,OK,
10,Atomizer,5,13-415,Standard,,76.0,1.0,81.0,104.0,18.0,GBAtom5Gl,"Gold atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",9,"Black, Clear, Cobalt Blue, Pink",76 mm × 9,,master truth × 9,OK,
11,Atomizer,10,17mm,Standard,,82.0,1.0,89.0,89.0,23.0,GBAtom10Gl,"Gold atomizer design 10 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",11,"Black, Clear, Cobalt Blue, Green, Pink",82 mm × 11,,master truth × 11,OK,
