environment,family,sku,body,capacity,neck,glass,fitment,finish,visible,candidate,component,issue,sellable,stock,kit_completeness,kit_slots,kit_conflicts
live,Cylinder,LBCyl100LtnClOvrCap,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Lotion Pump,Clear Overcap,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBMtlRoll28Wht,cylinder-28ml|16mm|Glass Bottle,28,16mm,Clear,Metal Roller Ball,White,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBSpry3mlClBlk,cylinder-3.3ml|12mm|Glass Bottle,3.3,12mm,Clear,Fine Mist Sprayer,Clear,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBSpry4mlClBlk,cylinder-4ml|12mm|Glass Bottle,4,12mm,Clear,Fine Mist Sprayer,Clear,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5SpryBlkMatt,cylinder-5.5ml|13-415|Glass Bottle,5.5,13-415,Clear,Fine Mist Sprayer,Matte Black,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5Sl,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Cap/Closure,Regular Shiny Silver,True,True,CP13-415Sl,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl50MtlRollWht,cylinder-50ml|16mm|Glass Bottle,50,16mm,Clear,Metal Roller Ball,White,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5Gl,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Cap/Closure,Regular Shiny Gold,True,True,CP13-415Gl,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl9SpryBlk,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,Spry17-415Blk,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCyl100RdcrShnGl,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Shiny Gold,False,False,CP18-415ShnGl,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCylAmb9SpryBlk,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Fine Mist Sprayer,Black,True,True,Spry17-415Blk,,True,In Stock,full,sprayer | body | overcap | collar,[]
live,Cylinder,GBCyl100RdcrShnBlkTall,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Tall Shiny Black,False,False,CP18-415ShnBlkTall,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCylBlu5Sl,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Cap/Closure,Regular Shiny Silver,True,True,CP13-415Sl,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl100RdcrShnBlk,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Shiny Black,False,False,,compatibility_unresolved,False,In Stock,,,[]
live,Cylinder,GBCylBlu9SpryBlk,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Fine Mist Sprayer,Black,True,True,Spry17-415Blk,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylBlu5WhtSht,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Cap/Closure,Short Ribbed White,True,True,CP13-415WhtSht,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl100RdcrBrwnLthr,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Brown Leather,False,False,CP18-415BrwnLthr,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCylFrst9SpryBlk,cylinder-9ml|17-415|Glass Bottle,9,17-415,Frosted,Fine Mist Sprayer,Black,True,True,Spry17-415Blk,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylBlu5Gl,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Cap/Closure,Regular Shiny Gold,True,True,CP13-415Gl,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl100RdcrLBrwnLthr,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Light Brown Leather,False,False,CP18-415LBrwnLthr,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCyl100RdcrShnSl,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Shiny Silver,False,False,CP18-415ShnSl,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCyl100RdcrMtSlTall,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Tall Matte Silver,False,False,CP18-415MtSlTall,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBTallCyl9SpryBlkMatt,cylinder-9ml|13-415|Glass Bottle,9,13-415,Clear,Fine Mist Sprayer,Matte Black,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl100RdcrMtSl,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Matte Silver,False,False,CP18-415MtSl,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBTallCylFrst9SpryBlkMatt,cylinder-9ml|13-415|Glass Bottle,9,13-415,Frosted,Fine Mist Sprayer,Frosted,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl100RdcrWht,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,White,False,False,CP18-415Wh,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCyl100RdcrIvyLthr,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Ivory Leather,False,False,CP18-415LIvyLthr,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCyl100RdcrPnkLthr,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Reducer,Pink Leather,False,False,CP18-415LPnkLthr,catalog_unavailable,False,In Stock,,,[]
live,Cylinder,GBCyl50SpryMtGl,cylinder-50ml|18-415|Glass Bottle,50,18-415,Clear,Perfume Spray Pump,Matte Gold,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl50SpryShnGl,cylinder-50ml|18-415|Glass Bottle,50,18-415,Clear,Perfume Spray Pump,Shiny Gold,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl50SpryShnBlk,cylinder-50ml|18-415|Glass Bottle,50,18-415,Clear,Perfume Spray Pump,Shiny Black,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl50SpryMtSl,cylinder-50ml|18-415|Glass Bottle,50,18-415,Clear,Perfume Spray Pump,Matte Silver,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl50SpryShnSl,cylinder-50ml|18-415|Glass Bottle,50,18-415,Clear,Perfume Spray Pump,Shiny Silver,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBTallCyl9Gl,cylinder-9ml|13-415|Glass Bottle,9,13-415,Clear,,Gold,True,True,CP13-415Gl,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBTallCyl9Sl,cylinder-9ml|13-415|Glass Bottle,9,13-415,Clear,,Silver,True,True,CP13-415Sl,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl1ozRollWht,cylinder-28ml|16mm|Glass Bottle,28,16mm,Clear,Plastic Roller Ball,White,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBTallCylFrst9WhtSht,cylinder-9ml|13-415|Glass Bottle,9,13-415,Frosted,,Short Ribbed White,True,True,CP13-415WhtSht,,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBTallCylFrst9Gl,cylinder-9ml|13-415|Glass Bottle,9,13-415,Frosted,,Shiny Gold,True,True,CP13-415Gl,,True,In Stock,capSplit,body | cap,[]
