sku,glass,applicator,sourceBodyIndex,visibleBodyCandidates,sourceBodyHash,servedBodyHash,servedSlots,partsReachingLowerBody,status,sourcePath,sourceSha256
GBCylAmb9SpryBlk,Amber,Fine Mist Sprayer,2,1,fd1f8d617684906591c81778f6a4ef3ca6dec89c2b7c7d21c8120ba52a7b458a,41e3dfc78ee677ebf5d507c770fd3fb5ee68ec7876c3b69773bd5f705c13ac2a,sprayer|body|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/23. GBCylAmb9SpryBlk.psd,9e954755c739504e5dbfc4bf2441e4b2b1a656ffb397a6d896552f0acb07b7ff
GBCylBlu9SpryBlk,Cobalt Blue,Fine Mist Sprayer,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,1fa6dfbda58cc68baab0c21f2d5adc62e009eafc2138773daea26e8564b69e34,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/23. GBCylBlu9SpryBlk.psd,d84620ff3b460fad2c7f3c43c8a3940bf0d6ff5fce5731244af878e1eb47dd53
GBCylFrst9SpryBlk,Frosted,Fine Mist Sprayer,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,1a7be661fd02f6f50d41198c8f30ea2173a31a8a2699d9696d51b5a088b2bf1f,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/23. GBCylFrst9SpryBlk.psd,dc7661b6edd8e96c1a2c779af12cf0d5ee3b2e5c316fd7decb67717fb9246f3f
LBCylAmb9LtnGl,Amber,Lotion Pump,1,1,fe9a6413bc6454ae98306ef8cbbe2ff334d311edbcb54638106ca77669a54d93,ca332a0a5860fba34358b3f8ca0aea35f5a27b0e2d4de3c5fe396033ad5d330d,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/28. LBCylAmb9LtnGl.psd,5f087ebe3905ca64df7668e2862f083ab0da3bf3663d5550d090e65a1d3fc734
LBCylAmb9LtnMtSl,Amber,Lotion Pump,1,1,fd1f8d617684906591c81778f6a4ef3ca6dec89c2b7c7d21c8120ba52a7b458a,ddbff824e4c5a6edc5729a36e020cb00e58f591fd3b3f48686a464ef47426858,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/27. LBCylAmb9LtnMtSl.psd,29ccd97dfe9d695f931f29da9d148db7347ee466c82b542dc6c44543254d36db
LBCylBlu9LtnMattSl,Cobalt Blue,Lotion Pump,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,cab66f44bce1542c4549db5052c87d4157a1eeff10487cf760706092236031a8,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/27. LBCylBlu9LtnMattSl.psd,bb74c34b3f8a343b8ae552ca1e0bf8929bdb30cba18fa023e9bfadbdff8171c3
LBCylBlu9LtnGl,Cobalt Blue,Lotion Pump,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,91d6d135f284282bb7d398112142eab135f4544025daaec4f5cad7e539a0a50b,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/28. LBCylBlu9LtnGl.psd,1257bb1b786d5966a743de7d3a9b02ee84b08e2515c1ee93ee91a7392ec0dd11
LBCylFrst9LtnMtSl,Frosted,Lotion Pump,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,d835e28cf6673d9e178c5e313279cfdf7dc3ddaed76dc7e6d47caeeb767c4dbd,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/27. LBCylFrst9LtnMtSl.psd,8f2b10cfd5f81b7683a3d8cdaae6736ce495b065f68de61acd2c235da69dbac8
LBCylFrst9LtnGl,Frosted,Lotion Pump,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,d835e28cf6673d9e178c5e313279cfdf7dc3ddaed76dc7e6d47caeeb767c4dbd,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/28. LBCylFrst9LtnGl.psd,156e39b85ab04faafb1195da35c9997c468debdf9018412e72c42c4a391e15ae
LBCylSwrl9LtnMtSl,Swirl,Lotion Pump,1,1,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,35a29227518aa7d31329387e7e4d140c74f3a70197988c84b318146799472b63,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/27. LBCylSwrl9LtnMtSl.psd,1e99d7f2f71639dbcb1bad067f862f6a7a895e17688a151f7bf2ac4c766be259
LBCylSwrl9LtnGl,Swirl,Lotion Pump,2,2,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,2eedf013bf5d01ed41e2cdba02121336c5d59105957100417aa9055a7a9f92ff,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/28. LBCylSwrl9LtnGl.psd,2f92ada448f34688817aa898518dad99306d05338d5cdc1a93b25371be16f22e
GBCylAmb9SpryGl,Amber,Fine Mist Sprayer,1,1,fe9a6413bc6454ae98306ef8cbbe2ff334d311edbcb54638106ca77669a54d93,fb83b0ebf412757e091cd1d0cd9efe597a2b20998ba62ed21be250395efd5364,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/21. GBCylAmb9SpryGl.psd,fe7d16bf57e7fe8403906c98b2c2757f31cb897105f5b3c4f90ff466fdeed5d3
GBCylAmb9SpryMattSl,Amber,Fine Mist Sprayer,1,1,fd1f8d617684906591c81778f6a4ef3ca6dec89c2b7c7d21c8120ba52a7b458a,7455fd567538aa5b0f0af1416c41b4e37c13bf577be404e25bc98bb03ea78281,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/22. GBCylAmb9SpryMattSl.psd,543a8c6f839aea72b315643172da38cedc475b1c25908e1e0464095cfcb957b5
GBCylAmb9SpryShSl,Amber,Fine Mist Sprayer,1,1,fe9a6413bc6454ae98306ef8cbbe2ff334d311edbcb54638106ca77669a54d93,68017aa7be88ea053725c432fda82a1a5cb802e3a6b40fb5f5298a2de81558ae,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/24. GBCylAmb9SpryShSl.psd,30d83ce32cef1ab2a2511a1d875be03460f6049b72330653bd82dc1818cc262e
GBCylAmb9SpryTur,Amber,Fine Mist Sprayer,1,1,fe9a6413bc6454ae98306ef8cbbe2ff334d311edbcb54638106ca77669a54d93,4fa3c6b7049438dbd1d3a0945bcdf8577ad24bbec697c81525a3c161c23a86ac,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/26. GBCylAmb9SpryTur.psd,6631004d085ed4a349dd5487f46fb7da130f4e6ce662fb6429e1bf4d6825ca7a
GBCylAmb9SpryRd,Amber,Fine Mist Sprayer,1,1,fe9a6413bc6454ae98306ef8cbbe2ff334d311edbcb54638106ca77669a54d93,533f419d9b09033466274308ec5a0ead1bc66cb5aa1e9473bfa4696f0170ffc5,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/25. GBCylAmb9SpryRd.psd,603f2d5df968c647bf2a1fb1fb50c32aeb907eabd9697e0cf906f8ab91e23379
GBCylBlu9SpryTur,Cobalt Blue,Fine Mist Sprayer,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,8f82d9c1e6ed74e5f45997f751d6ffbf7130bbe73cf8e55e45ca06580e66a99b,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/26. GBCylBlu9SpryTur.psd,6c4684d639725cd4939a28bed624f902cd6d1e8a20a405a71b2a2968d5526a12
GBCylBlu9SpryMattSl,Cobalt Blue,Fine Mist Sprayer,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,9d2abe54251fc872d2ff7465df40601f7502219971733a9917be76eb5ea78bbb,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/22. GBCylBlu9SpryMattSl.psd,05923a887bb9ab2efee6f8cd39f8ffc7187a992c1fa8d2f0e017662eefe680e9
GBCylBlu9SpryGl,Cobalt Blue,Fine Mist Sprayer,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,91d6d135f284282bb7d398112142eab135f4544025daaec4f5cad7e539a0a50b,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/21. GBCylBlu9SpryGl.psd,23c0990f34856f65371993720849fa09db687fa64144f21171d35d06c702d505
GBCylBlu9SpryShSl,Cobalt Blue,Fine Mist Sprayer,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,905633aa541653ddf1f055584603b40bd4d607d6b04cb9a686ee64e2f33b04c5,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/24. GBCylBlu9SpryShSl.psd,fb25a5558209c16ebbc3ddbeea478765c336855eaad9704cd05c0db1868c47f9
GBCylBlu9SpryRd,Cobalt Blue,Fine Mist Sprayer,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,9d2abe54251fc872d2ff7465df40601f7502219971733a9917be76eb5ea78bbb,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/25. GBCylBlu9SpryRd.psd,26f708ed838a22b36fffcd58eced110c1429d9579d5df8ea7810117303d4b9d3
GBCylFrst9SpryGl,Frosted,Fine Mist Sprayer,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,81bb7520a6396797eea824ac749a2236f019c0433dc7e5526a6e188b595879e5,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/21. GBCylFrst9SpryGl.psd,6e651c0a4d3cae7eefd070fe970272c263d9f80faf9e554cfa03f4e0013147b9
GBCylFrst9SpryMattSl,Frosted,Fine Mist Sprayer,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,dcfd98a58c1c579c8cc584b7a2fe4fa19ad2680e32348afdf0f9e81140c741d6,body|sprayer|collar|overcap,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/22. GBCylFrst9SpryMattSl.psd,963be098fd0c896d8a478689317c310df90ac8fb83928b18b1d559bad9dd3e58
GBCylFrst9SpryShSl,Frosted,Fine Mist Sprayer,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,300ace759cd7bde9e07002917b39762ba8a5e85868b65648acd372b98d3158cd,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/24. GBCylFrst9SpryShSl.psd,f2f6a74f0af2922ea6873dfd013fde2339c2637ba7b822d8ff838b57987c34af
GBCylFrst9SpryTur,Frosted,Fine Mist Sprayer,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,e6e262cf1a31bc1c9f2f58e2469518b6cdef4654d03805d30e50f0bc9149ac38,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/26. GBCylFrst9SpryTur.psd,2c6d511c17dcffbb7ae45709efba894c9d74644b74ec26028f4c35ff1a369e83
GBCylFrst9SpryRd,Frosted,Fine Mist Sprayer,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,b1f29adbb123df4352affa0e75c6f39d5496b7620e9dd663c458210717ec5925,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/25. GBCylFrst9SpryRd.psd,5cb3d5b24008b2ec9842663394dc3ee22b7e0a53db671483fdcf9d68fc0fa4a5
GBCylSwrl9SpryGl,Swirl,Fine Mist Sprayer,2,2,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,b6823ce7955915cf7ba984b90847bbc049f68cc90d7ad0adb9856a42eea8284b,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/21. GBCylSwrl9SpryGl.psd,64f27f586a6fc8a7a822d8aa80b75241beb531784defbc2858d1eefb9150b662
GBCylSwrl9SpryMattSl,Swirl,Fine Mist Sprayer,1,1,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,ee0ed7c4033ff6734f46256839e168faec094d80b2b90d487fe2993031e4141d,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/22. GBCylSwrl9SpryMattSl.psd,52e47695956dc45239500a8f1d21d01026c1f5b1aba53ab2ec7451aef29c9f5a
GBCylSwrl9SpryShSl,Swirl,Fine Mist Sprayer,2,2,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,9fe24c294cefcd0e1f6ba4e8b8c5dfeef41c6e556c7bc6801c8dbc035cafaec9,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/24. GBCylSwrl9SpryShSl.psd,0cb7a5fbe77ff1577ce40627c3a1029ba1d6d1e8dfd530272c5e86cd047dc101
GBCylSwrl9SpryRd,Swirl,Fine Mist Sprayer,2,2,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,2eedf013bf5d01ed41e2cdba02121336c5d59105957100417aa9055a7a9f92ff,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/25. GBCylSwrl9SpryRd.psd,d0d71d2a868e6acfe642fb8ae28e20bf456bd830932d73738a67b95fe5235305
GBCylSwrl9SpryTur,Swirl,Fine Mist Sprayer,2,2,c8cbde3c320f0ffc10ad74d0ce68a033956df60053dedc0a7fdc508742bf628f,77dc1ad2fb71a41f3d174b4d6ed6776729cdf08578b97a9ec9778ebf29512a73,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/26. GBCylSwrl9SpryTur.psd,0cc420adefff78fb919fca42cf36d8a72d13783f02fe8e3459f2fa153660a1c2
LBCylAmb9LtnBlk,Amber,Lotion Pump,2,1,fd1f8d617684906591c81778f6a4ef3ca6dec89c2b7c7d21c8120ba52a7b458a,596ca52b42b6f66cfbee0b91e168a89058dea73d5eebb947494725e19e66054f,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/3. Amber 9ml (Uncapped)/29. LBCylAmb9LtnBlk.psd,b7a92564121b0d147a36b2ac1be889100a5214320a7e4ef72d5a5a55746003ac
LBCylBlu9LtnBlk,Cobalt Blue,Lotion Pump,1,1,c0d497a4842f89d7987b7b71b3f4dbfa9faed5efd9da6de7908852ae8e165518,cab66f44bce1542c4549db5052c87d4157a1eeff10487cf760706092236031a8,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/29. LBCylBlu9LtnBlk.psd,ae03d62f0ea5452c51090527f09ead4fc1603517cb818e0bd6870a475013a85d
LBCylFrst9LtnBlk,Frosted,Lotion Pump,1,1,0a4fcaa135c1ae3b49cb9f96ffd78d4cf61ac42a8845736c02d1d2afec01fa7e,52ba3ec7b5d45e73308d486abe6b884000c1dfc9c81a5200c8419fc53ce588b0,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/29. LBCylFrst9LtnBlk.psd,292cc8f48d6bf89e7ead1de9a9b08f4f5b7a2c6e1bd79dd98ca7d3cb9eddf432
GBCylSwrl9SpryBlk,Swirl,Fine Mist Sprayer,1,1,4d94d64e53f58c5b0f1326cbf66d18d2301c34ea7e7f74bf6c574084d17537d2,3ef387a3fc1bf96dc0508cd7024b1ec60a2f21cf57ecbb69302f63018263564e,body|sprayer|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/23. GBCylSwrl9SpryBlk.psd,337ee8648ca4788538afe46a409800768894f4ae39c56011902c200a5fe2fe8a
LBCylSwrl9LtnBlk,Swirl,Lotion Pump,1,1,4d94d64e53f58c5b0f1326cbf66d18d2301c34ea7e7f74bf6c574084d17537d2,9cc9d7aa9488f03a154c6986f9ec14ae51162eb0ce32dfebb9ef865ac332951a,body|pump|overcap|collar,,requires_dip_tube_artwork_and_material_review,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/3.  17-415 Bottles/7. Swirl 9ml (Uncapped)/29. LBCylSwrl9LtnBlk.psd,1a4eecf129dc0aab69bafe0d2a74052453ae2fe0fd101e57ec80de0ed44b31f4
