sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentIfPublicationIgnored,componentSellableReason,assemblySellableReason,visibleIfStandalonePublicationIgnored,sourceUrl
"GBBell10SpryBlkSh","Bell","10","Clear","13-415","Fine Mist Sprayer","Shiny Black","false","standalone_component_unpublished","","CP13-415SpryBlkSh","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/bell-design-10-ml-clear-glass-bottle-shiny-black-spray"
"GBBell10BlkShSht","Bell","10","Clear","13-415","Cap/Closure","Shiny Black","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-short-shiny-black-cap"
"GBBell10RollBlkDot","Bell","10","Clear","13-415","Plastic Roller Ball","Shiny Black","false","media_or_configuration_invalid","CPRoll13-415BlackDot","CPRoll13-415BlackDot","","","false","https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
"GBBell10MtlRollBlkDot","Bell","10","Clear","13-415","Metal Roller Ball","Shiny Black","false","media_or_configuration_invalid","CPRoll13-415BlackDot","CPRoll13-415BlackDot","","","false","https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots"
"GBBell10MtlRollBlkDot__RETIRED__GB-BLL-CLR-10ML-MRL-BDOT__kd774rnn3rkk3smtk0kk536j9s82ayk3","Bell","10","Clear","13-415","N/A","","false","retired_assembly | missing_bottle_component_links | exact_component_unresolved | assembly_unpublished_or_unsellable | assembly_stock_unavailable","","","","SOFT_DISCONTINUED_IDENTITY_DUPLICATE","false","https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots"
"GBBell10RollBlkDot__RETIRED__GB-BLL-CLR-10ML-RBL-BDOT__kd736nen3kgkxrt5e7zng2qz5n82a76x","Bell","10","Clear","13-415","N/A","","false","retired_assembly | missing_bottle_component_links | exact_component_unresolved | assembly_unpublished_or_unsellable | assembly_stock_unavailable","","","","SOFT_DISCONTINUED_IDENTITY_DUPLICATE","false","https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
"LBCrcl100LtnClOvrCap","Circle","100","Clear","18-415","Lotion Pump","Clear Overcap","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"LBCrclFrst100LtnClOvrCap","Circle","100","Frosted","18-415","Lotion Pump","Clear Overcap","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"GBCrcl15RollBlkSh","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Black","true","","CPRoll13-415BlkSh","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-black-shiny-cap"
"GBCrcl15RollCuMatt","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Copper","true","","CPRoll13-415Cu","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-copper-cap"
"GBCrcl100RdcrPnkLthr","Circle","100","Clear","18-415","Reducer","Pink","false","assembly_unpublished_or_unsellable","CP18-415LPnkLthr","CP18-415LPnkLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-pink-faux-leather-cap"
"GBCrcl15RollGlMatt","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Gold","true","","CPRoll13-415GlMt","CPRoll13-415GlMt","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-gold-cap"
"GBCrcl100RdcrShnGl","Circle","100","Clear","18-415","Reducer","Shiny Gold","false","assembly_unpublished_or_unsellable","CP18-415ShnGl","CP18-415ShnGl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-shiny-gold-cap"
"GBCrcl15RollGlSh","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Gold","true","","CPRoll13-415GlSh","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-shiny-gold-cap"
