sku,url,neck,family,glass,capacityMl,sha256,hasPurchase,stockUnavailable,error
GBRoyal13RollSlDot,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,13-415,,Clear,13,ef7725360a79899b5ed0e3f4931d43bead76d0888a817185d1e68a5bdc1b9d8a,True,False,
LBCrcl100LtnClOvrCap,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,18-415,,Clear,100,d5dbb953360f27eaf257e4a92eb633505982c43c626a4eddcfed12afe5fed7ee,True,False,
GBRndFrst78RdcrMtSlTall,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap,18-415,,Frosted,78,63ef9fdf24ad1180233831ce0ee4b7351a04e88ebb07e00e9971e45321f89903,True,False,
GBEmp50AnSpTslRed,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,50,3e08847b766663c01257a9f23574278680fff05fa2ba2d86004c748df1f1397f,True,False,
GBRndFrst128AnSpRed,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap,18-415,,Frosted,128,28db88cc50db438816c10f292973972b24d67a7e71da1902a4e2c2f4da4628d8,True,True,
LBElgFrst100LtnMtGl,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-gold-lotion-pump-and-cap,18-415,,Frosted,100,bce678c06f9960c1be65cb1dcc9b0ce06159f475b6d774261d7925d93d658511,True,False,
LBCrclFrst100LtnClOvrCap,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,18-415,,Frosted,100,2fbcdced61b1bfa38e88885c4970d5248c77e92390e1cba83a8a6058819e3eac,True,False,
GBRoyal13RollSlMatt,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,13-415,,Clear,13,21d6c18153c49a9e86966dc26582a0043169f936546ba353e91846476b166780,True,False,
GBRndFrst78RdcrMtSl,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-silver-matte-cap,18-415,,Frosted,78,f3a3455decccd685373de8443f7985639b9268cdad57a86b180bc1efbad3d7aa,True,False,
GBSqr15MtlRollBlkSh,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap,13-415,,Clear,15,d130123f5c6e18ff48b45d100b7dd1aa2cf6d69ecf6a1fba884fc3049146e927,True,False,
GBEmp50AnSpTslWht,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,50,8063f2575fb73dc637e6423264b2f232d62eb9addd4c170b3725d4f468a2bd1f,True,False,
