Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Status
atomizer-5ml,5 ml Atomizer Bottle,SKU,GB-CYL-CLR-5ML-ATM-SLV-03,GB-CYL-CLR-5ML-ATM-SLV-03,shopify,1000,deny,manual,3.05,active
atomizer-5ml,,SKU,GB-CYL-BLU-5ML-ATM-BLU,GB-CYL-BLU-5ML-ATM-BLU,shopify,1000,deny,manual,2.80,
atomizer-5ml,,SKU,GB-CYL-CLR-5ML-ATM-GLD,GB-CYL-CLR-5ML-ATM-GLD,shopify,1000,deny,manual,2.80,
atomizer-5ml,,SKU,GB-CYL-CLR-5ML-ATM-RED,GB-CYL-CLR-5ML-ATM-RED,shopify,1000,deny,manual,2.80,
atomizer-5ml,,SKU,GB-CYL-CLR-5ML-ATM-SLV-01,GB-CYL-CLR-5ML-ATM-SLV-01,shopify,1000,deny,manual,2.80,
atomizer-5ml,,SKU,GB-CYL-CLR-5ML-ATM-SLV-02,GB-CYL-CLR-5ML-ATM-SLV-02,shopify,1000,deny,manual,3.05,
atomizer-5ml,,SKU,GB-CYL-BLK-5ML-ATM-BLK,GB-CYL-BLK-5ML-ATM-BLK,shopify,1000,deny,manual,2.80,
atomizer-5ml,,SKU,GB-CYL-BLK-5ML-ATM-BLK-02,GB-CYL-BLK-5ML-ATM-BLK-02,shopify,1000,deny,manual,3.05,
atomizer-5ml,,SKU,GB-CYL-PNK-5ML-ATM-PNK-02,GB-CYL-PNK-5ML-ATM-PNK-02,shopify,1000,deny,manual,3.05,
atomizer-5ml,,SKU,GB-CYL-BLK-5ML-ATM-BLK-01,GB-CYL-BLK-5ML-ATM-BLK-01,,0,deny,manual,2.80,
atomizer-5ml,,SKU,GB-CYL-PNK-5ML-ATM-PNK,GB-CYL-PNK-5ML-ATM-PNK,,0,deny,manual,3.05,
royal-13ml-clear-13-415-rollon,13 ml Clear Royal Roll-On Bottle,SKU,GB-RYL-CLR-13ML-ROL-SLDT,GB-RYL-CLR-13ML-ROL-SLDT,shopify,1000,deny,manual,0.81,active
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-ROL-MSLV,GB-RYL-CLR-13ML-ROL-MSLV,shopify,1000,deny,manual,0.74,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-ROL-SSLV,GB-RYL-CLR-13ML-ROL-SSLV,shopify,1000,deny,manual,0.74,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-ROL-BKDT,GB-RYL-CLR-13ML-ROL-BKDT,shopify,1000,deny,manual,0.81,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-BKDT,GB-RYL-CLR-13ML-MRL-BKDT,shopify,1000,deny,manual,0.89,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-SBLK,GB-RYL-CLR-13ML-MRL-SBLK,shopify,1000,deny,manual,0.82,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-MCPR,GB-RYL-CLR-13ML-MRL-MCPR,shopify,1000,deny,manual,0.82,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-MGLD,GB-RYL-CLR-13ML-MRL-MGLD,shopify,1000,deny,manual,0.82,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-SGLD,GB-RYL-CLR-13ML-MRL-SGLD,shopify,1000,deny,manual,0.82,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-PKDT,GB-RYL-CLR-13ML-MRL-PKDT,shopify,1000,deny,manual,0.89,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-SLDT,GB-RYL-CLR-13ML-MRL-SLDT,shopify,1000,deny,manual,0.89,
royal-13ml-clear-13-415-rollon,,SKU,GB-RYL-CLR-13ML-MRL-MSLV,GB-RYL-CLR-13ML-MRL-MSLV,shopify,1000,deny,manual,0.82,
