websiteSku,graceSku,family,category,familyId,productGroupId,plateSha256,state,reason
GBSlm50AnSpWht,GB-SLM-CLR-50ML-ASP-WHT,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,0e99b45c35d1a3dabdcc18f7055178e5109268fb0cfc2ce0169cba924f1eedc3,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpRed,GB-SLM-CLR-50ML-ASP-RED,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,161e7e80515d2445acd547250a41e32ced4973cf411355a44847533cd107a70e,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpPnk,GB-SLM-CLR-50ML-ASP-PNK,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,bed8b0a8be82237461a37e7ea17637ab05132bd234e91cb303e9a5bba65bcdbb,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpMtSl,GB-SLM-CLR-50ML-ASP-MSLV,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,3326986d477d90abedbbed8d3dc362f955c899f34c73d1f414cbd5d6fdc802ef,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpLvn,GB-SLM-CLR-50ML-ASP-LVN,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,418aad3c9b8d5f894719f8ded700904943fe0445fca547e9fa5e1609352c4b9b,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpIvySl,GB-SLM-CLR-50ML-ASP-IVSL,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,13da7807815beed0c8e2485fdf4e856b208976731228679859627dd920cfd159,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpIvyGl,GB-SLM-CLR-50ML-ASP-IVGD,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,839f3a6572a51aae89ce087bfbca371a462c609c2cdcaa25e6af2f174df0a24b,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlm50AnSpGl,GB-SLM-CLR-50ML-ASP-GLD,Slim,Glass Bottle,slim-50ml-clear-18-415,kh72kk495kmft237kyqbxtkt358dq6w0,1ff6d242e6039dbda35ae6f6c14e4c0d53cdc28e83212a31a7eb5b74efec8605,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlk50AnSpWht,GB-SLK-CLR-50ML-ASP-WHT,Sleek,Glass Bottle,sleek-50ml-clear-18-415,kh708ny580gch06zsqdp4hxzas8dp8g1,6ec1d8917d6bcb85413b1f6135764d6a499c9cce363791d690e252123ea8af98,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
GBSlk50AnSpRed,GB-SLK-CLR-50ML-ASP-RED,Sleek,Glass Bottle,sleek-50ml-clear-18-415,kh708ny580gch06zsqdp4hxzas8dp8g1,e8dff2cb8838877e327f00407ece05346442ffe24bcccc801a635a90b9a30ebb,held_with_reason,Source recovery or identity reconciliation required: source_preflight:no approved capped/front source
