sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
LBCyl100LtnClOvrCap,100,18-415,Clear,Lotion Pump,Clear Overcap,True,True,,Ltn18-415MtSlCl,,,False,not deployed
GBMtlRoll28Wht,28,16mm,Clear,Metal Roller Ball,White,True,True,,GBMtlRoll28Wht,,,False,not deployed
GBSpry3mlClBlk,3.3,12mm,Clear,Fine Mist Sprayer,Clear,True,False,media_or_configuration_invalid,GBSpry3mlClBlk,,,False,not deployed
GBSpry4mlClBlk,4,12mm,Clear,Fine Mist Sprayer,Clear,True,True,,GBSpry4mlClBlk,,,False,not deployed
GBCyl5SpryBlkMatt,5.5,13-415,Clear,Fine Mist Sprayer,Matte Black,False,False,assembly_stock_unavailable,CP13-415SpryBlkMt,,,False,not deployed
GBCyl5Sl,5,13-415,Clear,Cap/Closure,Regular Shiny Silver,True,True,,CP13-415Sl,,,False,not deployed
GBCyl50MtlRollWht,50,16mm,Clear,Metal Roller Ball,White,True,True,,GBCyl50MtlRollWht,,,False,not deployed
GBCyl5Gl,5,13-415,Clear,Cap/Closure,Regular Shiny Gold,True,True,,CP13-415Gl,,,False,not deployed
GBCyl9SpryBlk,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,,Spry17-415Blk,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCyl100RdcrShnGl,100,18-415,Clear,Reducer,Shiny Gold,True,True,,CP18-415ShnGl,,,False,not deployed
GBCylAmb9SpryBlk,9,17-415,Amber,Fine Mist Sprayer,Black,True,True,,Spry17-415Blk,missing_dip_tube,,False,not deployed
GBCyl100RdcrShnBlkTall,100,18-415,Clear,Reducer,Tall Shiny Black,True,True,,CP18-415ShnBlkTall,,,False,not deployed
GBCylBlu5Sl,5,13-415,Cobalt Blue,Cap/Closure,Regular Shiny Silver,True,True,,CP13-415Sl,,,False,not deployed
GBCyl100RdcrShnBlk,100,18-415,Clear,Reducer,Shiny Black,True,True,,GBCyl100RdcrShnBlk,,,False,not deployed
GBCylBlu9SpryBlk,9,17-415,Cobalt Blue,Fine Mist Sprayer,Black,True,True,,Spry17-415Blk,missing_dip_tube,,False,not deployed
GBCylBlu5WhtSht,5,13-415,Cobalt Blue,Cap/Closure,Short Ribbed White,True,True,,CP13-415WhtSht,,,False,not deployed
GBCyl100RdcrBrwnLthr,100,18-415,Clear,Reducer,Brown Leather,True,True,,CP18-415BrwnLthr,,,False,not deployed
GBCylFrst9SpryBlk,9,17-415,Frosted,Fine Mist Sprayer,Black,True,True,,Spry17-415Blk,missing_dip_tube,,False,not deployed
GBCylBlu5Gl,5,13-415,Cobalt Blue,Cap/Closure,Regular Shiny Gold,True,True,,CP13-415Gl,,,False,not deployed
GBCyl100RdcrLBrwnLthr,100,18-415,Clear,Reducer,Light Brown Leather,True,True,,CP18-415LBrwnLthr,,,False,not deployed
GBCyl100RdcrShnSl,100,18-415,Clear,Reducer,Shiny Silver,True,True,,CP18-415ShnSl,,,False,not deployed
GBCyl100RdcrMtSlTall,100,18-415,Clear,Reducer,Tall Matte Silver,True,True,,CP18-415MtSlTall,,,False,not deployed
GBTallCyl9SpryBlkMatt,9,13-415,Clear,Fine Mist Sprayer,Matte Black,True,True,,CP13-415SpryBlkMt,,,False,not deployed
GBCyl100RdcrMtSl,100,18-415,Clear,Reducer,Matte Silver,True,True,,CP18-415MtSl,,,False,not deployed
GBTallCylFrst9SpryBlkMatt,9,13-415,Frosted,Fine Mist Sprayer,Frosted,True,True,,CP13-415SpryBlkMt,,,False,not deployed
GBCyl100RdcrWht,100,18-415,Clear,Reducer,White,True,True,,CP18-415Wh,,,False,not deployed
GBCyl100RdcrIvyLthr,100,18-415,Clear,Reducer,Ivory Leather,True,True,,CP18-415LIvyLthr,,,False,not deployed
GBCyl100RdcrPnkLthr,100,18-415,Clear,Reducer,Pink Leather,True,True,,CP18-415LPnkLthr,,,False,not deployed
GBCyl50SpryMtGl,50,18-415,Clear,Perfume Spray Pump,Matte Gold,True,True,,Spry18-415MtGl,,,False,not deployed
GBCyl50SpryShnGl,50,18-415,Clear,Perfume Spray Pump,Shiny Gold,True,True,,Spry18-415ShnGl,,,False,not deployed
GBCyl50SpryShnBlk,50,18-415,Clear,Perfume Spray Pump,Shiny Black,True,True,,Spry18-415ShnBlk,,,False,not deployed
GBCyl50SpryMtSl,50,18-415,Clear,Perfume Spray Pump,Matte Silver,True,True,,Spry18-415MtSl,,,False,not deployed
GBCyl50SpryShnSl,50,18-415,Clear,Perfume Spray Pump,Shiny Silver,True,True,,Spry18-415ShnSl,,,False,not deployed
GBTallCyl9Gl,9,13-415,Clear,,Gold,True,True,,CP13-415Gl,,,False,not deployed
GBTallCyl9Sl,9,13-415,Clear,,Silver,True,True,,CP13-415Sl,,,False,not deployed
GBCyl1ozRollWht,28,16mm,Clear,Plastic Roller Ball,White,True,True,,GBCyl1ozRollWht,,,False,not deployed
GBTallCylFrst9WhtSht,9,13-415,Frosted,,Short Ribbed White,True,True,,CP13-415WhtSht,,,False,not deployed
GBTallCylFrst9Gl,9,13-415,Frosted,,Shiny Gold,True,True,,CP13-415Gl,,,False,not deployed
GBTallCylFrst9Sl,9,13-415,Frosted,,Shiny Silver,True,True,,CP13-415Sl,,,False,not deployed
GBSpry1ozGl,30,18-415,Clear,,Shiny Gold,True,False,media_or_configuration_invalid,GBSpry1ozGl,,,False,not deployed
GBSpry1ozSl,30,18-415,Clear,,Silver,True,False,media_or_configuration_invalid,GBSpry1ozSl,,,False,not deployed
GBCyl50RollWht,50,16mm,Clear,Plastic Roller Ball,White,True,True,,GBCyl50RollWht,,,False,not deployed
GBCyl50SpryCu,50,18-415,Clear,Perfume Spray Pump,Copper,True,True,,Spry18-415Cu,,,False,not deployed
GBCyl100SpryCu,100,18-415,Clear,Perfume Spray Pump,Copper,True,True,,Spry18-415Cu,,,False,not deployed
GBCyl5MtlRollBlkSh,5,13-415,Clear,Metal Roller Ball,Shiny Black,False,False,assembly_stock_unavailable,CPRoll13-415BlkSh,,,True,not deployed
GBCyl5MtlRollCuMatt,5,13-415,Clear,Metal Roller Ball,Matte Copper,False,False,assembly_stock_unavailable,CPRoll13-415Cu,,,True,not deployed
GBCyl5MtlRollGlMatt,5,13-415,Clear,Metal Roller Ball,Matte Gold,False,False,assembly_stock_unavailable,CPRoll13-415GlMt,,,True,not deployed
GBCyl5MtlRollGlSh,5,13-415,Clear,Metal Roller Ball,Shiny Gold,False,False,assembly_stock_unavailable,CPRoll13-415GlSh,,,True,not deployed
GBCyl5MtlRollPinkDot,5,13-415,Clear,Metal Roller Ball,Pink with Dots,False,False,assembly_stock_unavailable,CPRoll13-415PinkDot,,,True,not deployed
GBCyl5MtlRollSlDot,5,13-415,Clear,Metal Roller Ball,Silver with Dots,False,False,assembly_stock_unavailable,CPRoll13-415SlDot,,,True,not deployed
GBCyl5MtlRollSlMatt,5,13-415,Clear,Metal Roller Ball,Matte Silver,False,False,assembly_stock_unavailable,CPRoll13-415SlMt,,,True,not deployed
GBCyl5MtlRollSlSh,5,13-415,Clear,Metal Roller Ball,Shiny Silver,False,False,assembly_stock_unavailable,CPRoll13-415SlSh,,,True,not deployed
GBCyl50RdcrBlkLthr,50,18-415,Clear,Reducer,Black Leather,True,True,,CP18-415BlkLthr,,,False,not deployed
GBSpry3mlClWht,3.3,12mm,Clear,Fine Mist Sprayer,Clear,True,True,,GBSpry3mlClWht,,,False,not deployed
GBCylBlu5MtlRollBlkSh,5,13-415,Cobalt Blue,Metal Roller Ball,Shiny Black,True,True,,CPRoll13-415BlkSh,,,False,not deployed
GBSpry4mlClWh,4,12mm,Clear,Fine Mist Sprayer,Clear,True,True,,GBSpry4mlClWh,,,False,not deployed
GBCylBlu5MtlRollCuMatt,5,13-415,Cobalt Blue,Metal Roller Ball,Matte Copper,True,True,,CPRoll13-415Cu,,,False,not deployed
GBCyl5SprySlMatt,5,13-415,Clear,Fine Mist Sprayer,Matte Silver,False,False,assembly_stock_unavailable,CP13-415SprySlMt,,,True,not deployed
GBCylBlu5MtlRollGlMatt,5,13-415,Cobalt Blue,Metal Roller Ball,Matte Gold,True,True,,CPRoll13-415GlMt,,,False,not deployed
GBCyl5SpryBlkSh,5,13-415,Clear,Fine Mist Sprayer,Shiny Black,False,False,assembly_stock_unavailable,CP13-415SpryBlkSh,,,True,not deployed
GBCylBlu5MtlRollGlSh,5,13-415,Cobalt Blue,Metal Roller Ball,Shiny Gold,True,True,,CPRoll13-415GlSh,,,False,not deployed
GBCyl5SpryGlSh,5,13-415,Clear,Fine Mist Sprayer,Shiny Gold,False,False,assembly_stock_unavailable,CP13-415SpryGlSh,,,True,not deployed
GBCyl100SpryMtGl,100,18-415,Clear,Perfume Spray Pump,Matte Gold,True,True,,Spry18-415MtGl,,,False,not deployed
GBCylBlu5MtlRollPinkDot,5,13-415,Cobalt Blue,Metal Roller Ball,Pink with Dots,True,True,,CPRoll13-415PinkDot,,,False,not deployed
GBCyl5SprySlSh,5,13-415,Clear,Fine Mist Sprayer,Shiny Silver,False,False,assembly_stock_unavailable,CP13-415SprySlSh,,,True,not deployed
GBCyl100SpryShnGl,100,18-415,Clear,Perfume Spray Pump,Shiny Gold,True,True,,Spry18-415ShnGl,,,False,not deployed
GBCylBlu5MtlRollSlDot,5,13-415,Cobalt Blue,Metal Roller Ball,Silver with Dots,True,True,,CPRoll13-415SlDot,,,False,not deployed
GBCyl5SpryBluMatt,5,13-415,Clear,Fine Mist Sprayer,Matte Blue,False,False,assembly_stock_unavailable,CP13-415SpryBluMt,,,True,not deployed
GBCyl100SpryShnBlk,100,18-415,Clear,Perfume Spray Pump,Shiny Black,True,True,,Spry18-415ShnBlk,,,False,not deployed
GBCylBlu5MtlRollSlMatt,5,13-415,Cobalt Blue,Metal Roller Ball,Matte Silver,True,True,,CPRoll13-415SlMt,,,False,not deployed
GBCyl5SpryCuMatt,5,13-415,Clear,Fine Mist Sprayer,Matte Copper,False,False,assembly_stock_unavailable,CP13-415SpryCuMt,,,True,not deployed
GBCyl100SpryMtSl,100,18-415,Clear,Perfume Spray Pump,Matte Silver,True,True,,Spry18-415MtSl,,,False,not deployed
GBCylBlu5MtlRollSlSh,5,13-415,Cobalt Blue,Metal Roller Ball,Shiny Silver,True,True,,CPRoll13-415SlSh,,,False,not deployed
GBCyl5SpryGlMatt,5,13-415,Clear,Fine Mist Sprayer,Matte Gold,False,False,assembly_stock_unavailable,CP13-415SpryGlMt,,,True,not deployed
GBCyl100SpryShnSl,100,18-415,Clear,Perfume Spray Pump,Shiny Silver,True,True,,Spry18-415ShnSl,,,False,not deployed
GBCyl100RdcrBlkLthr,100,18-415,Clear,Reducer,Black Leather,True,True,,CP18-415BlkLthr,,,False,not deployed
GBCyl50AnSpBlk,50,18-415,Clear,Vintage Bulb Sprayer,Black,True,True,,AnSp18-415Blk,,,False,not deployed
GBCyl50AnSpTslBlk,50,18-415,Clear,Vintage Bulb Sprayer with Tassel,Black,True,True,,AnSpTsl18-415Blk,,,False,not deployed
LBCylAmb9LtnGl,9,17-415,Amber,Lotion Pump,Gold,True,True,,Ltn17-415Gl,missing_dip_tube,,False,not deployed
