sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentSellableReason,assemblySellableReason,componentStandaloneSellable,sourceUrl
"LBCrcl100LtnClOvrCap","Circle","100","Clear","18-415","Lotion Pump","Clear Overcap","true","","Ltn18-415MtSlCl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"LBCrclFrst100LtnClOvrCap","Circle","100","Frosted","18-415","Lotion Pump","Clear Overcap","true","","Ltn18-415MtSlCl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"GBCrcl15RollBlkSh","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Black","true","","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-black-shiny-cap"
"GBCrcl15RollCuMatt","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Copper","true","","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-copper-cap"
"GBCrcl100RdcrPnkLthr","Circle","100","Clear","18-415","Reducer","Pink","true","","CP18-415LPnkLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-pink-faux-leather-cap"
"GBCrcl15RollGlMatt","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Gold","true","","CPRoll13-415GlMt","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-gold-cap"
"GBCrcl100RdcrShnGl","Circle","100","Clear","18-415","Reducer","Shiny Gold","true","","CP18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-shiny-gold-cap"
"GBCrcl15RollGlSh","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Gold","true","","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-shiny-gold-cap"
"GBCrcl100RdcrShnBlkTall","Circle","100","Clear","18-415","Reducer","Shiny Black","true","","CP18-415ShnBlkTall","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-tall-black-shiny-cap"
"GBCrcl15RollPinkDot","Circle","15","Clear","13-415","Plastic Roller Ball","Pink Dotted","true","","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-pink-cap-with-dots"
