sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"LBCrcl100LtnClOvrCap","LB-CIR-CLR-100ML-LPM-COCP","Circle","100","Clear","18-415","Lotion Pump","Clear Overcap","true","full","body | diptube | pump","","pending_exact_source_and_render_review"
"LBCrclFrst100LtnClOvrCap","LB-CIR-FRS-100ML-LPM-COCP","Circle","100","Frosted","18-415","Lotion Pump","Clear Overcap","true","full","body | pump","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl15RollBlkSh","GB-CIR-CLR-15ML-ROL-SBLK","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Black","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl15RollCuMatt","GB-CIR-CLR-15ML-ROL-MCPR","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Copper","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100RdcrPnkLthr","GB-CIR-CLR-100ML-RDC-PNK","Circle","100","Clear","18-415","Reducer","Pink","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15RollGlMatt","GB-CIR-CLR-15ML-ROL-MGLD","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Gold","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100RdcrShnGl","GB-CIR-CLR-100ML-RDC-SGLD","Circle","100","Clear","18-415","Reducer","Shiny Gold","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15RollGlSh","GB-CIR-CLR-15ML-ROL-SGLD","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Gold","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100RdcrShnBlkTall","GB-CIR-CLR-100ML-RDC-SBLK-T","Circle","100","Clear","18-415","Reducer","Shiny Black","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15RollPinkDot","GB-CIR-CLR-15ML-ROL-PKDT","Circle","15","Clear","13-415","Plastic Roller Ball","Pink Dotted","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100RdcrShnBlk","GB-CIR-CLR-100ML-RDC-SBLK","Circle","100","Clear","18-415","Reducer","Shiny Black","false","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15RollSlDot","GB-CIR-CLR-15ML-ROL-SLDT","Circle","15","Clear","13-415","Plastic Roller Ball","Silver Dotted","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100RdcrBrwnLthr","GB-CIR-CLR-100ML-RDC-01","Circle","100","Clear","18-415","Reducer","Clear","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15RollSlMatt","GB-CIR-CLR-15ML-ROL-MSLV","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Silver","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl15RollSlSh","GB-CIR-CLR-15ML-ROL-SSLV","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Silver","true","full","body | cap","roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100RdcrLBrwnLthr","GB-CIR-CLR-100ML-RDC-02","Circle","100","Clear","18-415","Reducer","Clear","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100RdcrShnSl","GB-CIR-CLR-100ML-RDC-SSLV","Circle","100","Clear","18-415","Reducer","Shiny Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100RdcrMtSlTall","GB-CIR-CLR-100ML-RDC-MSLV-T","Circle","100","Clear","18-415","Reducer","Matte Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100RdcrMtSl","GB-CIR-CLR-100ML-RDC-MSLV","Circle","100","Clear","18-415","Reducer","Matte Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100RdcrWht","GB-CIR-CLR-100ML-RDC-WHT","Circle","100","Clear","18-415","Reducer","White","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100RdcrIvyLthr","GB-CIR-CLR-100ML-RDC-IVR","Circle","100","Clear","18-415","Reducer","Ivory","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrShnSl","GB-CIR-FRS-100ML-RDC-SSLV","Circle","100","Frosted","18-415","Reducer","Shiny Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrShnGl","GB-CIR-FRS-100ML-RDC-SGLD","Circle","100","Frosted","18-415","Reducer","Shiny Gold","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrIvyLthr","GB-CIR-FRS-100ML-RDC-IVR","Circle","100","Frosted","18-415","Reducer","Ivory","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrPnkLthr","GB-CIR-FRS-100ML-RDC-PNK","Circle","100","Frosted","18-415","Reducer","Pink","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrShnBlkTall","GB-CIR-FRS-100ML-RDC-SBLK-T","Circle","100","Frosted","18-415","Reducer","Shiny Black","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrShnBlk","GB-CIR-FRS-100ML-RDC-SBLK","Circle","100","Frosted","18-415","Reducer","Shiny Black","false","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrBrwnLthr","GB-CIR-FRS-100ML-RDC","Circle","100","Frosted","18-415","Reducer","Frosted","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrLBrwnLthr","GB-CIR-FRS-100ML-RDC-LBLT","Circle","100","Frosted","18-415","Reducer","Light Brown Leather","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrMtSlTall","GB-CIR-FRS-100ML-RDC-MSLV-T","Circle","100","Frosted","18-415","Reducer","Matte Silver","true","full","body | cap","","pending_exact_source_and_render_review"
