role,sku,family,status,desktopCandidates,clientCandidates,sourceUrl
component,18-400CpAppBlk,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/15. 18:400/Alternating cap/2. 18-400CpAppBlk.psd,https://www.bestbottles.com/product/Caps-lid-with-applicator-top-black-Color-8-425
component,18-400CpShortBlk,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/15. 18:400/Alternating cap/1. 18-400CpShortBlk.psd,https://www.bestbottles.com/product/Caps-lid-short-top-black-Color-18-400
component,AnSp18-415Blk,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /29. Ansp18-415Blk.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black
component,AnSp18-415Gl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /27. Ansp18-415Gl.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold
component,AnSp18-415IvyGl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /28. Ansp18-415IvyGl.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold
component,AnSp18-415IvySl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /26. Ansp18-415IvySl.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver
component,AnSp18-415Lvn,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /23. Ansp18-415Lvn.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender
component,AnSp18-415MtSl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /25. Ansp18-415MtSl.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver
component,AnSp18-415Red,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /31. Ansp18-415Red.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red
component,AnSp18-415Wht,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/9. 18-415 Ansp /30. Ansp18-415Wht.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white
component,AnSpTsl18-415Blk,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/41. AnspTsl18-415Blk.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black-Tassel
component,AnSpTsl18-415IvyGl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/36. AnspTsl18-415IvyGl.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold-Tassel
component,AnSpTsl18-415IvySl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/37. AnspTsl18-415IvySl.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver-Tassel
component,AnSpTsl18-415Lvn,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/35. AnspTsl18-415Lvn.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender-Tassel
component,AnSpTsl18-415MtS,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/42. AnspTsl18-415MtS.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver-Tassel
component,AnSpTsl18-415Pnk,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/39. AnspTsl18-415Pnk.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-pink-Tassel
component,AnSpTsl18-415Red,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/40. AnspTsl18-415Red.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red-Tassel
component,AnSpTsl18-415Wht,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/10. 18-415 Ansp Tsl/38. AnspTsl18-415Wht.psd,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white-Tassel
component,CP13-415BlkShShtMtl,,"source candidates located; identity, layers and per-bottle fit require review",/Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/13-415 Short Caps only/5. 13-415CpBlkShShtMtl.psd | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/25. Caps 13-415/13415 Short Caps (New)/5. 13-415CpBlkShShtMtl.psd | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/25. Caps 13-415/13415 Short Caps Thumbnail (New_/5. 13-415CpBlkShShtMtl.psd | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/Full Size Capped Png/13415 Capped Png/5. 13-415CpBlkShShtMtl.png | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/Full Size Uncapped Png/13415 Enlarged Images (Uncapped) PNG/5. 13-415CpBlkShShtMtl.png | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/Thumbnail Png/5. 13-415CpBlkShShtMtl.png | /Users/jordanrichter/Desktop/Best Bottles/New Short Caps 13-415 Bottles/1. Thumbnail Capped Png/13-415CpBlkShShtMtl.png | /Users/jordanrichter/Desktop/Best Bottles/New Short Caps 13-415 Bottles/2. Enlarged Capped/13-415CpBlkShShtMtl.gif,,https://www.bestbottles.com/product/Short-Caps-lids-top-bottle-shiny-black-Color-13-415
component,CP13-415BlkSht,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/17. 13-415 Caps /1. CP13-415BlkSht.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/5.  13-415 Bottles/25. Caps 13-415/13415 Caps/1. CP13-415BlkSht.psd,https://www.bestbottles.com/product/Caps-lids-short-top-bottle-white-Color-13-415
component,CP13-415CuSht,,"source candidates located; identity, layers and per-bottle fit require review",/Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/13-415 Short Caps only/6. 13-415CpCuSht.psd | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/25. Caps 13-415/13415 Short Caps (New)/6. 13-415CpCuSht.psd | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/25. Caps 13-415/13415 Short Caps Thumbnail (New_/6. 13-415CpCuSht.psd | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/Full Size Capped Png/13415 Capped Png/6. 13-415CpCuSht.png | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/Full Size Uncapped Png/13415 Enlarged Images (Uncapped) PNG/6. 13-415CpCuSht.png | /Users/jordanrichter/Desktop/Best Bottles/4. Short Caps 13-415 Bottles/Thumbnail Png/6. 13-415CpCuSht.png | /Users/jordanrichter/Desktop/Best Bottles/New Short Caps 13-415 Bottles/1. Thumbnail Capped Png/13-415CpCuSht.png | /Users/jordanrichter/Desktop/Best Bottles/New Short Caps 13-415 Bottles/2. Enlarged Capped/13-415CpCuSht.gif,,
component,CP13-415Gl,,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/20. Caps/17. 13-415 Caps /4. CP13-415Gl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/5.  13-415 Bottles/25. Caps 13-415/13415 Caps/4. CP13-415Gl.psd,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-gold-Color-13-415
