"Review ID","Evidence version","Audit date","Family","Capacity mL","Glass","Bottle SKU","Bottle description","Fitment","Selected finish","Bottle neck","Proposed component SKU","Component description","Component neck","Association type","Audit result","Issue to clarify","Issue codes","Jev identity","Jev mechanism","Jev finish","Bottle source","Bottle source description","Component source","Component source description","Source captured at","Stakeholder decision","Correct component SKU","Correction notes","Supporting source URL","Reviewer","Reviewed at"
"GBCrclFrst50DrpGl","c6fc2c60bf33ea5dd37c3ba8449315c995b2eabffd43d03312718386517a3596","2026-09-23T15:43:25.433Z","Circle","50","Frosted","GBCrclFrst50DrpGl","Circle design 50 ml, 1.7oz  frosted glass bottle  with white dropper with shiny gold collar cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizer, and beard oils.Circle design is a famiily of bottles availab","Dropper","Shiny Gold Collar","18-415","Drp18-415Gl","White rubber bulb dropper with shiny gold collar cap. Thread size 18-415","18-415","component","review_required","Hardware finish or shape needs clarification: model confidence is below the review threshold","finish_uncertain","supported (confidence 1.000)","supported (confidence 0.920)","supported (confidence 0.510)","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-gold-collar-cap","Circle design 50 ml, 1.7oz  frosted glass bottle  with white dropper with shiny gold collar cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizer, and beard oils.Circle design is a famiily of bottles availab","https://www.bestbottles.com/product/Dropper-white-rubber-bulb-gold-trim-glass-Pipette","White rubber bulb dropper with shiny gold collar cap. Thread size 18-415","2026-09-23T05:46:13.944Z; 2026-09-23T05:46:18.051Z","Pending review","","","","",""
"GBCrclFrst50AnSpTslGl","fd3b86f9b7ddc296c41ab417ef6bf586e2bb1fb2fcf2fb865c9f461e28231176","2026-09-23T15:43:25.433Z","Circle","50","Frosted","GBCrclFrst50AnSpTslGl","Circle design 50 ml, 1.7oz  frosted glass bottle  with Gold vintage style bulb sprayer with tasseland shiny gold collar cap. For use with co","Vintage Bulb Sprayer with Tassel","Gold","18-415","CP18-415AnSpTslGl","Gold Antique or Vintage style bulb sprayer with tassel. Thread Size 18-415","18-415","component","review_required","Source page identifies a different component SKU; Hardware finish or shape has insufficient source evidence","component_source_sku_mismatch; finish_insufficient","supported (confidence 0.980)","supported (confidence 0.990)","insufficient (confidence 0.370)","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-gold-vintage-style-sprayer-with-tassel-shiny-gold-collar","Circle design 50 ml, 1.7oz  frosted glass bottle  with Gold vintage style bulb sprayer with tasseland shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance t","https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold-Tassel","CP18-415AnSpTslGl Gold Antique or Vintage style bulb sprayer with tassel and Gold fittings. Ships along with a travel cap,  Filled bottle with sprayer can leak during shipping, use travel cap to prevent leaks. Thread Size 18-415","2026-09-23T05:46:14.294Z; 2026-09-23T05:46:17.208Z","Pending review","","","","",""
"GBCrcl15GlMattSht","dc1c6b2e5f3aef4258ebe54e445c72aa7eae4d46ed52c7792bb859e29f5a9e47","2026-09-23T15:43:25.433Z","Circle","15","Clear","GBCrcl15GlMattSht","Circle design 15ml, 1/2oz Clear glass bottle with short matte gold cap.","Screw Cap","Short Matte Gold","13-415","CP13-415GlMattSht","Short matte Gold or closure for glass bottle with foam liner. Thread size 13-415","13-415","component","review_required","Component source evidence is missing; Component neck is not confirmed by its source; Hardware type has insufficient source evidence; Hardware finish or shape needs clarification: model confidence is below the review threshold","missing_component_evidence; component_source_neck_unconfirmed; mechanism_insufficient; finish_uncertain","supported (confidence 0.970)","insufficient (confidence 0.250)","supported (confidence 0.590)","https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-matte-gold-cap","Circle design 15ml, 1/2oz Clear glass bottle with short matte gold cap.","","","2026-09-23T05:50:25.495Z","Pending review","","","","",""
"GBRnd128DrpGl","86843e22e74a519f8439fcfa42d61ca7261ec612fbc1142511a6ba3e9b5f44e5","2026-09-23T15:43:25.433Z","Round","128","Clear","GBRnd128DrpGl","Round design 128 ml, 4.33oz  clear glass bottle  with white dropper with shiny gold collar cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizer, and beard oils.Round design bottle is available in 2 sizes -","Dropper","Gold Collar","18-415","Drp18-415Gl","White rubber bulb dropper with shiny gold collar cap. Thread size 18-415","18-415","component","review_required","Hardware finish or shape needs clarification: model confidence is below the review threshold","finish_uncertain","supported (confidence 0.990)","supported (confidence 0.930)","supported (confidence 0.480)","https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-white-dropper-shiny-gold-collar-cap","Round design 128 ml, 4.33oz  clear glass bottle  with white dropper with shiny gold collar cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizer, and beard oils.Round design bottle is available in 2 sizes -","https://www.bestbottles.com/product/Dropper-white-rubber-bulb-gold-trim-glass-Pipette","White rubber bulb dropper with shiny gold collar cap. Thread size 18-415","2026-09-23T05:46:15.496Z; 2026-09-23T05:46:18.051Z","Pending review","","","","",""
"GBRndFrst128AnSpTslIvyGl","2126aa2e3f8f59546290639c9cb29cae98562ea6860de9652b056f0bb79b9345","2026-09-23T15:43:25.433Z","Round","128","Frosted","GBRndFrst128AnSpTslIvyGl","Round design 128 ml, 4.33oz frosted glass bottle with Ivory vintage style bulb sprayer with tassel and shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance","Vintage Bulb Sprayer with Tassel","Ivory + Gold","18-415","AnSpTsl18-415IvyGl","Ivory Gold Antique or Vintage style bulb sprayer with Gold fittings and tassel. Thread Size 18-415","18-415","component","review_required","Hardware finish or shape has insufficient source evidence","finish_insufficient","supported (confidence 1.000)","supported (confidence 0.990)","insufficient (confidence 0.340)","https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-gold-collar","Round design 128 ml, 4.33oz frosted glass bottle with Ivory vintage style bulb sprayer with tassel and shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance","https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold-Tassel","Ivory Gold Antique or Vintage style bulb sprayer with Gold fittings and tassel. Thread Size 18-415","2026-09-23T05:46:15.496Z; 2026-09-23T05:46:16.352Z","Pending review","","","","",""
"GBCyl9SpryBlk","e3d304f31cc5a9c4bbc0f3ca867e9e2e85b76bc6129a0ba8e20a4a28f2501a03","2026-09-23T15:43:25.433Z","Cylinder","9","Clear","GBCyl9SpryBlk","Cylinder design 9ml,1/3 oz clear glass bottle with fine mist sprayer with black trim and plastic overcap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each","Fine Mist Sprayer","Black","17-415","Spry17-415Blk","Shiny black collar sprayer, Thread size 17-415","17-415","component","review_required","Hardware type needs clarification: model confidence is below the review threshold; Hardware finish or shape has insufficient source evidence","mechanism_uncertain; finish_insufficient","supported (confidence 0.990)","supported (confidence 0.740)","insufficient (confidence 0.740)","https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-sprayer-black-trim-and-cap","Cylinder design 9ml,1/3 oz clear glass bottle with fine mist sprayer with black trim and plastic overcap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each","https://www.bestbottles.com/product/spray-top-black-trim-color-17-415","Shiny black collar sprayer. Metal shell collar over plastic sprayer, Thread size 17-415","2026-09-23T15:35:36.217225Z; 2026-09-23T15:35:36.799535Z","Pending review","","","","",""
"GBCyl5SpryGlMatt","6a5b1c9df727ba73dd748fc820d200162939b44be53f1bdcd1b0973f51166592","2026-09-23T15:43:25.433Z","Cylinder","5","Clear","GBCyl5SpryGlMatt","5 ml Clear Cylinder Fine Mist Spray Bottle — GB-CYL-CLR-5ML-SPR-MGLD","Fine Mist Sprayer","Matte Gold","13-415","CP13-415SpryGlMt","Matte gold Fine Mist Sprayer, Thread size 13-415","13-415","component","review_required","Catalog capacity differs from the exact source description; Bottle family, capacity or glass needs clarification: model confidence is below the review threshold; Hardware type needs clarification: model confidence is below the review threshold; Hardware finish or shape has insufficient source evidence","source_capacity_mismatch; identity_uncertain; mechanism_uncertain; finish_insufficient","supported (confidence 0.160)","supported (confidence 0.540)","insufficient (confidence 0.640)","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-gold-spray","Cylinder design 5.5ml, 1/6oz Clear glass bottle with matte gold spray. Fine mist sprayer for use with perfumes and colognes. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each","https://www.bestbottles.com/product/spray-top-matte-gold-13-415","Matte gold collar sprayer. Metal shell collar over plastic sprayer, Thread size 13-415","2026-09-23T15:35:37.375427Z; 2026-09-23T15:35:37.968530Z","Pending review","","","","",""
"GBCyl5MtlRollBlkDot","7240e7ec4a995b1e651a460c928cffe1dab5a681335596d187b995d8d7f3510d","2026-09-23T15:43:25.433Z","Cylinder","5","Clear","GBCyl5MtlRollBlkDot","5 ml Clear Cylinder Roll-On Bottle — GB-CYL-CLR-5ML-MRL-BKDT","Metal Roller","Black with Dots Cap","13-415","CPRoll13-415BlackDot","Shiny black cap with dots or closure for rollon bottles, Threadsize 13-415","13-415","component","review_required","Catalog capacity differs from the exact source description; Bottle family, capacity or glass conflicts with source evidence; Hardware type has insufficient source evidence; Hardware finish or shape needs clarification: model confidence is below the review threshold","source_capacity_mismatch; identity_contradicted; mechanism_insufficient; finish_uncertain","contradicted (confidence 0.190)","insufficient (confidence 0.210)","supported (confidence 0.380)","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots","Cylinder design 5.5ml, 1/6oz Clear glass bottle with metal roller ball plug and black shiny cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, sample","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-dot-Color-13-415","Shiny black cap with dots cap or closure for rollon bottles. Metal shell cap with plastic insert that has special features for pressing on roller ball. Thread size 13-415","2026-09-23T15:35:38.617294Z; 2026-09-23T15:35:39.190442Z","Pending review","","","","",""
"GBCyl5RollBlkDot","af84d862d348a8a3b8843f02df8bc29f78230dbc5190bfee7648d95d16c7b13f","2026-09-23T15:43:25.433Z","Cylinder","5","Clear","GBCyl5RollBlkDot","5 ml Clear Cylinder Roll-On Bottle — GB-CYL-CLR-5ML-ROL-BKDT","Plastic Roller","Black with Dots Cap","13-415","CPRoll13-415BlackDot","Shiny black cap with dots or closure for rollon bottles, Threadsize 13-415","13-415","component","review_required","Catalog capacity differs from the exact source description; Bottle family, capacity or glass conflicts with source evidence; Hardware type has insufficient source evidence; Hardware finish or shape needs clarification: model confidence is below the review threshold","source_capacity_mismatch; identity_contradicted; mechanism_insufficient; finish_uncertain","contradicted (confidence 0.140)","insufficient (confidence 0.150)","supported (confidence 0.500)","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots","Cylinder design 5.5ml, 1/6oz Clear glass bottle with plastic roller ball plug and black shiny cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samp","https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-dot-Color-13-415","Shiny black cap with dots cap or closure for rollon bottles. Metal shell cap with plastic insert that has special features for pressing on roller ball. Thread size 13-415","2026-09-23T15:35:39.812773Z; 2026-09-23T15:35:39.190442Z","Pending review","","","","",""
"GBEmp50AnSpGl","cfa3e70d6815a888abcfd27222209bfffd8169a629ecba428b517e5591142255","2026-09-23T15:43:25.433Z","Empire","50","Clear","GBEmp50AnSpGl","Empire design 50 ml, 1.7oz  clear glass bottle  with gold vintage style sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of your","Vintage Bulb Sprayer","Gold","18-415","AnSp18-415Gl","Gold Antique or Vintage style bulb sprayer with Gold fittings. Thread Size 18-415","18-415","component","review_required","Hardware finish or shape has insufficient source evidence","finish_insufficient","supported (confidence 0.980)","supported (confidence 0.930)","insufficient (confidence 0.550)","https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap","Empire design 50 ml, 1.7oz  clear glass bottle  with gold vintage style sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of your","https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold","Gold Antique or Vintage style bulb sprayer with Gold fittings. Thread Size 18-415","2026-09-23T15:35:40.413304Z; 2026-09-23T15:35:41.015695Z","Pending review","","","","",""
