graceSku,itemName,field,convex,master_v83
GB-CYL-BLU-5ML-ATM-BLU,"Blue atomizer design 5 ml bottle. For use with perfumes, Col",family,Atomizer,Cylinder
GB-CYL-BLU-5ML-ATM-BLU,"Blue atomizer design 5 ml bottle. For use with perfumes, Col",category,Metal Atomizer,Glass Bottle
LB-SLK-CLR-100ML-LPM-SGLD,"Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny g",category,Glass Bottle,Lotion Bottle
LB-CYL-CLR-9ML-LPM-MSLV,"Cylinder swirl design 9ml,1/3 oz glass bottle with treatment",category,Glass Bottle,Lotion Bottle
ACC-ORG-PRP-4X6,Purple Organza / sheer gusseted gift bag. Size : 4 inches x ,category,Packaging,Other
LB-SLK-CLR-30ML-LPM-COCP,"Sleek design 30 ml, 1oz clear glass bottle with with a matte",category,Glass Bottle,Lotion Bottle
GB-CYL-AMB-5ML-WHT-S,"Tulip design 5ml, 1/6 oz Amber glass bottle with short white",family,Tulip,Cylinder
GB-RCT-CLR-10ML-SPR-MCPR-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Spray
GB-EMP-CLR-50ML-DRP-GLD,"Empire design 50 ml, 1.7oz  clear glass bottle  with white d",diameter,37 ±0.5 mm,72 ±1 mm
CMP-ROC-SGLD-13415,"Shiny Gold cap or closure for rollon bottles, Threadsize 13-",category,Component,Roll-On Cap
GB-SLK-CLR-100ML-RDC-MSLV-T,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reduc",capStyle,Tall,Screw Cap
GB-EMP-CLR-100ML-SPR-SBLK,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with shin",diameter,46 ±0.5 mm,78 ±1 mm
GB-EMP-CLR-100ML-AST-MSLV,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with Silv",diameter,46 ±0.5 mm,78 ±1 mm
GB-RCT-CLR-10ML-ROL-BKDT-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Dot Cap
LB-DVA-CLR-100ML-LPM-SSLV,"Diva design 100 ml, 3 1/2oz clear glass bottle with shiny si",category,Glass Bottle,Lotion Bottle
GB-RCT-CLR-10ML-BLK-S-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Short
GB-CIR-FRS-100ML-RDC-WHT,"Circle design 100 ml, 3 1/2oz frosted glass bottle with redu",heightWithCap,116 ±2 mm,125 ±2 mm
GB-CIR-FRS-100ML-RDC-WHT,"Circle design 100 ml, 3 1/2oz frosted glass bottle with redu",heightWithoutCap,105 ±2 mm,100 ±1 mm
LB-ELG-CLR-60ML-LPM-MSLV,"Elegant design 60 ml, 2oz clear glass bottle with matte silv",category,Glass Bottle,Lotion Bottle
CMP-CAP-SGLD-13-415-01,"Shiny gold lid or closure for glass bottle, Thread size 13-4",family,Roll-On Cap,Cap/Closure
