websiteSku,graceSku,family,capacityMl,colour,category,groupSlug,plateSource
Alu65mlLotionPumpWhite,AB-CYL-WHT-65ML-LPM-WHT,Aluminum Bottle,65,White,Aluminum Bottle,aluminum-bottle-65ml-white-20-410-lotionpump,https://www.bestbottles.com/images/store/enlarged_pics/Alu65mlLotionPumpWhite.gif
Alu120mlLotionPumpWhite,AB-ALU-CLR-120ML-LPM-WHT,Aluminum Bottle,120,Clear,Aluminum Bottle,aluminum-bottle-120ml-clear-20-410-lotionpump,https://www.bestbottles.com/images/store/enlarged_pics/Alu120mlLotionPumpWhite.gif
GBAtom5Blk,GB-CYL-BLK-5ML-ATM-BLK,Atomizer,5,Black,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Blk.gif
GBAtom5BlkDot,GB-CYL-BLK-5ML-ATM-BLK-02,Atomizer,5,Black,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5BlkDot.gif
GBAtom5Blu,GB-CYL-BLU-5ML-ATM-BLU,Atomizer,5,Cobalt Blue,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Blu.gif
GBAtom5Gl,GB-CYL-CLR-5ML-ATM-GLD,Atomizer,5,Clear,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Gl.gif
GBAtom5PnkDot,GB-CYL-PNK-5ML-ATM-PNK-02,Atomizer,5,Pink,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5PnkDot.gif
GBAtom5Red,GB-CYL-CLR-5ML-ATM-RED,Atomizer,5,Clear,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Red.gif
GBAtom5Sl,GB-CYL-CLR-5ML-ATM-SLV-01,Atomizer,5,Clear,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Sl.gif
GBAtom5SlDot,GB-CYL-CLR-5ML-ATM-SLV-02,Atomizer,5,Clear,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlDot.gif
GBAtom5SlStars,GB-CYL-CLR-5ML-ATM-SLV-03,Atomizer,5,Clear,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlStars.gif
GBAtom5SlimBlk,GB-SLM-BLK-5ML-ATM-BLK-T,Atomizer,5,Black,Metal Atomizer,atomizer-5ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlimBlk.gif
GBAtom10Blk,GB-CYL-BLK-10ML-ATM-BLK-01,Atomizer,10,Black,Metal Atomizer,atomizer-10ml,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10Blk.gif
