websiteSku,groupSlug,family,applicator,issues,currentUses
LBElg100WhtClOvrCp,elegant-100ml-clear-18-415-lotionpump,Elegant,Lotion Pump,roll-on use list on a lotion pump,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
LBSlk100WhtRectClOverCap,sleek-100ml-clear-18-415-lotionpump,Sleek,Lotion Pump,roll-on use list on a lotion pump,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
LBSlk50LtnClOvrCap,sleek-50ml-clear-18-415-lotionpump,Sleek,Lotion Pump,roll-on use list on a lotion pump,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
LBSlk50LtnMtGl,sleek-50ml-clear-18-415-lotionpump,Sleek,Lotion Pump,roll-on use list on a lotion pump,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBBstnAmb1ozMtlRollonMattSl,boston-round-30ml-amber-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstn1ozMtlRollonMattSl,boston-round-30ml-clear-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnBlu1ozMtlRollonMattSl,boston-round-30ml-cobalt-blue-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozMtlRollonGl,boston-round-60ml-amber-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozMtlRollonMattBlk,boston-round-60ml-amber-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozMtlRollonMattGl,boston-round-60ml-amber-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozMtlRollonMattSl,boston-round-60ml-amber-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozMtlRollonShnSl,boston-round-60ml-amber-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozRollonGl,boston-round-60ml-amber-20-400-rollon,Boston Round,Plastic Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozRollonMattBlk,boston-round-60ml-amber-20-400-rollon,Boston Round,Plastic Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozRollonMattGl,boston-round-60ml-amber-20-400-rollon,Boston Round,Plastic Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozRollonMattSl,boston-round-60ml-amber-20-400-rollon,Boston Round,Plastic Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnAmb2ozRollonShnSl,boston-round-60ml-amber-20-400-rollon,Boston Round,Plastic Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstn2ozMtlRollMattSl,boston-round-60ml-clear-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBBstnBlu2ozMtlRollonMattSl,boston-round-60ml-cobalt-blue-20-400-rollon,Boston Round,Metal Roller Ball,lotion or ointment on a roller,"perfume, fragrance oil, essential oils, body oil, thin lotions and ointments"
GBCyl1ozRollWht,cylinder-28ml-clear-16mm-rollon,Cylinder,Plastic Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBMtlRoll28Blk,cylinder-28ml-clear-16mm-rollon,Cylinder,Metal Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBMtlRoll28Wht,cylinder-28ml-clear-16mm-rollon,Cylinder,Metal Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBRoll28Blk,cylinder-28ml-clear-16mm-rollon,Cylinder,Plastic Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBCyl50MtlRollBlk,cylinder-50ml-clear-16mm-rollon,Cylinder,Metal Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBCyl50MtlRollWht,cylinder-50ml-clear-16mm-rollon,Cylinder,Metal Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBCyl50RollBlk,cylinder-50ml-clear-16mm-rollon,Cylinder,Plastic Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
GBCyl50RollWht,cylinder-50ml-clear-16mm-rollon,Cylinder,Plastic Roller Ball,lotion or ointment on a roller,"fragrances, oils, massage oil, light lotions and ointments"
CJClr5mlClrCap,cream-jar-5ml-clear,Cream Jar,None,no use sentence,
CreamJarFrstdPlsBlkPls2oz,cream-jar-60ml-frosted,Cream Jar,None,no use sentence,
CJWhitePlsSlFr2oz,cream-jar-63ml-white,Cream Jar,None,no use sentence,
PbClear4ozFlpWh,cylinder-118ml-clear,Cylinder,N/A,no use sentence,
PbClear8ozFlpWh,cylinder-227ml-clear,Cylinder,N/A,no use sentence,
PbNat16ozFlpWh,cylinder-454ml-clear,Cylinder,N/A,no use sentence,
GBCylBlu5BlkShSht,cylinder-5ml-cobalt-blue-13-415,Cylinder,Cap/Closure,no use sentence,
GBElg15MinarCu,elegant-15ml-clear-13-415-capclosure,Elegant,Cap/Closure,no use sentence,
GBElgFrst15BlkShSht,elegant-15ml-frosted-13-415,Elegant,N/A,no use sentence,
LBMetalSilver1oz,lotion-bottle-30ml-clear-18mm,Lotion Bottle,None,no use sentence,
LB3mlClear,lotion-bottle-3ml-clear-Snap-On,Lotion Bottle,None,no use sentence,
GBMtlMrblLarge,marble-10ml-clear-17.52mm,Decorative,None,no use sentence,
GBMtlMrblSmall,marble-5ml-clear-17.52mm,Decorative,None,no use sentence,
PB1ozClearcap,plastic-bottle-30ml-clear,Plastic Bottle,None,no use sentence,
GBMtlCylGl,royal-14ml-clear-11mm,Royal,None,no use sentence,
GBTulip6BlkShSht,tulip-6ml-clear-13-415,Tulip,N/A,no use sentence,
GBVialClr2mlBlackCap,vial-2ml-clear-8-425,Vial,None,no use sentence,
GBVialClr2mlWhtCap,vial-2ml-clear-8-425,Vial,None,no use sentence,
GBCylAmb9SpryBlk,cylinder-9ml-amber-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylAmb9SpryGl,cylinder-9ml-amber-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylAmb9SpryMattSl,cylinder-9ml-amber-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylAmb9SpryRd,cylinder-9ml-amber-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylAmb9SpryShSl,cylinder-9ml-amber-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylAmb9SpryTur,cylinder-9ml-amber-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCyl9SpryBlk,cylinder-9ml-clear-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCyl9SpryGl,cylinder-9ml-clear-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCyl9SpryMattSl,cylinder-9ml-clear-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCyl9SpryRd,cylinder-9ml-clear-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCyl9SpryShSl,cylinder-9ml-clear-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCyl9SpryTur,cylinder-9ml-clear-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylBlu9SpryGl,cylinder-9ml-cobalt-blue-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylBlu9SpryMattSl,cylinder-9ml-cobalt-blue-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylBlu9SpryRd,cylinder-9ml-cobalt-blue-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylBlu9SpryShSl,cylinder-9ml-cobalt-blue-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
GBCylBlu9SpryTur,cylinder-9ml-cobalt-blue-17-415-finemist,Cylinder,Fine Mist Sprayer,oil in a mist sprayer,"perfume or fragrance oil, essential oils, aromatic oils and aromatherapy"
