grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
Alu500,20-410,500.0,178.0,186.0,74.0,,,https_www_bestbottles_com_product_Aluminum_Bottle_Can_white_cap_500ml.html
GB15ApthBlue,,15.0,58.0,82.0,30.0,,,https_www_bestbottles_com_product_Apothecary_style_15_ml_blue_glass_bottle_blue_glass_stopper.html
GB1ozApthBlue,,30.0,,98.0,37.0,,,https_www_bestbottles_com_product_Apothecary_style_1_ounce_blue_glass_bottle_blue_glass_stopper.html
GB1ozApth,,30.0,,98.0,37.0,,,https_www_bestbottles_com_product_Apothecary_style_1_ounce_clear_glass_bottle_clear_glass_stopper.html
GB1ozApthGreen,,30.0,,98.0,37.0,,,https_www_bestbottles_com_product_Apothecary_style_1_ounce_green_glass_bottle_green_glass_stopper.html
GBPearClear4ozStpr,,118.0,,,,,,https_www_bestbottles_com_product_Apothecary_style_Clear_glass_cylindrical_4oz_glass_stopper.html
GBCB12ozPear,,355.0,,192.0,92.0,,,https_www_bestbottles_com_product_Apothecary_style_clear_glass_bottle_Pear_12oz_glass_bottle_stopper.html
GBEternalFlameBlue,,35.0,43.0,82.0,,63.0,,https_www_bestbottles_com_product_Blue_glass_perfume_bottle_container_eternal_flame_glass_stopper.html
GBBstnAmb1ozRollonShnBlk,20-400,30.0,78.0,97.0,33.0,,73.0,https_www_bestbottles_com_product_Boston_Round_Amber_Glass_Roll_on_Bottle_Shiny_Black_Cap_1oz.html
GBBstnAmb2ozRollonShnBlk,20-400,60.0,94.0,111.0,39.0,,88.0,https_www_bestbottles_com_product_Boston_Round_Amber_Glass_Roll_on_Bottle_Shiny_Black_Cap_2oz.html
GBBstnBlu2ozRollonShnBlk,20-400,60.0,94.0,111.0,39.0,,88.0,https_www_bestbottles_com_product_Boston_Round_Blue_Glass_Roll_on_Bottle_Black_Cap_2oz.html
GBBstnBlu1ozRollonShnBlk,20-400,30.0,78.0,97.0,33.0,,73.0,https_www_bestbottles_com_product_Boston_Round_Blue_Glass_Roll_on_Bottle_Shiny_Black_Cap_1oz.html
Box-4x4x4,,0.0,102.0,,,102.0,101.0,https_www_bestbottles_com_product_Brown_Shipping_Packaging_Box_4x4x4.html
Box-5x5x5,,0.0,127.0,,,127.0,127.0,https_www_bestbottles_com_product_Brown_Shipping_Packaging_Box_5x5x5.html
CP18-400ShortBlk,18-400,0.0,,11.0,21.0,,,https_www_bestbottles_com_product_Caps_lid_short_top_black_Color_18_400.html
CP18-400AppBlk,18-400,0.0,,45.0,21.0,,,https_www_bestbottles_com_product_Caps_lid_with_applicator_top_black_Color_8_425.html
CP13-415WhtSht,13-415,0.0,,32.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_short_top_bottle_black_Color_13_415.html
