body_id,family,representative_sku,grace_sku,neck_finish,shape_class,height_mm,diameter_mm,width_mm,depth_mm,capacity_ml,sku_count,dev_pct
Atom-round-na-76x18,Atom,GBAtom5Red,GBAtom5Red,,round,76.0,18.0,,,5.0,7,9.4
Atom-round-na-82x23,Atom,GBAtom10Blu,GBAtom10Blu,,round,82.0,23.0,,,10.0,8,3.0
Atom-round-na-92x15,Atom,GBAtom5SlimSl,GBAtom5SlimSl,,round,92.0,15.0,,,5.0,3,10.2
Clr-round-na-22x33,Clr,CJClr3,CJClr3,,round,22.0,33.0,,,3.0,1,4.7
Cr-boxy-15-415-74x60x20,Cr,GBCrcl30SpryBlk,GBCrcl30SpryBlk,15-415,boxy,74.0,,60.0,20.0,30.0,7,7.3
Cr-boxy-18-400-87x72x23,Cr,GBCrclFrst50RdcrIvyLthr,GBCrclFrst50RdcrIvyLthr,18-400,boxy,87.0,,72.0,23.0,50.0,1,2.6
Cr-boxy-18-415-105x89x29,Cr,GBCrclFrst100AnSpBlk,GBCrclFrst100AnSpBlk,18-415,boxy,105.0,,89.0,29.0,100.0,84,3.4
Cr-boxy-18-415-87x72x23,Cr,GBCrcl50AnSpBlk,GBCrcl50AnSpBlk,18-415,boxy,87.0,,72.0,23.0,50.0,74,1.3
Cr-round-13-415-60x50x17,Cr,GBCrcl15RollBlkSh,GBCrcl15RollBlkSh,13-415,round,60.0,50.0,,17.0,15.0,11,3.8
Cr-round-18-415-87x72x23,Cr,LBCrclFrst50LtnClOvrCap,LBCrclFrst50LtnClOvrCap,18-415,round,87.0,72.0,,23.0,50.0,7,2.5
Cyl-round-13-415-53x17,Cyl,GBCyl5RollBlkSh,GBCyl5RollBlkSh,13-415,round,53.0,17.0,,,5.0,11,2.4
Cyl-round-17-415-70x20,Cyl,LBCylAmb9LtnBlk,LBCylAmb9LtnBlk,17-415,round,70.0,20.0,,,9.0,87,11.2
Cyl-round-17-415-74x20,Cyl,LBCylFrst9LtnBlk,LBCylFrst9LtnBlk,17-415,round,74.0,20.0,,,9.0,9,0.6
Cyl-round-18-415-117x32,Cyl,GBCyl50AnSpBlk,GBCyl50AnSpBlk,18-415,round,117.0,32.0,,,50.0,43,1.9
Cyl-round-18-415-154x35,Cyl,GBCyl100RdcrBlkLthr,GBCyl100RdcrBlkLthr,18-415,round,154.0,35.0,,,100.0,43,4.1
Cyl-round-na-81x31,Cyl,GBCyl28MtlRollBlk,GBCyl28MtlRollBlk,,round,81.0,31.0,,,28.0,4,1.1
Cyl-round-na-98x37,Cyl,GBCyl50MtlRollBlk,GBCyl50MtlRollBlk,,round,98.0,37.0,,,50.0,4,0.4
CylSwrl-round-17-415-74x21,CylSwrl,LBCylSwrl9LtnBlk,LBCylSwrl9LtnBlk,17-415,round,74.0,21.0,,,9.0,49,6.1
Diva-round-18-415-113x64,Diva,GBDiva100SpryShnSl,GBDiva100SpryShnSl,18-415,sculpted,113.0,64.0,,,100.0,14,1.5
Diva-round-18-415-81x43,Diva,GBDiva30AnSpBlk,GBDiva30AnSpBlk,18-415,sculpted,81.0,43.0,,,30.0,34,5.4
Diva-round-18-415-89x49,Diva,GBDiva46AnSpBlk,GBDiva46AnSpBlk,18-415,sculpted,89.0,49.0,,,46.0,82,6.6
