grace_sku,body_id,neck_finish,shape
GBEternalFlameClear,EternalFlame-unknown-na-44x63,,unknown
CJFrstdPlsBlkPls2oz,dPlsBlkPls-round-na-51x59,,round
Alu65mlLotionPumpBlack,LotionPumpBl-round-20-410-94x36,20-410,round
Alu65mlLotionPumpWhite,LotionPumpBl-round-20-410-94x36,20-410,round
GBHeartFrst4KeyGld,Heart-boxy-na-46x32x12,,boxy
GBHeartFrst4TslRed,Heart-boxy-na-46x32x12,,boxy
GB1ozGenieBl,GenieBl-round-na-77x42,,round
GB1ozGenieCl,GenieBl-round-na-77x42,,round
GBSQSTBlue,SQSTe-unknown-na-47x24,,unknown
GBSQSTGREEN,SQSTe-unknown-na-47x24,,unknown
GBTRDPClear,TRDP-unknown-na-43x31,,unknown
PB1ozClearcap,cap-unknown-13-415-68x28,13-415,unknown
GBVAmb1DrmBlkDropper,V-round-13-425-45x15,13-425,round
GBVAmb1DrmBlackCapSht,V-round-13-425-45x15,13-425,round
GBVAmb1DrmWhtCapSht,V-round-13-425-45x15,13-425,round
GBVBlu1DrmBlkDropper,V-round-13-425-45x15,13-425,round
GBVBlu1DrmBlackCapSht,V-round-13-425-45x15,13-425,round
GBVBlu1DrmWhtCapSht,V-round-13-425-45x15,13-425,round
GBV1DrmBlkDropper,V-round-13-425-45x15,13-425,round
GBVial1DrmBlackCapSht,V-round-13-425-45x15,13-425,round
GBVial1DrmWhtCapSht,V-round-13-425-45x15,13-425,round
GBVGr1DrmBlkDropper,V-round-13-425-45x15,13-425,round
GBVGr1DrmBlackCapSht,V-round-13-425-45x15,13-425,round
GBVGr1DrmWhtCapSht,V-round-13-425-45x15,13-425,round
GBVAmb1o5WhtCapSht,V-round-13-425-22x16,13-425,round
GBVAmb2BlackCap,V-round-8-425-35x12,8-425,round
GBVAmb2WhtCap,V-round-8-425-35x12,8-425,round
GBVClr2mlBlackCap,V-round-8-425-35x12,8-425,round
GBVClr2mlWhtCap,V-round-8-425-35x12,8-425,round
GBAtom10Blk,Atom-round-na-82x23,,round
GBAtom10BlkDot,Atom-round-na-82x23,,round
GBAtom10Blu,Atom-round-na-82x23,,round
GBAtom10Gl,Atom-round-na-82x23,,round
GBAtom10Lv,Atom-round-na-82x23,,round
GBAtom10Pnk,Atom-round-na-82x23,,round
GBAtom10Sl,Atom-round-na-82x23,,round
GBAtom10SlStars,Atom-round-na-82x23,,round
GBAtom5SlimBlk,Atom-round-na-92x15,,round
GBAtom5SlimGl,Atom-round-na-92x15,,round
GBAtom5SlimSl,Atom-round-na-92x15,,round
GBAtom5Blu,Atom-round-na-76x18,,round
GBAtom5Gl,Atom-round-na-76x18,,round
GBAtom5PnkDot,Atom-round-na-76x18,,round
GBAtom5Red,Atom-round-na-76x18,,round
GBAtom5Sl,Atom-round-na-76x18,,round
GBAtom5SlDot,Atom-round-na-76x18,,round
GBAtom5SlStars,Atom-round-na-76x18,,round
GBCrclFrst100AnSpBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnClOvrCap,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpIvyGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpIvySl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslIvyGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslIvySl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpLvn,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslLvn,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnCu,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100SpryCu,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnMtGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100SpryMtGl,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100SpryMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpPnk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslPnk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpRed,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrBlkLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrShnBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrBrwnLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrIvyLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrLBrwnLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrPnkLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrShnGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrShnSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrShnBlkTall,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrMtSlTall,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100RdcrWht,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnShnBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100SpryShnBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnShnGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100SpryShnGl,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrclFrst100LtnShnSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100SpryShnSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpWht,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrclFrst100AnSpTslWht,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrcl100LtnClOvrCap,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpIvyGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpIvySl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslIvyGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslIvySl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpLvn,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslLvn,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrcl100LtnCu,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100SpryCu,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrcl100LtnMtGl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100SpryMtGl,Cr-boxy-18-415-105x89x29,18-415,boxy
LBCrcl100LtnMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100SpryMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslMtSl,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpPnk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslPnk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpRed,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100AnSpTslRed,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100RdcrBlkLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100RdcrShnBlk,Cr-boxy-18-415-105x89x29,18-415,boxy
GBCrcl100RdcrBrwnLthr,Cr-boxy-18-415-105x89x29,18-415,boxy
