grace_sku,status,traced_aspect,expected_aspect,dev_pct,height_mm,across_mm
GB15ApthBlue,CAPPED?,2.714,1.933,40.4,58.0,30.0
GBEternalFlameClear,OK,0.752,0.698,7.7,44.0,63.0
CJFrstdPlsBlkPls2oz,OK,0.965,0.864,11.7,51.0,59.0
Alu120mlLotionPumpBlack,ASPECT,1.854,2.533,-26.8,114.0,45.0
Alu120mlLotionPumpWhite,ASPECT,1.854,2.533,-26.8,114.0,45.0
Alu65mlLotionPumpBlack,OK,2.635,2.611,0.9,94.0,36.0
Alu65mlLotionPumpWhite,OK,2.446,2.611,-6.3,94.0,36.0
Alu250mlSprayblack,ASPECT,1.371,3.1,-55.8,155.0,50.0
GBHeartFrst4KeyGld,OK,1.399,1.438,-2.7,46.0,32.0
GBHeartFrst4TslRed,OK,1.399,1.438,-2.7,46.0,32.0
GB1ozGenieBl,OK,1.885,1.833,2.8,77.0,42.0
GB1ozGenieCl,OK,1.881,1.833,2.6,77.0,42.0
GBSpry4mlClWh,CAPPED?,4.444,3.5,27.0,49.0,14.0
GB3TPlGl,CAPPED?,2.755,2.333,18.1,42.0,18.0
GB6TPlGl,CAPPED?,2.636,2.182,20.8,48.0,22.0
GBSQSTBlue,OK,2.179,1.958,11.3,47.0,24.0
GBSQSTClear,ASPECT,2.228,1.958,13.8,47.0,24.0
GBSQSTGREEN,OK,2.157,1.958,10.2,47.0,24.0
GBTrdpBlue,CAPPED?,2.163,1.387,55.9,43.0,31.0
GBTRDPClear,OK,1.413,1.387,1.9,43.0,31.0
GBTRDPGreen,ASPECT,0.793,1.387,-42.9,43.0,31.0
PB1ozClearcap,OK,2.478,2.429,2.0,68.0,28.0
GBMtlCylGl,CAPPED?,2.883,2.0,44.1,64.0,32.0
GBSpry3mlClBlk,CAPPED?,3.48,2.643,31.7,37.0,14.0
GBSpry4mlClBlk,CAPPED?,4.444,3.5,27.0,49.0,14.0
GBSpry3mlClWht,CAPPED?,3.426,2.643,29.6,37.0,14.0
GBMtlMrblSmall,ASPECT,1.71,2.538,-32.7,66.0,26.0
GBMtlMrblLarge,CAPPED?,3.971,2.857,39.0,80.0,28.0
GBVAmb1DrmBlkDropper,OK,2.915,3.0,-2.8,45.0,15.0
GBVAmb1DrmBlackCapSht,OK,3.022,3.0,0.7,45.0,15.0
GBVAmb1DrmWhtCapSht,OK,3.022,3.0,0.7,45.0,15.0
GBVBlu1DrmBlkDropper,OK,2.915,3.0,-2.8,45.0,15.0
GBVBlu1DrmBlackCapSht,OK,3.039,3.0,1.3,45.0,15.0
GBVBlu1DrmWhtCapSht,OK,3.039,3.0,1.3,45.0,15.0
GBV1DrmBlkDropper,OK,3.0,3.0,0.0,45.0,15.0
GBVial1DrmBlackCapSht,OK,3.016,3.0,0.5,45.0,15.0
GBVial1DrmWhtCapSht,OK,3.016,3.0,0.5,45.0,15.0
GBVGr1DrmBlkDropper,OK,2.971,3.0,-1.0,45.0,15.0
GBVGr1DrmBlackCapSht,OK,2.956,3.0,-1.5,45.0,15.0
GBVGr1DrmWhtCapSht,OK,2.956,3.0,-1.5,45.0,15.0
GBVAmb1o5WhtCapSht,OK,1.449,1.375,5.4,22.0,16.0
GBVAmb2BlackCap,OK,2.927,2.917,0.4,35.0,12.0
GBVAmb2WhtCap,OK,2.927,2.917,0.4,35.0,12.0
GBVClr2mlBlackCap,OK,3.036,2.917,4.1,35.0,12.0
GBVClr2mlWhtCap,OK,3.036,2.917,4.1,35.0,12.0
GB1mlAmbVBlk,ASPECT,1.513,4.375,-65.4,35.0,8.0
GB1mlAmbVialWht,ASPECT,1.527,4.375,-65.1,35.0,8.0
GB1mlVBlk,ASPECT,3.71,4.375,-15.2,35.0,8.0
GBAtom10Blk,OK,3.572,3.565,0.2,82.0,23.0
GBAtom10BlkDot,OK,3.613,3.565,1.3,82.0,23.0
GBAtom5Blk,ASPECT,3.548,4.222,-16.0,76.0,18.0
GBAtom5SlimBlk,OK,6.622,6.133,8.0,92.0,15.0
GBAtom10Blu,OK,3.674,3.565,3.0,82.0,23.0
GBAtom5Blu,OK,4.057,4.222,-3.9,76.0,18.0
GBCrclFrst100AnSpBlk,OK,1.22,1.18,3.4,105.0,89.0
GBCrclFrst100AnSpTslBlk,ASPECT,1.012,1.18,-14.2,105.0,89.0
LBCrclFrst100LtnClOvrCap,OK,1.203,1.18,2.0,105.0,89.0
GBCrclFrst100AnSpGl,OK,1.22,1.18,3.4,105.0,89.0
GBCrclFrst100AnSpTslGl,OK,1.063,1.18,-9.9,105.0,89.0
GBCrclFrst100AnSpIvyGl,OK,1.22,1.18,3.4,105.0,89.0
GBCrclFrst100AnSpIvySl,OK,1.22,1.18,3.4,105.0,89.0
GBCrclFrst100AnSpTslIvyGl,OK,1.051,1.18,-10.9,105.0,89.0
GBCrclFrst100AnSpTslIvySl,OK,1.049,1.18,-11.1,105.0,89.0
GBCrclFrst100AnSpLvn,OK,1.22,1.18,3.4,105.0,89.0
GBCrclFrst100AnSpTslLvn,OK,1.05,1.18,-11.0,105.0,89.0
LBCrclFrst100LtnCu,OK,1.222,1.18,3.6,105.0,89.0
GBCrclFrst100SpryCu,OK,1.222,1.18,3.6,105.0,89.0
LBCrclFrst100LtnMtGl,OK,1.203,1.18,2.0,105.0,89.0
GBCrclFrst100SpryMtGl,OK,1.203,1.18,2.0,105.0,89.0
